time,heat
0,638817.0
1,684781.0
2,733289.0
3,776538.0
4,965311.0
5,1087431.0
6,1225863.0
7,1453226.0
8,1694343.0
9,2093327.0
10,2725634.0
11,3112242.0
12,3349129.0
13,3667118.0
14,4027250.0
15,3995200.0
16,4079762.0
17,5360854.0
18,5775796.0
19,6077410.0
20,6282352.0
21,6087304.0
22,7655992.0
23,8088413.0
24,8496885.0
25,8857228.0
26,9190305.0
27,9506866.0
28,9892667.0
29,10042977.0
30,10096837.0
31,10185018.0
32,10113225.0
33,10056476.0
34,10286279.0
35,10502297.0
36,10310422.0
37,10015057.0
38,9704987.0
39,9345482.0
40,9279610.0
41,9251827.0
42,9328633.0
43,9415740.0
44,9449852.0
45,9460678.0
46,9536837.0
47,9648858.0
48,9778620.0
49,9925005.0
50,10015457.0
51,10133581.0
52,10260600.0
53,10384677.0
54,10515443.0
55,10601902.0
56,10741874.0
57,10850201.0
58,10822844.0
59,10705035.0
60,10610722.0
61,10476649.0
62,10355630.0
63,10263809.0
64,10157615.0
65,10012557.0
66,9940764.0
67,9808413.0
68,9730348.0
69,9710093.0
70,9649316.0
71,9689355.0
72,9669842.0
73,9640306.0
74,9641359.0
75,9674460.0
76,9679825.0
77,9613434.0
78,9601239.0
79,9585622.0
80,9540758.0
81,9476943.0
82,9413290.0
83,9375926.0
84,9239495.0
85,9128063.0
86,9057002.0
87,8980026.0
88,8916515.0
89,8862904.0
90,8793447.0
91,8715691.0
92,8642262.0
93,8597206.0
94,8535157.0
95,8470583.0
96,8452802.0
97,8357286.0
98,8291988.0
99,8236326.0
100,8245670.0
101,8207918.0
102,8178926.0
103,8128402.0
104,8101876.0
105,8126519.0
106,8148127.0
107,8266250.0
108,8388587.0
109,8570413.0
110,8699029.0
111,8759209.0
112,8760831.0
113,8802823.0
114,8791329.0
115,8766356.0
116,8580403.0
117,8236475.0
118,7987532.0
119,7785950.0
120,7604827.0
121,7479389.0
122,7358716.0
123,7243980.0
124,7169720.0
125,7099999.0
126,7034677.0
127,7021024.0
128,6961221.0
129,6938926.0
130,6939642.0
131,6943711.0
132,6923887.0
133,6924725.0
134,6913008.0
135,6902967.0
136,6894019.0
137,6848844.0
138,6797025.0
139,6764545.0
140,6706146.0
141,6680424.0
142,6625944.0
143,6555538.0
144,6522734.0
145,6480328.0
146,6295035.0
147,6265948.0
148,6207566.0
149,6172338.0
150,6136253.0
151,6088506.0
152,6050091.0
153,6035242.0
154,6006768.0
155,5952812.0
156,5920288.0
157,5936586.0
158,5975845.0
159,5893677.0
160,5797281.0
161,5962490.0
162,5763960.0
163,5718282.0
164,5721252.0
165,5698025.0
166,5667086.0
167,5607801.0
168,5613968.0
169,5562904.0
170,5544378.0
171,5537800.0
172,5570717.0
173,5502976.0
174,5494352.0
175,5468760.0
176,5425073.0
177,5355563.0
178,5215441.0
179,4959693.0
180,4754773.0
181,4550395.0
182,4472255.0
183,4318478.0
184,4230126.0
185,4076361.0
186,3953681.0
187,3812165.0
188,3761340.0
189,3634245.0
190,3540061.0
191,3453077.0
192,3393873.0
193,3275675.0
194,3222696.0
195,3340428.0
196,3233683.0
197,2945185.0
198,2932442.0
199,2840357.0
200,2757201.0
201,2738024.0
202,2732614.0
203,2637887.0
204,2626606.0
205,2567829.0
206,2459950.0
207,2356628.0
208,2322279.0
209,2247041.0
210,2186647.0
211,2140539.0
212,2109778.0
213,2030822.0
214,1960175.0
215,1908698.0
216,1916171.0
217,1787624.0
218,1688995.0
219,1647308.0
220,1600367.0
221,1559474.0
222,1521183.0
223,1466444.0
224,1427169.0
225,1387825.0
226,1356535.0
227,1318264.0
228,1289964.0
229,1255207.0
230,1223818.0
231,1204508.0
232,1183637.0
233,1174974.0
234,1172157.0
235,1158002.0
236,1135804.0
237,1131409.0
238,1127600.0
239,1131280.0
240,1119418.0
241,1147834.0
242,1130033.0
243,1115084.0
244,1102708.0
245,1096424.0
246,1087789.0
247,1078036.0
248,1075287.0
249,1074493.0
250,1057557.0
251,1048610.0
252,998288.0
253,999573.0
254,966942.0
255,964925.0
256,965856.0
257,901921.0
258,856733.0
259,817794.0
260,791123.0
261,778736.0
262,766919.0
263,758749.0
264,752677.0
265,743897.0
266,739276.0
267,741470.0
268,749056.0
269,755688.0
270,761883.0
271,764082.0
272,768289.0
273,768856.0
274,759172.0
275,754539.0
276,743747.0
277,735219.0
278,725312.0
279,719524.0
280,717190.0
281,708890.0
282,697571.0
283,686816.0
284,675180.0
285,662741.0
286,654275.0
287,647073.0
288,640111.0
289,633944.0
290,623695.0
291,615583.0
292,609400.0
293,606836.0
294,603956.0
295,603047.0
296,601463.0
297,598596.0
298,592694.0
299,588544.0
300,585297.0
301,582783.0
302,585060.0
303,583653.0
304,644153.0
305,580327.0
306,578940.0
307,574811.0
308,574274.0
309,575005.0
310,572210.0
311,572421.0
312,566806.0
313,561673.0
314,558613.0
315,557784.0
316,557526.0
317,579994.0
318,576032.0
319,571059.0
320,571234.0
321,569503.0
322,568081.0
323,568908.0
324,570575.0
325,568735.0
326,564885.0
327,532410.0
328,534053.0
329,534780.0
330,533457.0
331,532602.0
332,531118.0
333,525370.0
334,519651.0
335,517092.0
336,516579.0
337,515737.0
338,511070.0
339,505245.0
340,500164.0
341,493567.0
342,489904.0
343,488178.0
344,486194.0
345,484137.0
346,482563.0
347,477433.0
348,481410.0
349,476023.0
