time,heat
0,2232651.0
1,2318318.0
2,2906669.0
3,3466857.0
4,6218918.0
5,6255062.0
6,6663944.0
7,7303789.0
8,7756820.0
9,8171839.0
10,8413985.0
11,8364578.0
12,8588660.0
13,8698235.0
14,8820009.0
15,8822550.0
16,8749561.0
17,8936085.0
18,9112620.0
19,9195894.0
20,8978946.0
21,9189228.0
22,13153074.0
23,13172717.0
24,12882563.0
25,12845835.0
26,13011655.0
27,12867012.0
28,13115339.0
29,13292915.0
30,13205784.0
31,13220171.0
32,13182924.0
33,13235779.0
34,13446824.0
35,13528035.0
36,13493384.0
37,13334184.0
38,13224493.0
39,13128839.0
40,12921148.0
41,12626084.0
42,12488761.0
43,12455297.0
44,12237932.0
45,12027865.0
46,12128662.0
47,11922798.0
48,11795364.0
49,11661137.0
50,11475205.0
51,11300562.0
52,11147458.0
53,10308950.0
54,11314234.0
55,10772586.0
56,10586354.0
57,10422510.0
58,10231386.0
59,10077574.0
60,9901522.0
61,9752671.0
62,9634840.0
63,9475284.0
64,9343271.0
65,9308684.0
66,9251337.0
67,8885289.0
68,8711651.0
69,8583666.0
70,8485490.0
71,8395260.0
72,8322262.0
73,8166805.0
74,8148780.0
75,8089271.0
76,8056668.0
77,8021354.0
78,8106472.0
79,8010071.0
80,7991943.0
81,8010832.0
82,7881865.0
83,7717730.0
84,7622891.0
85,7525752.0
86,7401196.0
87,7268343.0
88,7170300.0
89,6892669.0
90,6751133.0
91,6612998.0
92,6526973.0
93,6296310.0
94,6247744.0
95,6177111.0
96,6144376.0
97,6103979.0
98,6058034.0
99,5962671.0
100,5955334.0
101,5928622.0
102,5817970.0
103,5790417.0
104,5671544.0
105,5638673.0
106,5582815.0
107,5532771.0
108,5458965.0
109,5419497.0
110,5395102.0
111,5377956.0
112,5238235.0
113,5148829.0
114,4903153.0
115,4765068.0
116,4651496.0
117,4572919.0
118,4460603.0
119,4311031.0
120,4241595.0
121,4153565.0
122,4082976.0
123,4019558.0
124,3867948.0
125,3866755.0
126,3916547.0
127,3725654.0
128,3702810.0
129,3581360.0
130,3509498.0
131,3517617.0
132,3469982.0
133,3383476.0
134,3302097.0
135,3289766.0
136,3320998.0
137,3287664.0
138,3201201.0
139,3104987.0
140,3138190.0
141,3142565.0
142,3118072.0
143,3103655.0
144,3121777.0
145,3125750.0
146,3035818.0
147,2977346.0
148,2945778.0
149,2922952.0
150,2919055.0
151,2895634.0
152,2870701.0
153,2809537.0
154,2749701.0
155,2688665.0
156,2642172.0
