time,heat
0,117921.0
1,121481.0
2,140904.0
3,151564.0
4,166794.0
5,181395.0
6,199323.0
7,207834.0
8,255968.0
9,279821.0
10,331027.0
11,352087.0
12,391009.0
13,438059.0
14,488113.0
15,538804.0
16,597351.0
17,665273.0
18,731320.0
19,786757.0
20,833886.0
21,897540.0
22,961827.0
23,984871.0
24,1047355.0
25,1085923.0
26,1136692.0
27,1156207.0
28,1200212.0
29,1241374.0
30,1261170.0
31,1277606.0
32,1287896.0
33,1267542.0
34,1284871.0
35,1287107.0
36,1296499.0
37,1328204.0
38,1401574.0
39,1434923.0
40,1473284.0
41,1499585.0
42,1523070.0
43,1552384.0
44,1576784.0
45,1635828.0
46,1666166.0
47,1627523.0
48,1575711.0
49,1625966.0
50,1672315.0
51,1735699.0
52,1773815.0
53,1791452.0
54,1851458.0
55,1880566.0
56,1941054.0
57,2018519.0
58,2094500.0
59,2085871.0
60,2104882.0
61,2120564.0
62,2131629.0
63,2133014.0
64,2166868.0
65,2219161.0
66,2240111.0
67,2234116.0
68,2268070.0
69,2321689.0
70,2371122.0
71,2431203.0
72,2520514.0
73,2509246.0
74,2783701.0
75,2781078.0
76,2962968.0
77,2987705.0
78,3041660.0
79,3130046.0
80,3193329.0
81,3216480.0
82,3295153.0
83,3338759.0
84,3360586.0
85,3356470.0
86,3394219.0
87,3367453.0
88,3420498.0
89,3418336.0
90,3423863.0
91,3504535.0
92,3558984.0
93,3444340.0
94,3402559.0
95,3399812.0
96,3480623.0
97,3681309.0
98,3762384.0
99,3813340.0
100,3809541.0
101,3777873.0
102,3839637.0
103,4429629.0
104,4936500.0
105,5335421.0
106,5693682.0
107,5799401.0
108,6332760.0
109,6590633.0
110,7192258.0
111,7762774.0
112,8274483.0
113,8726191.0
114,9019626.0
115,9303823.0
116,9550958.0
117,9793187.0
118,10194672.0
119,10407334.0
120,10429516.0
121,9919039.0
122,9514317.0
123,8954723.0
124,8557105.0
125,8075049.0
126,7771761.0
127,7769811.0
128,7843777.0
129,7858228.0
130,7811099.0
131,7760471.0
132,7700716.0
133,7638942.0
134,7550987.0
135,7560354.0
136,7533652.0
137,7532835.0
138,7514901.0
139,7010981.0
140,7654176.0
141,7339491.0
142,7257642.0
143,7199226.0
144,7138005.0
145,7045870.0
146,6979522.0
147,6929380.0
148,6869558.0
149,6815896.0
150,6737712.0
151,6675362.0
152,6659258.0
153,6574950.0
154,6517713.0
155,6421833.0
156,6230017.0
157,6236369.0
158,6256233.0
159,6286995.0
160,6252574.0
161,6236701.0
162,6207186.0
163,6155135.0
164,6105141.0
165,6109581.0
166,6061573.0
167,5975978.0
168,5866653.0
169,5770848.0
170,5674179.0
171,5567470.0
172,5451127.0
173,5401201.0
174,5228400.0
175,5191941.0
176,4935915.0
177,4723174.0
178,4599725.0
179,4492601.0
180,4183144.0
181,4155157.0
182,4056001.0
183,3929013.0
184,3789712.0
185,3641330.0
186,3630446.0
187,3631867.0
188,3309327.0
189,3219892.0
190,3091907.0
191,2987827.0
192,2879593.0
193,2638703.0
194,2659716.0
195,2557296.0
196,2469272.0
197,2388675.0
198,2306226.0
199,2229537.0
200,2175576.0
201,2076840.0
202,2000762.0
203,1948213.0
204,1863640.0
205,1814904.0
206,1787691.0
207,1733294.0
208,1689451.0
209,1649673.0
210,1576773.0
211,1540347.0
212,1448257.0
213,1404990.0
214,1366296.0
215,1304498.0
216,1257265.0
217,1221363.0
218,1202162.0
219,1236052.0
220,1233230.0
221,1192541.0
222,1185225.0
223,1179369.0
224,1177039.0
225,1171775.0
226,1169322.0
227,1169282.0
228,1166314.0
229,1162266.0
230,1158221.0
231,1156724.0
232,1156670.0
233,1155594.0
234,1150942.0
235,1151234.0
236,1149442.0
237,1137891.0
238,854261.0
239,844828.0
240,821184.0
241,822799.0
242,793241.0
243,769935.0
244,769795.0
245,742567.0
246,740884.0
247,738084.0
248,699437.0
249,680354.0
250,672979.0
251,654579.0
252,647101.0
253,647626.0
254,635397.0
255,645760.0
256,645026.0
257,642633.0
258,639485.0
259,639688.0
260,631720.0
261,632196.0
262,617180.0
263,604681.0
264,598358.0
265,571857.0
266,565409.0
267,559832.0
268,548253.0
269,540448.0
270,597242.0
271,537518.0
272,535554.0
273,538312.0
274,524296.0
275,531416.0
276,530817.0
277,547361.0
278,541916.0
279,539735.0
280,521094.0
281,528994.0
282,526885.0
283,510786.0
284,512141.0
285,506632.0
286,504727.0
287,511870.0
288,514931.0
289,494667.0
290,497011.0
291,476133.0
292,468237.0
293,471548.0
294,464623.0
295,450294.0
296,417024.0
297,406794.0
298,400893.0
299,408113.0
300,411547.0
301,416196.0
302,406497.0
303,398045.0
304,393441.0
305,405400.0
306,412387.0
307,403827.0
308,396985.0
309,390340.0
310,378705.0
311,375623.0
312,371819.0
313,371667.0
314,376946.0
315,362217.0
316,355370.0
317,359206.0
318,359222.0
319,353333.0
320,350524.0
321,344214.0
322,342084.0
323,332038.0
324,349870.0
325,314883.0
326,303762.0
327,302336.0
328,295071.0
329,296837.0
330,302218.0
331,300894.0
332,298774.0
333,309580.0
334,315531.0
335,324542.0
336,315212.0
337,320938.0
338,311947.0
339,297448.0
340,299828.0
341,298494.0
342,293563.0
343,309312.0
344,305513.0
345,292540.0
346,294178.0
347,293427.0
348,294705.0
349,290626.0
