time,heat
0,499553.0
1,536276.0
2,582442.0
3,625426.0
4,902898.0
5,1417797.0
6,1857699.0
7,2345219.0
8,3030758.0
9,3574226.0
10,4118515.0
11,4931591.0
12,5459119.0
13,5965350.0
14,6902709.0
15,7375210.0
16,7731387.0
17,8472985.0
18,9115503.0
19,9919124.0
20,10394763.0
21,10797786.0
22,11004058.0
23,11362960.0
24,11589176.0
25,11746850.0
26,11851581.0
27,11778021.0
28,11645397.0
29,11839159.0
30,11717053.0
31,11339662.0
32,10977175.0
33,10855326.0
34,10574574.0
35,10526418.0
36,10437179.0
37,10506085.0
38,1193996.0
39,1354589.0
40,1259115.0
41,1125816.0
42,1302978.0
43,1203610.0
44,1273521.0
45,1179941.0
46,1060147.0
47,1259127.0
48,1089305.0
49,1332769.0
50,1319313.0
51,1363454.0
52,1367914.0
53,1331230.0
54,1359599.0
55,1321822.0
56,1223001.0
57,1334671.0
58,1197084.0
59,1174882.0
60,1332301.0
61,1328989.0
62,1274963.0
63,1345794.0
64,1480747.0
65,1542210.0
66,1393434.0
67,1555367.0
68,1677245.0
69,1683709.0
70,1634793.0
71,1655745.0
72,1700013.0
73,1898695.0
74,1733174.0
75,1487435.0
76,1654997.0
77,1496337.0
78,1772920.0
79,1592816.0
80,1559096.0
81,1564133.0
82,1695924.0
83,1543344.0
84,1593475.0
85,1478201.0
86,1480376.0
87,1661263.0
88,1615566.0
89,1521933.0
90,1514864.0
91,1611889.0
92,1325237.0
93,1363358.0
94,1347562.0
95,1306636.0
96,1490439.0
97,1424120.0
98,1342881.0
99,1239481.0
100,1128755.0
101,1084710.0
102,1043367.0
103,998865.0
104,994431.0
105,945528.0
106,948850.0
107,927249.0
108,937472.0
109,916938.0
110,940573.0
111,925913.0
112,881859.0
113,896863.0
114,950649.0
115,877212.0
116,895297.0
117,956862.0
118,816145.0
119,968958.0
120,1074734.0
121,1090638.0
122,1184887.0
123,1221929.0
124,1265747.0
125,1265904.0
126,1316199.0
127,1277682.0
128,1310462.0
129,1351627.0
130,1374985.0
131,1253343.0
132,1150448.0
133,1142647.0
134,1128831.0
135,800698.0
136,771489.0
137,726056.0
138,745061.0
139,659303.0
140,722953.0
141,596407.0
142,635675.0
143,602402.0
144,594073.0
145,536418.0
146,355095.0
147,385531.0
148,448362.0
149,355821.0
150,278176.0
151,305619.0
152,374620.0
153,302115.0
154,339353.0
155,283763.0
156,315749.0
157,374870.0
158,400644.0
159,294749.0
160,286164.0
161,298595.0
162,249939.0
163,360577.0
164,493903.0
165,481682.0
166,435883.0
167,462998.0
168,457658.0
169,415584.0
170,406284.0
171,386061.0
172,429009.0
173,415004.0
174,422974.0
175,383884.0
176,404284.0
177,413373.0
178,405272.0
179,400837.0
180,382056.0
181,373436.0
182,370557.0
183,336317.0
184,371515.0
185,325402.0
186,313150.0
187,307151.0
188,298003.0
189,240576.0
190,205936.0
191,205223.0
192,183252.0
193,206311.0
194,179134.0
195,191746.0
196,185299.0
197,159019.0
198,190620.0
199,159515.0
200,152369.0
201,169341.0
202,160668.0
203,157160.0
204,170540.0
205,170540.0
206,172939.0
207,168211.0
208,147229.0
209,145044.0
210,154326.0
211,147076.0
212,142850.0
213,160266.0
214,135030.0
215,147991.0
216,136296.0
217,146155.0
218,141987.0
219,129646.0
220,120881.0
221,120881.0
222,115975.0
223,134697.0
224,121368.0
225,115099.0
226,105898.0
227,104398.0
228,97004.0
229,108806.0
230,103913.0
231,106757.0
232,117442.0
233,104302.0
234,96288.0
235,96402.0
236,84443.0
237,84443.0
238,79306.0
239,82520.0
240,79298.0
241,82539.0
242,73708.0
243,73708.0
244,73427.0
245,71021.0
246,71021.0
247,79405.0
248,79405.0
249,75255.0
250,75255.0
251,74851.0
252,74851.0
253,74274.0
254,72887.0
255,68783.0
256,68783.0
257,66382.0
258,66382.0
259,74177.0
260,67195.0
261,67195.0
262,68070.0
263,65931.0
264,65322.0
265,66353.0
266,66353.0
267,66265.0
268,66265.0
269,64247.0
270,66286.0
271,66286.0
272,66895.0
273,67965.0
274,67542.0
275,64027.0
276,64027.0
277,62548.0
278,62548.0
279,61043.0
280,64101.0
281,64101.0
282,63207.0
283,64045.0
284,64815.0
285,60318.0
286,60462.0
287,60462.0
288,61240.0
289,60520.0
290,62632.0
291,62047.0
292,62047.0
293,60244.0
294,60244.0
295,58148.0
296,58148.0
297,57774.0
298,57715.0
299,57027.0
300,57027.0
301,57222.0
302,55195.0
303,55319.0
304,55533.0
305,54840.0
306,55171.0
307,54333.0
308,54333.0
309,52822.0
310,52377.0
311,53488.0
312,53488.0
313,54876.0
314,54876.0
315,54561.0
316,54839.0
317,54839.0
318,55213.0
319,57356.0
320,57385.0
321,57600.0
322,57600.0
323,57506.0
324,57633.0
325,51535.0
326,51535.0
327,52082.0
328,57931.0
329,55025.0
330,55025.0
331,54875.0
332,54875.0
333,55135.0
334,55319.0
335,54791.0
336,54538.0
337,54538.0
338,54254.0
339,54272.0
340,53883.0
341,54630.0
342,54630.0
343,54020.0
344,54020.0
345,53766.0
346,53729.0
347,53729.0
348,53084.0
349,53284.0
