time,heat
0,960413.0
1,992524.0
2,1032923.0
3,1059117.0
4,1147969.0
5,1209269.0
6,1242741.0
7,1336474.0
8,1382885.0
9,1420242.0
10,1487391.0
11,1576287.0
12,1640640.0
13,1700355.0
14,1751293.0
15,1794940.0
16,1851684.0
17,1882804.0
18,1942872.0
19,1967538.0
20,1986648.0
21,2040191.0
22,2083249.0
23,2094544.0
24,2074051.0
25,2058616.0
26,2039567.0
27,2036970.0
28,2021626.0
29,2015515.0
30,1989590.0
31,1956939.0
32,1950048.0
33,1932889.0
34,1928363.0
35,1933245.0
36,1912642.0
37,1909604.0
38,1896316.0
39,1878200.0
40,1872455.0
41,1858096.0
42,1855772.0
43,1849694.0
44,1856955.0
45,1840505.0
46,1809224.0
47,1804937.0
48,1814913.0
49,1806641.0
50,1786742.0
51,1764243.0
52,1725331.0
53,1701919.0
54,1693185.0
55,1685665.0
56,1663253.0
57,1641581.0
58,1622662.0
59,1618157.0
60,1599995.0
61,1592836.0
62,1569598.0
63,1553316.0
64,1541371.0
65,1525839.0
66,1504336.0
67,1494574.0
68,1476558.0
69,1447366.0
70,1419912.0
71,1396810.0
72,1385409.0
73,1371004.0
74,1365140.0
75,1349966.0
76,1340566.0
77,1327894.0
78,1315701.0
79,1303173.0
80,1301160.0
81,1292558.0
82,1280113.0
83,1237255.0
84,1229948.0
85,1227978.0
86,1223985.0
87,1217800.0
88,1215918.0
89,1215151.0
90,1231302.0
91,1228986.0
92,1231251.0
93,1232932.0
94,1261565.0
95,1248294.0
96,1235333.0
97,1227551.0
98,1204755.0
99,1879811.0
100,1870773.0
101,1866285.0
102,1865180.0
103,1713116.0
104,1882237.0
105,1855501.0
106,1841977.0
107,1827289.0
108,1807480.0
109,1789690.0
110,1790455.0
111,1787653.0
112,1786333.0
113,1784052.0
114,1777256.0
115,1765469.0
116,1751188.0
117,1735380.0
118,1732556.0
119,1722376.0
120,1721660.0
121,1704380.0
122,1694125.0
123,1690226.0
124,1688569.0
125,1679056.0
126,1687861.0
127,1688288.0
128,1687096.0
129,1682181.0
130,1681444.0
131,1678697.0
132,1689985.0
133,1689269.0
134,1696758.0
135,1695599.0
136,984723.0
137,973839.0
138,966971.0
139,968234.0
140,952958.0
141,942145.0
142,939516.0
143,929978.0
144,925991.0
145,913675.0
146,913379.0
147,897624.0
148,896992.0
149,884712.0
150,854786.0
151,841115.0
152,844527.0
153,847313.0
154,831933.0
155,819111.0
156,809016.0
157,810697.0
158,806648.0
159,790571.0
160,1124590.0
161,1122154.0
162,1120728.0
163,1120400.0
164,1119977.0
165,1123529.0
166,1126519.0
167,1128457.0
168,1131449.0
169,1141233.0
170,1143018.0
171,1144170.0
172,1146283.0
173,1150479.0
174,1152751.0
175,1155507.0
176,1157787.0
177,1158460.0
178,1159423.0
179,1159783.0
180,1160779.0
181,1163610.0
182,1161331.0
183,1162432.0
184,1162125.0
185,1161051.0
186,1160025.0
187,1158837.0
188,1159081.0
189,1158178.0
190,1157017.0
191,1156511.0
192,1156902.0
193,1159126.0
194,1159201.0
195,1159165.0
196,1159391.0
197,1159131.0
198,1160459.0
199,1161030.0
200,1161916.0
201,1161133.0
202,1160726.0
203,1163092.0
204,1163133.0
205,1162715.0
206,1162315.0
207,1160669.0
208,1160479.0
209,1161473.0
210,1160135.0
211,1159764.0
212,1158755.0
213,1158599.0
214,1157859.0
215,1155100.0
216,1153149.0
217,1152426.0
218,1148653.0
219,1148616.0
220,1147159.0
221,1145051.0
222,1143453.0
223,1142668.0
224,1139131.0
225,1139314.0
226,1137720.0
227,1137706.0
228,1137327.0
229,1137256.0
230,1135991.0
231,1135608.0
232,1135320.0
233,1136088.0
234,1135502.0
235,1136574.0
236,1137043.0
237,1135716.0
238,1135602.0
239,1135893.0
240,1135110.0
241,1135095.0
242,1135039.0
243,1135479.0
244,1135461.0
245,1134343.0
246,1134193.0
247,833043.0
248,334882.0
249,281011.0
250,312680.0
251,312155.0
252,353080.0
253,372762.0
254,410079.0
255,349060.0
256,298878.0
257,301562.0
258,330930.0
259,339512.0
260,334407.0
261,310817.0
262,318153.0
263,310283.0
264,306340.0
265,304355.0
266,302343.0
267,304182.0
268,304346.0
269,304936.0
270,245674.0
271,243265.0
272,241284.0
273,255670.0
274,253567.0
275,248753.0
276,247232.0
277,246689.0
278,247186.0
279,248112.0
280,250818.0
281,254529.0
282,250549.0
283,266083.0
284,266187.0
285,265739.0
286,295996.0
287,296871.0
288,301247.0
289,303913.0
290,303600.0
291,303033.0
292,304649.0
293,307174.0
294,309946.0
295,332518.0
296,224885.0
297,265875.0
298,269614.0
299,271977.0
300,271743.0
301,278721.0
302,307789.0
303,290750.0
304,304017.0
305,289108.0
306,297592.0
307,293756.0
308,287809.0
309,285145.0
310,282748.0
311,281590.0
312,276701.0
313,230988.0
314,227225.0
315,280863.0
316,277450.0
317,276788.0
318,276243.0
319,276783.0
320,232429.0
321,220492.0
322,223577.0
323,229362.0
324,220912.0
325,219231.0
326,216602.0
327,222549.0
328,224775.0
329,215684.0
330,208953.0
331,209103.0
332,211758.0
333,222151.0
334,220116.0
335,227225.0
336,221128.0
337,220839.0
338,214145.0
339,226541.0
340,229475.0
341,227387.0
342,250264.0
343,247177.0
344,243752.0
345,239720.0
346,238146.0
347,227803.0
348,234123.0
349,233311.0
