time,heat
0,152811.0
1,157661.0
2,163624.0
3,162952.0
4,169991.0
5,163061.0
6,163814.0
7,165099.0
8,170535.0
9,180514.0
10,189100.0
11,195710.0
12,297201.0
13,292116.0
14,290415.0
15,285986.0
16,283471.0
17,246859.0
18,257915.0
19,970332.0
20,942702.0
21,928676.0
22,314139.0
23,334593.0
24,346381.0
25,363435.0
26,392650.0
27,407254.0
28,415828.0
29,447054.0
30,459033.0
31,468495.0
32,487481.0
33,507523.0
34,513774.0
35,523497.0
36,512719.0
37,507083.0
38,520875.0
39,531865.0
40,523127.0
41,516661.0
42,512157.0
43,513691.0
44,509920.0
45,517679.0
46,518000.0
47,528498.0
48,539561.0
49,539855.0
50,554253.0
51,1089319.0
52,1092478.0
53,1094883.0
54,1100822.0
55,1103626.0
56,1105820.0
57,1112576.0
58,1117203.0
59,1119540.0
60,1123365.0
61,1127291.0
62,1136380.0
63,1138691.0
64,1142839.0
65,1147338.0
66,1145903.0
67,1164597.0
68,1157189.0
69,1161276.0
70,1165249.0
71,1169717.0
72,1176068.0
73,1180023.0
74,1186749.0
75,1188457.0
76,1183892.0
77,1189258.0
78,1234632.0
79,1230646.0
80,1212689.0
81,1231491.0
82,1261586.0
83,1255219.0
84,1262427.0
85,1278674.0
86,1328705.0
87,1330468.0
88,1323229.0
89,1322606.0
90,1347759.0
91,1328533.0
92,1363576.0
93,1334499.0
94,1346956.0
95,1307648.0
96,1281226.0
97,1294148.0
98,1273277.0
99,1285508.0
100,1282701.0
101,1263798.0
102,1270610.0
103,1268513.0
104,1261859.0
105,1238914.0
106,1221274.0
107,1198060.0
108,1186264.0
109,1184494.0
110,1183806.0
111,1184750.0
112,1183054.0
113,1183252.0
114,1182869.0
115,1181465.0
116,1181186.0
117,1181882.0
118,1181438.0
119,1181276.0
120,1182510.0
121,1181280.0
122,1179266.0
123,1178950.0
124,1184044.0
125,1185238.0
126,1184774.0
127,1182894.0
128,1179884.0
129,1177452.0
130,1176635.0
131,1178944.0
132,1180976.0
133,1180395.0
134,1181846.0
135,1180284.0
136,1176895.0
137,1176452.0
138,1173167.0
139,1171655.0
140,1166998.0
141,1162162.0
142,1159506.0
143,1158250.0
144,1153911.0
145,1149863.0
146,1148052.0
147,1144849.0
148,1142866.0
149,1141319.0
150,1140208.0
151,1138161.0
152,1136554.0
153,1134363.0
154,1132507.0
155,1131854.0
156,1131229.0
157,1130659.0
158,1130441.0
159,1130168.0
160,1129071.0
161,1130144.0
162,1129904.0
163,1130377.0
164,1130648.0
165,1131216.0
166,1130555.0
167,1129922.0
168,1128467.0
169,1129353.0
170,1129892.0
171,1130401.0
172,1132240.0
173,1128774.0
174,1128907.0
175,1128093.0
176,1129448.0
177,1129125.0
178,1128098.0
179,1128474.0
180,1130167.0
181,1129434.0
182,1129667.0
183,1130000.0
184,1128480.0
185,1130567.0
186,1131481.0
187,1130280.0
188,1130444.0
189,1131080.0
190,1130729.0
191,1134299.0
192,1136125.0
193,1138871.0
194,1141978.0
195,1138573.0
196,1138606.0
197,1137881.0
198,1135880.0
199,1137296.0
200,1134818.0
201,1131529.0
202,1129606.0
203,1129144.0
204,1132299.0
205,1133513.0
206,1129980.0
207,1130048.0
208,1127169.0
209,1121574.0
210,1135308.0
211,1127055.0
212,1127943.0
213,1131925.0
214,1136533.0
215,1135584.0
216,1136171.0
217,1138816.0
218,1138828.0
219,1135689.0
220,1135320.0
221,1135221.0
222,1135281.0
223,1134833.0
224,1132716.0
225,1134912.0
226,1134483.0
227,1134621.0
228,1134059.0
229,1132696.0
230,1134099.0
231,1133514.0
232,1134280.0
233,1133657.0
234,1131145.0
235,1130582.0
236,1132686.0
237,1132148.0
238,1133182.0
239,1132992.0
240,1134838.0
241,1136060.0
242,1135226.0
243,1136240.0
244,1139365.0
245,1139102.0
246,1138715.0
247,1137166.0
248,1137185.0
249,1134123.0
250,1133846.0
251,1131062.0
252,1131512.0
253,1131570.0
254,1131449.0
255,1128910.0
256,1128293.0
257,1127405.0
258,1126007.0
259,1125859.0
260,1122684.0
261,1122569.0
262,1122197.0
263,1121936.0
264,1118055.0
265,1121092.0
266,1121239.0
267,1121763.0
268,1122245.0
269,1122301.0
270,1122659.0
271,1121865.0
272,1122187.0
273,1126404.0
274,1128909.0
275,1130929.0
276,1131400.0
277,1128721.0
278,1128700.0
279,1131410.0
280,1132754.0
281,1129346.0
282,1130167.0
283,1130312.0
284,1129954.0
285,1130520.0
286,1129445.0
287,1128630.0
288,1124168.0
289,1121792.0
290,1122089.0
291,1120876.0
292,1120010.0
293,1119438.0
294,1121362.0
295,1120608.0
296,1119470.0
297,1118904.0
298,1118536.0
299,1118600.0
300,1119369.0
301,1119481.0
302,1118752.0
303,1117854.0
304,1115487.0
305,1113529.0
306,1113731.0
307,1112088.0
308,1113029.0
309,1113374.0
310,1114240.0
311,1115538.0
312,1115346.0
313,1116963.0
314,1116575.0
315,1116454.0
316,1115342.0
317,1113434.0
318,1111332.0
319,1109351.0
320,1103555.0
321,1102571.0
322,1101142.0
323,1100767.0
324,1100076.0
325,1100204.0
326,1100260.0
327,1099763.0
328,1099461.0
329,1099608.0
330,1099786.0
331,1101046.0
332,1100720.0
333,1099913.0
334,1099685.0
335,1098972.0
336,1098501.0
337,1098080.0
338,1098357.0
339,1098723.0
340,1096160.0
341,1094730.0
342,1094848.0
343,1093834.0
344,1093142.0
345,1092422.0
346,1091723.0
347,1091411.0
348,1091646.0
349,1091949.0
