time,heat
0,1136562.0
1,1090622.0
2,1156791.0
3,1106165.0
4,1077855.0
5,1084854.0
6,1116105.0
7,1068877.0
8,1059624.0
9,1065564.0
10,1041721.0
11,1033761.0
12,871506.0
13,846655.0
14,789736.0
15,797549.0
16,776891.0
17,796731.0
18,746279.0
19,994961.0
20,1012283.0
21,1021318.0
22,1017381.0
23,1011726.0
24,1021640.0
25,1021089.0
26,594615.0
27,758724.0
28,943717.0
29,627539.0
30,657228.0
31,701511.0
32,578281.0
33,671920.0
34,569240.0
35,568417.0
36,619797.0
37,549966.0
38,559735.0
39,602505.0
40,831097.0
41,810575.0
42,790661.0
43,794837.0
44,774092.0
45,775572.0
46,793320.0
47,742742.0
48,739471.0
49,768829.0
50,735655.0
51,764577.0
52,725840.0
53,806358.0
54,800652.0
55,779418.0
56,785395.0
57,735703.0
58,803120.0
59,772199.0
60,685950.0
61,671274.0
62,728144.0
63,807972.0
64,894339.0
65,1012675.0
66,983783.0
67,1061175.0
68,1179121.0
69,1400492.0
70,1492059.0
71,1567962.0
72,1624436.0
73,1497682.0
74,1738149.0
75,1866238.0
76,2226929.0
77,2647620.0
78,2766439.0
79,2859931.0
80,2892663.0
81,2839548.0
82,2737790.0
83,2693549.0
84,2498371.0
85,2404152.0
86,2361824.0
87,2296336.0
88,2101921.0
89,2179685.0
90,1899259.0
91,1984775.0
92,1791636.0
93,1914226.0
94,1908055.0
95,1938666.0
96,1834448.0
97,1743258.0
98,1644119.0
99,1705360.0
100,1678394.0
101,1306843.0
102,1147605.0
103,1417500.0
104,1288302.0
105,1176791.0
106,1133331.0
107,1211325.0
108,1312176.0
109,1414283.0
110,1173931.0
111,1181736.0
112,1414704.0
113,1498114.0
114,1640537.0
115,1742950.0
116,1784522.0
117,1755674.0
118,1826757.0
119,1751735.0
120,1668841.0
121,1740165.0
122,1670012.0
123,1507954.0
124,1800176.0
125,2248700.0
126,2214102.0
127,1821901.0
128,1417709.0
129,2162882.0
130,1248282.0
131,2042909.0
132,1201313.0
133,1919181.0
134,1541521.0
135,1771731.0
136,1252880.0
137,1339164.0
138,1497236.0
139,1675218.0
140,1266624.0
141,1234315.0
142,1238616.0
143,1299306.0
144,1360799.0
145,1202539.0
146,1315800.0
147,1294779.0
148,1453386.0
149,1414055.0
150,1413063.0
151,1485613.0
152,1266963.0
153,1462495.0
154,1245317.0
155,1430773.0
156,1311423.0
157,1311936.0
158,1329183.0
159,1445575.0
160,1489828.0
161,1613626.0
162,1652411.0
163,1647783.0
164,1680028.0
165,1655829.0
166,1640570.0
167,1724421.0
168,1504285.0
169,1497984.0
170,1470858.0
171,1708586.0
172,1496816.0
173,1744078.0
174,2002427.0
175,2021427.0
176,1875699.0
177,2532605.0
178,2780362.0
179,2263339.0
180,1692284.0
181,1741518.0
182,2025604.0
183,2098811.0
184,2626060.0
185,2454444.0
186,2029197.0
187,1823007.0
188,1585859.0
189,1629078.0
190,1565255.0
191,2132838.0
192,1601181.0
193,1685899.0
194,1907338.0
195,1909464.0
196,1761966.0
197,1290489.0
198,1309736.0
199,1644394.0
200,1356385.0
201,1640136.0
202,1819680.0
203,1488154.0
204,1685018.0
205,1750939.0
206,1109831.0
207,1120383.0
208,1094632.0
209,1032275.0
210,1083999.0
211,1109425.0
212,1085757.0
213,1028108.0
214,1047017.0
215,1089664.0
216,1048342.0
217,1045629.0
218,1087423.0
219,1005262.0
220,1010857.0
221,1033949.0
222,969506.0
223,992481.0
224,994485.0
225,1002114.0
226,986607.0
227,966461.0
228,957907.0
229,958963.0
230,954246.0
231,534658.0
232,424347.0
233,373825.0
234,300659.0
235,223687.0
236,185374.0
237,164117.0
