time,heat
0,101642.0
1,118601.0
2,127606.0
3,140971.0
4,155001.0
5,176303.0
6,193958.0
7,210643.0
8,239676.0
9,264629.0
10,295312.0
11,318546.0
12,344668.0
13,376086.0
14,417687.0
15,482840.0
16,550985.0
17,615329.0
18,677838.0
19,745118.0
20,793746.0
21,886407.0
22,1153309.0
23,1162092.0
24,1172231.0
25,1181144.0
26,1196701.0
27,1238980.0
28,1306593.0
29,1348943.0
30,1397939.0
31,1424502.0
32,1457683.0
33,1494215.0
34,1532834.0
35,1512047.0
36,1462324.0
37,1502752.0
38,1531864.0
39,1515788.0
40,1480031.0
41,1509671.0
42,1537555.0
43,1533399.0
44,1566882.0
45,1606205.0
46,1649477.0
47,1625694.0
48,1593438.0
49,1621571.0
50,1653432.0
51,1628634.0
52,1613524.0
53,1620271.0
54,1653345.0
55,1644904.0
56,1642901.0
57,1672591.0
58,1699707.0
59,1692154.0
60,1679491.0
61,1687126.0
62,1724390.0
63,1693375.0
64,1677189.0
65,1681827.0
66,1692178.0
67,1683239.0
68,1666234.0
69,1677099.0
70,1687391.0
71,1684256.0
72,1667728.0
73,1703230.0
74,1712428.0
75,1720541.0
76,1731909.0
77,1751666.0
78,1763717.0
79,1772404.0
80,1774152.0
81,1790046.0
82,1787810.0
83,1811023.0
84,1795151.0
85,1779334.0
86,1774874.0
87,1760975.0
88,1739665.0
89,1712046.0
90,1704862.0
91,1696973.0
92,1685977.0
93,1669956.0
94,1661023.0
95,1652807.0
96,1628498.0
97,1626098.0
98,1615366.0
99,1613470.0
100,1592813.0
101,1585452.0
102,1584339.0
103,1548969.0
104,1523158.0
105,1507249.0
106,1502114.0
107,1494516.0
108,1474216.0
109,1457846.0
110,1448526.0
111,1438322.0
112,1434885.0
113,1414603.0
114,1418094.0
115,1407914.0
116,1403096.0
117,1399700.0
118,1398805.0
119,1399091.0
120,1391727.0
121,1364613.0
122,1347356.0
123,1333177.0
124,1305930.0
125,1280865.0
126,1265162.0
127,1249317.0
128,1224293.0
129,1198514.0
130,1177995.0
131,1183001.0
132,1182841.0
133,1178304.0
134,1176761.0
135,1172794.0
136,1173067.0
137,1168920.0
138,1168632.0
139,1159068.0
140,1152536.0
141,1149836.0
142,1138698.0
143,1132798.0
144,1126094.0
145,1120722.0
146,1111803.0
147,1107481.0
148,1103694.0
149,1097464.0
150,1095366.0
151,1092016.0
152,1085512.0
153,1082802.0
154,1084258.0
155,1073956.0
156,1049170.0
157,1027282.0
158,996229.0
159,991453.0
160,962454.0
161,950203.0
162,943123.0
163,944526.0
164,944013.0
165,953358.0
166,948556.0
167,945369.0
168,944834.0
169,935698.0
170,925920.0
171,914331.0
172,894014.0
173,885334.0
174,869761.0
175,847331.0
176,834109.0
177,817776.0
178,806533.0
179,800859.0
180,788702.0
181,771972.0
182,770689.0
183,763746.0
184,760690.0
185,755306.0
186,758294.0
187,756149.0
188,748166.0
189,745141.0
190,739651.0
191,740802.0
192,729487.0
193,727845.0
194,723284.0
195,721811.0
196,717762.0
197,715702.0
198,711047.0
199,705136.0
200,700770.0
201,699399.0
202,700828.0
203,707966.0
204,704926.0
205,703932.0
206,696306.0
207,690862.0
208,691945.0
209,698479.0
210,703674.0
211,706837.0
212,699570.0
213,687472.0
214,679861.0
215,681179.0
216,679061.0
217,674851.0
218,662430.0
219,661978.0
220,658622.0
221,664897.0
222,661686.0
223,659001.0
224,661145.0
225,663235.0
226,648244.0
227,649275.0
228,647434.0
229,638577.0
230,634639.0
231,618204.0
232,592793.0
233,594924.0
234,587259.0
235,580002.0
236,577750.0
237,567260.0
238,561849.0
239,563229.0
240,565999.0
241,567597.0
242,567630.0
243,568404.0
244,563808.0
245,578412.0
246,581226.0
247,590060.0
248,598223.0
249,600622.0
250,600254.0
251,603035.0
252,606643.0
253,613174.0
254,613023.0
255,594416.0
256,598824.0
257,595471.0
258,592216.0
259,576914.0
260,640150.0
261,597784.0
262,596366.0
263,594302.0
264,597064.0
265,596338.0
266,595564.0
267,593375.0
268,590641.0
269,586490.0
270,566559.0
271,566244.0
272,561009.0
273,558444.0
274,552058.0
275,551761.0
276,544814.0
277,534204.0
278,534078.0
279,537863.0
280,530484.0
281,512200.0
282,565703.0
283,527612.0
284,529371.0
285,529023.0
286,531069.0
287,533230.0
288,523484.0
289,514731.0
290,504328.0
291,490618.0
292,482171.0
293,471225.0
294,456520.0
295,448889.0
296,442768.0
297,438934.0
298,435193.0
299,440416.0
300,437048.0
301,440097.0
302,435290.0
303,493996.0
304,474855.0
305,432402.0
306,429760.0
307,426506.0
308,420602.0
309,409378.0
310,403242.0
311,391828.0
312,386922.0
313,383824.0
314,380601.0
315,431827.0
316,409045.0
317,378159.0
318,376569.0
319,380140.0
320,375779.0
321,380778.0
322,380693.0
323,388268.0
324,391934.0
325,393350.0
326,392828.0
327,397838.0
328,402181.0
329,404817.0
330,408171.0
331,411946.0
332,411120.0
333,418177.0
334,360318.0
335,357383.0
336,429842.0
337,423721.0
338,426239.0
339,428057.0
340,428022.0
341,428213.0
342,426664.0
343,428520.0
344,427785.0
345,427527.0
346,434096.0
347,437105.0
348,445516.0
349,449272.0
