time,heat
0,289983.0
1,680635.0
2,688859.0
3,696358.0
4,704775.0
5,713264.0
6,721122.0
7,732231.0
8,741183.0
9,750108.0
10,759170.0
11,766015.0
12,775901.0
13,785294.0
14,794699.0
15,803651.0
16,812649.0
17,822296.0
18,831271.0
19,840238.0
20,845358.0
21,863011.0
22,868148.0
23,877804.0
24,885674.0
25,895205.0
26,903589.0
27,913337.0
28,921268.0
29,930916.0
30,939712.0
31,948023.0
32,956924.0
33,965394.0
34,973661.0
35,982358.0
36,990714.0
37,1000124.0
38,1009063.0
39,1017548.0
40,1025758.0
41,1034815.0
42,1043439.0
43,1052350.0
44,1060459.0
45,1070394.0
46,1078963.0
47,1088435.0
48,1096826.0
49,1107193.0
50,1116344.0
51,1111553.0
52,1125454.0
53,1119068.0
54,1119224.0
55,1120877.0
56,1120816.0
57,1122497.0
58,1122610.0
59,1124210.0
60,1122263.0
61,1122752.0
62,1122602.0
63,1122895.0
64,1124621.0
65,1124653.0
66,1125184.0
67,1126308.0
68,1126337.0
69,1128581.0
70,1129121.0
71,1129602.0
72,1128609.0
73,1128587.0
74,1124783.0
75,1127171.0
76,1127214.0
77,1129220.0
78,1128540.0
79,1130067.0
80,1130422.0
81,1130838.0
82,1130242.0
83,1131185.0
84,1129924.0
85,1130600.0
86,1129488.0
87,1130953.0
88,1130530.0
89,1132709.0
90,1133304.0
91,1135153.0
92,1134897.0
93,1137702.0
94,1135934.0
95,1137428.0
96,1137498.0
97,1137875.0
98,1136609.0
99,1136396.0
100,1135770.0
101,1135602.0
102,1130446.0
103,1146186.0
104,1134515.0
105,1135522.0
106,1134346.0
107,1134600.0
108,1134059.0
109,1134583.0
110,1133847.0
111,1133728.0
112,1130667.0
113,1132635.0
114,1132470.0
115,1135627.0
116,1133650.0
117,1132335.0
118,1131030.0
119,1133245.0
120,1133347.0
121,1131973.0
122,1130312.0
123,1133450.0
124,1132720.0
125,1130103.0
126,1130355.0
127,1131867.0
128,1132402.0
129,1131436.0
130,1128098.0
131,1129799.0
132,1128019.0
133,1129561.0
134,1128229.0
135,1129250.0
136,1127095.0
137,1128284.0
138,1127684.0
139,1127983.0
140,1126442.0
141,1125485.0
142,1123767.0
143,1124004.0
144,1122174.0
145,1120193.0
146,1119376.0
147,1120329.0
148,1119168.0
149,1119092.0
150,1117733.0
151,1119557.0
152,1118188.0
153,1120188.0
154,1119144.0
155,1119420.0
156,1119075.0
157,1119152.0
158,1118823.0
159,1119196.0
160,1118372.0
161,1118799.0
162,1117735.0
163,1118769.0
164,1119373.0
165,1120189.0
166,1118419.0
167,1119289.0
168,1117561.0
169,1120054.0
170,1118707.0
171,1118611.0
172,1118270.0
173,1120359.0
174,1119737.0
175,1119313.0
176,1119243.0
177,1117787.0
178,1117468.0
179,1119048.0
180,1117318.0
181,1115497.0
182,1113697.0
183,1116241.0
184,1115218.0
185,1116412.0
186,1116670.0
187,1115437.0
188,1114059.0
189,1115441.0
190,1113566.0
191,1114826.0
192,1113380.0
193,1112286.0
194,1110123.0
195,1110356.0
196,1110054.0
197,1110439.0
198,1109249.0
199,1110639.0
200,1110760.0
201,1111755.0
202,1109888.0
203,1105425.0
204,1115943.0
205,1111764.0
206,1112240.0
207,1112651.0
208,1111050.0
209,1110790.0
210,1109203.0
211,1110682.0
212,1110949.0
213,1110071.0
214,1108344.0
215,1107389.0
216,1106756.0
217,1105012.0
218,1104480.0
219,1104833.0
220,1103777.0
221,1104947.0
222,1103752.0
223,1102005.0
224,1100111.0
225,1099617.0
226,1100969.0
227,1100846.0
228,1099831.0
229,1099240.0
230,1097565.0
231,1096481.0
232,1096393.0
233,1095637.0
234,1094054.0
235,1094680.0
236,1094140.0
237,1092646.0
238,1092461.0
239,1092703.0
240,1091483.0
241,1092178.0
242,1091025.0
243,1090786.0
244,1090333.0
245,1090751.0
246,1091545.0
247,1092043.0
248,1090103.0
249,1090634.0
250,1088753.0
251,554507.0
252,548152.0
253,556402.0
254,559415.0
255,552845.0
256,544738.0
257,532599.0
258,521571.0
259,527556.0
260,513810.0
261,508616.0
262,500541.0
263,492893.0
264,479684.0
265,480209.0
266,455266.0
267,506501.0
268,473938.0
269,476333.0
270,476191.0
271,474296.0
272,475003.0
273,485870.0
274,485307.0
275,485536.0
276,490128.0
277,492696.0
278,489976.0
279,491843.0
280,488366.0
281,482129.0
282,479272.0
283,469364.0
284,467357.0
285,468651.0
286,461414.0
287,462730.0
288,463348.0
289,460195.0
290,456991.0
291,461073.0
292,466108.0
293,465220.0
294,462856.0
295,463137.0
296,461363.0
297,461237.0
298,453096.0
299,445091.0
300,446391.0
301,449454.0
302,445833.0
303,450230.0
304,448841.0
305,440233.0
306,438426.0
307,434906.0
308,434981.0
309,435530.0
310,435881.0
311,444046.0
312,445706.0
313,441439.0
314,441356.0
315,446334.0
316,446153.0
317,444186.0
318,434833.0
319,442748.0
320,439988.0
321,511066.0
322,438908.0
323,440521.0
324,458927.0
325,453915.0
326,449999.0
327,448667.0
328,447864.0
329,449468.0
330,448012.0
331,445433.0
332,443678.0
333,422698.0
334,417410.0
335,416869.0
336,416438.0
337,416106.0
338,411811.0
339,408421.0
340,407169.0
341,405019.0
342,402512.0
343,401079.0
344,396302.0
345,391284.0
346,386880.0
347,376660.0
348,373311.0
349,371998.0
