time,heat
0,222044.0
1,227731.0
2,233459.0
3,228701.0
4,250951.0
5,258179.0
6,261600.0
7,263970.0
8,266063.0
9,276308.0
10,293780.0
11,310751.0
12,331610.0
13,349190.0
14,365620.0
15,381529.0
16,362065.0
17,411480.0
18,390728.0
19,469626.0
20,437835.0
21,474640.0
22,527389.0
23,559783.0
24,594638.0
25,620651.0
26,648329.0
27,627082.0
28,625286.0
29,1065054.0
30,1107348.0
31,1151681.0
32,1222518.0
33,1257566.0
34,1301903.0
35,1360702.0
36,1411796.0
37,1411180.0
38,1421692.0
39,1554562.0
40,1606375.0
41,1646072.0
42,1682431.0
43,1712796.0
44,1755348.0
45,1778428.0
46,1802369.0
47,1863122.0
48,1841403.0
49,1846047.0
50,1844408.0
51,1852976.0
52,1847313.0
53,1833748.0
54,1803615.0
55,1792045.0
56,1788008.0
57,1799610.0
58,1790789.0
59,1806962.0
60,1795128.0
61,1781413.0
62,1799015.0
63,1800986.0
64,1816735.0
65,1826436.0
66,1829798.0
67,1833360.0
68,1855926.0
69,1857508.0
70,1872728.0
71,1862813.0
72,1868000.0
73,1850169.0
74,1843642.0
75,1825560.0
76,1805425.0
77,1808945.0
78,1791508.0
79,1792619.0
80,1788971.0
81,1792561.0
82,1787130.0
83,1793352.0
84,1795038.0
85,1807457.0
86,1789602.0
87,1818163.0
88,1823240.0
89,1842578.0
90,1863441.0
91,1879850.0
92,1896185.0
93,1891072.0
94,1882218.0
95,1873723.0
96,1872529.0
97,1870361.0
98,1846274.0
99,1775473.0
100,1720732.0
101,1689339.0
102,1669598.0
103,1651263.0
104,1596764.0
105,1580752.0
106,1563424.0
107,1564813.0
108,1562096.0
109,1557865.0
110,1559343.0
111,1558467.0
112,1554108.0
113,1533247.0
114,1525606.0
115,1563413.0
116,1555418.0
117,1561716.0
118,1565869.0
119,1544897.0
120,1516612.0
121,1513275.0
122,1507828.0
123,1501449.0
124,1490590.0
125,1485578.0
126,1486847.0
127,1474214.0
128,1471231.0
129,1459604.0
130,1476761.0
131,1457249.0
132,1453260.0
133,1436927.0
134,1428569.0
135,1425412.0
136,1411812.0
137,1379532.0
138,1351856.0
139,1320039.0
140,1291689.0
141,1270419.0
142,1260532.0
143,1239402.0
144,1220072.0
145,1197549.0
146,1179198.0
147,1168378.0
148,1160068.0
149,1140017.0
150,1121381.0
151,1106975.0
152,1101519.0
153,1088440.0
154,1067036.0
155,1063881.0
156,1028351.0
157,1029526.0
158,989041.0
159,985236.0
160,981874.0
161,971849.0
162,964107.0
163,954077.0
164,960344.0
165,944478.0
166,930255.0
167,919112.0
168,903999.0
169,897667.0
170,887740.0
171,881010.0
172,862955.0
173,857403.0
174,860062.0
175,843344.0
176,831630.0
177,823554.0
178,818437.0
179,814533.0
180,809145.0
181,784890.0
182,779845.0
183,773826.0
184,784988.0
185,720002.0
186,802807.0
187,766808.0
188,758387.0
189,764649.0
190,772161.0
191,684399.0
192,379426.0
193,272480.0
194,222452.0
195,233314.0
196,247279.0
197,247105.0
198,255849.0
199,299240.0
200,292330.0
201,259009.0
202,270149.0
203,274497.0
204,280205.0
205,282698.0
206,297037.0
207,247096.0
208,288603.0
209,283386.0
210,283899.0
211,309614.0
212,303978.0
213,297867.0
214,285754.0
215,282599.0
216,271352.0
217,265480.0
218,257482.0
219,263564.0
220,321820.0
221,269046.0
222,317770.0
223,312243.0
224,307741.0
225,303599.0
226,241140.0
227,241805.0
228,218420.0
229,224053.0
230,230512.0
231,239398.0
232,230364.0
233,233244.0
234,242160.0
235,237965.0
236,242411.0
237,306123.0
238,305078.0
239,304907.0
240,302899.0
241,299355.0
242,297363.0
243,281080.0
244,290908.0
245,285779.0
246,273781.0
247,311080.0
248,276661.0
249,264325.0
250,285724.0
251,278283.0
252,287778.0
253,281816.0
254,263216.0
255,294509.0
256,281832.0
257,271660.0
258,349922.0
259,331377.0
260,279623.0
261,270008.0
262,267572.0
263,314152.0
264,305504.0
265,313180.0
266,347443.0
267,345858.0
268,348060.0
269,345768.0
270,343780.0
271,341381.0
272,331875.0
273,333002.0
274,333944.0
275,326447.0
276,327941.0
277,374300.0
278,376947.0
279,396356.0
280,391109.0
281,389212.0
282,385765.0
283,363478.0
284,340011.0
285,317838.0
286,299411.0
287,306918.0
288,362473.0
289,361673.0
290,392060.0
291,363431.0
292,366656.0
293,352947.0
294,362155.0
295,300816.0
296,305427.0
297,334154.0
298,339854.0
299,322345.0
300,395837.0
301,390670.0
302,383018.0
303,380419.0
304,309885.0
305,303077.0
306,301020.0
307,303207.0
308,293510.0
309,317643.0
310,309161.0
311,376967.0
312,370160.0
313,428583.0
314,423944.0
315,420638.0
316,394704.0
317,399341.0
318,304893.0
319,302940.0
320,303710.0
321,300842.0
322,294436.0
323,317393.0
324,305857.0
325,346009.0
326,398300.0
327,383722.0
328,383011.0
329,384315.0
330,382274.0
331,358937.0
332,357034.0
333,363056.0
334,367025.0
335,272158.0
336,268331.0
337,257978.0
338,240315.0
339,234413.0
340,233036.0
341,238402.0
342,242771.0
343,243947.0
344,221082.0
345,314841.0
346,244386.0
347,201669.0
348,259527.0
349,195637.0
