time,heat
0,1691785.0
1,1981217.0
2,2283183.0
3,2435267.0
4,2721099.0
5,4047699.0
6,4747346.0
7,5029433.0
8,5674451.0
9,5826479.0
10,6383230.0
11,6600481.0
12,6805473.0
13,6970483.0
14,6912949.0
15,6989951.0
16,7334064.0
17,7457566.0
18,7563128.0
19,7543459.0
20,7336359.0
21,7106388.0
22,6788330.0
23,6300238.0
24,6464877.0
25,6511308.0
26,6764562.0
27,6833485.0
28,6915669.0
29,6639950.0
30,6705379.0
31,6880210.0
32,6820276.0
33,6982865.0
34,6978341.0
35,6996332.0
36,7066966.0
37,7114435.0
38,7077272.0
39,7100880.0
40,7422326.0
41,7548086.0
42,7552948.0
43,1035811.0
44,1138127.0
45,1548708.0
46,1393129.0
47,1686183.0
48,1659421.0
49,342210.0
50,377789.0
51,356677.0
52,372716.0
53,384149.0
54,391734.0
55,400102.0
56,402048.0
57,408876.0
58,402385.0
59,419225.0
60,401362.0
61,425789.0
62,419207.0
63,400873.0
64,450136.0
65,390609.0
66,413613.0
67,395004.0
68,473315.0
69,446510.0
70,472962.0
71,511404.0
72,522468.0
73,577539.0
74,577794.0
75,585591.0
76,568788.0
77,529117.0
78,589103.0
79,554721.0
80,522652.0
81,643542.0
82,574269.0
83,584663.0
84,459756.0
85,195299.0
86,169238.0
87,140432.0
88,143265.0
89,128904.0
90,124325.0
91,105784.0
92,96833.0
