time,heat
0,945407.0
1,935750.0
2,921853.0
3,959986.0
4,951142.0
5,1006766.0
6,955713.0
7,947440.0
8,969654.0
9,985869.0
10,2582164.0
11,2632619.0
12,2743391.0
13,2859521.0
14,2962342.0
15,3176472.0
16,3314154.0
17,3365938.0
18,3422950.0
19,3452149.0
20,3449302.0
21,3319993.0
22,3201633.0
23,3048435.0
24,2927158.0
25,2862599.0
26,2884658.0
27,2867137.0
28,2863938.0
29,2852944.0
30,2827116.0
31,2822268.0
32,2756060.0
33,2785055.0
34,2774304.0
35,2752389.0
36,2744884.0
37,2709318.0
38,2700152.0
39,2666480.0
40,2636181.0
41,2611856.0
42,2582475.0
43,2552621.0
44,2501658.0
45,2446745.0
46,2422034.0
47,2382819.0
48,2362864.0
49,2338702.0
50,2262872.0
51,2198755.0
52,2149451.0
53,2090580.0
54,2063483.0
55,1997130.0
56,1936792.0
57,1909987.0
58,1899799.0
59,1852227.0
60,1835468.0
61,1830874.0
62,1818076.0
63,1814332.0
64,1780622.0
65,1800621.0
66,1803386.0
67,1775778.0
68,1756514.0
69,1741077.0
70,1725350.0
71,1724163.0
72,1699128.0
73,1677104.0
74,1654623.0
75,1636918.0
76,1605166.0
77,1591305.0
78,1577623.0
79,1557111.0
80,1551095.0
81,1530178.0
82,1523129.0
83,1507465.0
84,1501929.0
85,1487108.0
86,1467265.0
87,1432935.0
88,1425326.0
89,1416584.0
90,1421131.0
91,1413614.0
92,1407736.0
93,1395125.0
94,1388448.0
95,1369596.0
96,1356753.0
97,1345496.0
98,1348025.0
99,1343261.0
100,1326627.0
101,1317516.0
102,1333425.0
103,1170140.0
104,1141318.0
105,786336.0
106,737821.0
107,684488.0
108,496262.0
109,473029.0
110,507831.0
111,510081.0
112,438818.0
113,449648.0
114,458997.0
115,484159.0
116,447686.0
117,450792.0
118,448531.0
119,433689.0
120,418322.0
121,328354.0
122,331665.0
123,322457.0
124,318481.0
125,368576.0
126,455784.0
127,446505.0
128,400050.0
129,438401.0
130,399072.0
131,393929.0
132,435073.0
133,465166.0
134,473231.0
135,482222.0
136,494860.0
137,498898.0
138,503581.0
139,530391.0
140,504470.0
141,490911.0
142,485275.0
143,484293.0
144,470832.0
145,468411.0
146,442563.0
147,432189.0
148,433953.0
149,442146.0
150,424682.0
151,421674.0
152,421389.0
153,432820.0
154,448814.0
155,446917.0
156,445910.0
157,438856.0
158,485530.0
159,499409.0
160,496052.0
161,585899.0
162,606447.0
163,620594.0
164,631356.0
165,763055.0
166,631454.0
167,627829.0
168,826995.0
169,612295.0
170,611070.0
171,612516.0
172,613363.0
173,751514.0
174,599788.0
175,728945.0
176,605831.0
177,704059.0
178,594518.0
179,636653.0
180,570302.0
181,581037.0
182,556031.0
183,538776.0
184,532851.0
185,513182.0
186,499956.0
187,502966.0
188,483091.0
189,476165.0
190,469002.0
191,465028.0
192,445006.0
193,433658.0
194,429703.0
195,286254.0
196,284470.0
197,272190.0
198,267265.0
199,268847.0
200,321848.0
201,312889.0
202,299940.0
203,288992.0
204,282811.0
205,289202.0
206,281689.0
207,273738.0
208,265077.0
209,257411.0
210,257019.0
211,252248.0
212,243750.0
213,244038.0
214,239053.0
215,215509.0
216,211529.0
217,208113.0
218,207188.0
219,198954.0
220,188116.0
221,181920.0
222,178136.0
223,175991.0
224,174372.0
225,170535.0
226,166236.0
227,168797.0
228,166227.0
229,170553.0
230,170163.0
231,170929.0
232,168673.0
233,172641.0
234,175840.0
235,175460.0
236,167276.0
237,166296.0
238,169923.0
239,167906.0
240,158460.0
241,154891.0
242,153680.0
243,159213.0
244,161082.0
245,162672.0
246,162459.0
247,166917.0
248,166168.0
249,167936.0
250,171071.0
251,176562.0
252,182607.0
253,179279.0
254,177269.0
255,176599.0
256,172445.0
257,168784.0
258,164152.0
259,161158.0
260,162475.0
261,164776.0
262,168920.0
263,164932.0
264,161107.0
265,160843.0
266,163879.0
267,159417.0
268,158569.0
269,158896.0
270,160769.0
271,158462.0
272,162244.0
273,159497.0
274,157038.0
275,148985.0
276,147448.0
277,145204.0
278,148207.0
279,166533.0
280,169445.0
281,177558.0
282,185702.0
283,193957.0
284,199986.0
285,206853.0
286,215687.0
287,222343.0
288,213900.0
289,222039.0
290,231189.0
291,235625.0
292,232644.0
293,239356.0
294,243289.0
295,236804.0
296,244335.0
297,243266.0
298,254859.0
299,254643.0
300,248998.0
301,261351.0
302,265025.0
303,267841.0
304,269112.0
305,277878.0
306,282055.0
307,281120.0
308,293442.0
309,293318.0
310,293561.0
311,293834.0
312,304742.0
313,300395.0
314,302538.0
315,302325.0
316,292803.0
317,285134.0
318,278708.0
319,270398.0
320,243711.0
321,254110.0
322,249739.0
323,238283.0
324,267722.0
325,245943.0
326,246694.0
327,247091.0
328,249495.0
329,247367.0
330,250957.0
331,235066.0
332,217138.0
333,231947.0
334,242367.0
335,243528.0
336,236557.0
337,230639.0
338,221427.0
339,216617.0
340,214737.0
341,216259.0
342,213073.0
343,210044.0
344,198351.0
345,196567.0
346,194086.0
347,190295.0
348,187954.0
349,181305.0
