time,heat
0,129643.0
1,143153.0
2,161276.0
3,172714.0
4,195017.0
5,224480.0
6,250564.0
7,277723.0
8,313527.0
9,338472.0
10,358683.0
11,408795.0
12,453546.0
13,557427.0
14,679454.0
15,769518.0
16,910049.0
17,1061206.0
18,1203818.0
19,1332925.0
20,1525746.0
21,1640851.0
22,1825265.0
23,1934662.0
24,2117787.0
25,2234338.0
26,2401537.0
27,2508482.0
28,2646121.0
29,2763144.0
30,2863141.0
31,2969413.0
32,3031279.0
33,3100367.0
34,3195485.0
35,3242351.0
36,3184406.0
37,3146212.0
38,3132755.0
39,3152057.0
40,3123348.0
41,3113995.0
42,3128758.0
43,3151251.0
44,3153395.0
45,3163667.0
46,3154984.0
47,3161834.0
48,3207342.0
49,3244580.0
50,3243141.0
51,3264313.0
52,3255805.0
53,3263373.0
54,3269314.0
55,3273068.0
56,3265100.0
57,3260286.0
58,3267576.0
59,3282482.0
60,3269433.0
61,3261765.0
62,3245222.0
63,3239874.0
64,3217182.0
65,3183050.0
66,3136551.0
67,3124980.0
68,3108611.0
69,3096134.0
70,3047812.0
71,3000191.0
72,2978633.0
73,2937762.0
74,2923535.0
75,2891375.0
76,2860718.0
77,2850513.0
78,2822107.0
79,2814814.0
80,2817208.0
81,915089.0
82,532726.0
83,533424.0
84,528403.0
85,477081.0
86,465943.0
87,450515.0
88,438840.0
89,443773.0
90,440340.0
91,429287.0
92,478534.0
93,523080.0
94,526670.0
95,439364.0
96,450713.0
97,460481.0
98,489090.0
99,447972.0
100,451831.0
101,450173.0
102,433954.0
103,419456.0
104,328908.0
105,333233.0
106,323553.0
107,320179.0
108,379887.0
109,455895.0
110,447475.0
111,400128.0
112,439938.0
113,399160.0
114,394275.0
115,439500.0
116,466454.0
117,473493.0
118,483197.0
119,496298.0
120,499514.0
121,504146.0
122,534850.0
123,504529.0
124,492507.0
125,485916.0
126,485461.0
127,473337.0
128,469352.0
129,443731.0
130,437858.0
131,430367.0
132,406534.0
133,403257.0
134,395120.0
135,395316.0
136,402072.0
137,441262.0
138,437989.0
139,442841.0
140,412157.0
141,479100.0
142,476124.0
143,490106.0
144,536154.0
145,520290.0
146,507566.0
147,477712.0
148,511845.0
149,494578.0
150,490219.0
151,489593.0
152,488780.0
153,487548.0
154,487469.0
155,473648.0
156,467509.0
157,442468.0
158,429673.0
159,438090.0
160,445023.0
161,444382.0
162,433207.0
163,429512.0
164,419599.0
165,493425.0
166,491194.0
167,492363.0
168,496990.0
169,497960.0
170,484850.0
171,488739.0
172,485105.0
173,469391.0
174,464480.0
175,448468.0
176,442024.0
177,440228.0
178,286571.0
179,284550.0
180,274726.0
181,268625.0
182,268980.0
183,420777.0
184,414941.0
185,412353.0
186,408709.0
187,396044.0
188,393774.0
189,392631.0
190,389801.0
191,410756.0
192,417034.0
193,366640.0
194,387643.0
195,370940.0
196,351167.0
197,345667.0
198,336170.0
199,352654.0
200,330630.0
201,356262.0
202,339723.0
203,339986.0
204,331831.0
205,324580.0
206,332816.0
207,318075.0
208,336071.0
209,353264.0
210,337488.0
211,342245.0
212,353905.0
213,416264.0
214,422721.0
215,426290.0
216,415982.0
217,419154.0
218,335220.0
219,331210.0
220,410814.0
221,409896.0
222,433900.0
223,435220.0
224,435117.0
225,424403.0
226,408438.0
227,428314.0
228,421646.0
229,389145.0
230,399196.0
231,388318.0
232,382318.0
233,376009.0
234,373622.0
235,354425.0
236,371975.0
237,355629.0
238,361560.0
239,360865.0
240,359837.0
241,351347.0
242,343081.0
243,334272.0
244,325972.0
245,320481.0
246,322936.0
247,307104.0
248,307548.0
249,307788.0
250,288306.0
251,287731.0
252,290696.0
253,291892.0
254,289909.0
255,357044.0
256,299486.0
257,317166.0
258,310603.0
259,321708.0
260,313682.0
261,272821.0
262,314355.0
263,261193.0
264,270514.0
265,302212.0
266,287934.0
267,299747.0
268,291667.0
269,291841.0
270,293746.0
271,286918.0
272,298379.0
273,305646.0
274,284291.0
275,296623.0
276,281647.0
277,280175.0
278,271348.0
279,280013.0
280,295461.0
281,277014.0
282,306844.0
283,290471.0
284,300998.0
285,295655.0
286,296980.0
287,291293.0
288,279960.0
289,290021.0
290,286817.0
291,281615.0
292,287014.0
293,289939.0
294,289907.0
295,276818.0
296,273783.0
297,271785.0
298,271842.0
299,270657.0
300,253606.0
301,260006.0
302,264300.0
303,271058.0
304,243771.0
305,293011.0
306,322002.0
307,283571.0
308,336375.0
309,327630.0
310,248674.0
311,327873.0
312,299817.0
313,294446.0
314,313231.0
315,236294.0
316,218604.0
317,232211.0
318,244276.0
319,245975.0
320,251616.0
321,299033.0
322,283938.0
323,258757.0
324,269582.0
325,270456.0
326,274814.0
327,278364.0
328,296613.0
329,242454.0
330,264292.0
331,263352.0
332,270312.0
333,308609.0
334,301883.0
335,295264.0
336,285261.0
337,282298.0
338,268694.0
339,264681.0
340,256689.0
341,256331.0
342,307649.0
343,255584.0
344,309803.0
345,311184.0
346,305849.0
347,303491.0
348,238575.0
349,235235.0
