time,heat
0,167096.0
1,185248.0
2,310218.0
3,353225.0
4,350873.0
5,346762.0
6,304221.0
7,311684.0
8,284283.0
9,280754.0
10,281000.0
11,278171.0
12,271192.0
13,266158.0
14,262502.0
15,248417.0
16,253138.0
17,250338.0
18,213907.0
19,235161.0
20,259244.0
21,287469.0
22,319390.0
23,349159.0
24,382499.0
25,422546.0
26,470188.0
27,512811.0
28,560047.0
29,607811.0
30,644025.0
31,671312.0
32,719140.0
33,768185.0
34,777545.0
35,802579.0
36,911087.0
37,965758.0
38,1022416.0
39,1046350.0
40,1069387.0
41,1111820.0
42,1153208.0
43,1193155.0
44,1218130.0
45,1255291.0
46,1300017.0
47,1324958.0
48,1330820.0
49,1364320.0
50,1422727.0
51,1439613.0
52,1423956.0
53,1457288.0
54,1529822.0
55,1555794.0
56,1580032.0
57,1621492.0
58,1676839.0
59,1689606.0
60,1695832.0
61,1726432.0
62,1764207.0
63,1769727.0
64,1750950.0
65,1751970.0
66,1750871.0
67,1760645.0
68,1756188.0
69,1770587.0
70,1768641.0
71,1766315.0
72,1755669.0
73,1754950.0
74,1767647.0
75,1767820.0
76,1774881.0
77,1777597.0
78,1782987.0
79,1777997.0
80,1779043.0
81,1788103.0
82,1800136.0
83,1798298.0
84,1786326.0
85,1760358.0
86,1755644.0
87,1742181.0
88,1726004.0
89,1710773.0
90,1688402.0
91,1616153.0
92,1591873.0
93,1569539.0
94,1556517.0
95,1547053.0
96,1546011.0
97,1539622.0
98,1557694.0
99,1557865.0
100,1559469.0
101,1561018.0
102,1556647.0
103,1550582.0
104,1540771.0
105,1522098.0
106,1514803.0
107,1490792.0
108,1454048.0
109,1430497.0
110,1400417.0
111,1382156.0
112,1359715.0
113,1328709.0
114,1304861.0
115,1288278.0
116,1270366.0
117,1251519.0
118,1231895.0
119,1226101.0
120,1221320.0
121,1203272.0
122,1193435.0
123,1189282.0
124,1188226.0
125,1186800.0
126,1186217.0
127,1184559.0
128,1183962.0
129,1183786.0
130,1183006.0
131,1182200.0
132,1180744.0
133,1178995.0
134,1177543.0
135,1177015.0
136,1176159.0
137,1174872.0
138,1173369.0
139,1171158.0
140,1169123.0
141,1167059.0
142,1164867.0
143,1161110.0
144,1159260.0
145,1157451.0
146,1154354.0
147,1152272.0
148,1150941.0
149,1149940.0
150,1149403.0
151,922190.0
152,920308.0
153,915631.0
154,907984.0
155,886883.0
156,878002.0
157,868912.0
158,858582.0
159,848067.0
160,835290.0
161,822089.0
162,809187.0
163,797926.0
164,783589.0
165,781463.0
166,790268.0
167,782543.0
168,771334.0
169,769110.0
170,767529.0
171,768118.0
172,755735.0
173,756143.0
174,751852.0
175,746588.0
176,747023.0
177,747220.0
178,737255.0
179,729230.0
180,725043.0
181,718241.0
182,712870.0
183,703641.0
184,699347.0
185,703939.0
186,699182.0
187,693996.0
188,691452.0
189,700059.0
190,696982.0
191,693586.0
192,651091.0
193,721237.0
194,695295.0
195,689741.0
196,688226.0
197,685230.0
198,675792.0
199,669939.0
200,667340.0
201,666819.0
202,661364.0
203,651296.0
204,646074.0
205,644696.0
206,636903.0
207,633369.0
208,637432.0
209,637317.0
210,632767.0
211,633478.0
212,637676.0
213,640801.0
214,605334.0
215,680368.0
216,656770.0
217,652320.0
218,655319.0
219,657853.0
220,648344.0
221,632607.0
222,614585.0
223,598637.0
224,582163.0
225,567556.0
226,553487.0
227,540531.0
228,526083.0
229,520609.0
230,520552.0
231,515782.0
232,521060.0
233,523096.0
234,525449.0
235,521849.0
236,527520.0
237,527779.0
238,530188.0
239,531915.0
240,529614.0
241,526059.0
242,519657.0
243,515859.0
244,515336.0
245,512598.0
246,506006.0
247,501761.0
248,497477.0
249,493461.0
250,489520.0
251,485835.0
252,486433.0
253,476156.0
254,473741.0
255,474494.0
256,476790.0
257,477536.0
258,478978.0
259,479179.0
260,479548.0
261,480009.0
262,481039.0
263,480982.0
264,484272.0
265,482214.0
266,482420.0
267,479751.0
268,480987.0
269,478071.0
270,474705.0
271,474418.0
272,472090.0
273,464733.0
274,460042.0
275,459538.0
276,461066.0
277,459213.0
278,458867.0
279,461676.0
280,464256.0
281,471361.0
282,474261.0
283,472319.0
284,474255.0
285,477241.0
286,477247.0
287,479328.0
288,480486.0
289,475745.0
290,472848.0
291,464070.0
292,459455.0
293,457484.0
294,451197.0
295,440240.0
296,437195.0
297,430170.0
298,424449.0
299,421911.0
300,419718.0
301,418771.0
302,415861.0
303,409337.0
304,406829.0
305,406890.0
306,404981.0
307,403958.0
308,401705.0
309,402006.0
310,394363.0
311,392692.0
312,386616.0
313,384877.0
314,382756.0
315,370450.0
316,359670.0
317,348109.0
318,340463.0
319,335437.0
320,329716.0
321,325679.0
322,313137.0
323,311513.0
324,307276.0
325,301203.0
326,296617.0
327,292720.0
328,287070.0
329,281419.0
330,275147.0
331,274357.0
332,270528.0
333,259155.0
334,276708.0
335,648199.0
336,661459.0
337,660984.0
338,664991.0
339,672485.0
340,671258.0
341,280512.0
342,285360.0
343,287568.0
344,270019.0
345,300522.0
346,292770.0
347,295869.0
348,299478.0
349,303023.0
