time,heat
0,97496.0
1,105753.0
2,115724.0
3,123601.0
4,133268.0
5,138870.0
6,138247.0
7,136767.0
8,140635.0
9,139060.0
10,139834.0
11,135830.0
12,134292.0
13,133454.0
14,131936.0
15,134937.0
16,134517.0
17,286806.0
18,285852.0
19,282666.0
20,219363.0
21,225799.0
22,208260.0
23,218324.0
24,229135.0
25,237608.0
26,256177.0
27,307159.0
28,309874.0
29,318330.0
30,920350.0
31,943227.0
32,947453.0
33,976224.0
34,1022879.0
35,1048536.0
36,1151853.0
37,1173412.0
38,1204773.0
39,1228878.0
40,1242986.0
41,1284620.0
42,1309635.0
43,1331218.0
44,1346837.0
45,1372333.0
46,1381464.0
47,1357257.0
48,1363237.0
49,1361811.0
50,1356567.0
51,1326899.0
52,1344814.0
53,1354230.0
54,1354102.0
55,1352646.0
56,1361953.0
57,1392363.0
58,1379968.0
59,1377850.0
60,1400490.0
61,1419252.0
62,1429467.0
63,1447704.0
64,1464192.0
65,1478964.0
66,1482509.0
67,1487255.0
68,1500488.0
69,1511356.0
70,1512446.0
71,1514815.0
72,1504759.0
73,1527614.0
74,1500549.0
75,1486294.0
76,1477846.0
77,1473707.0
78,1476310.0
79,1424308.0
80,1396045.0
81,1378843.0
82,1356180.0
83,1333821.0
84,1328233.0
85,1364520.0
86,1366289.0
87,1360353.0
88,1333724.0
89,1329556.0
90,1313732.0
91,1308239.0
92,1317616.0
93,1319511.0
94,1293499.0
95,1274276.0
96,1266102.0
97,1268748.0
98,1256472.0
99,1240335.0
100,1220176.0
101,1207159.0
102,1197526.0
103,1187142.0
104,1180721.0
105,1161736.0
106,1130900.0
107,1099286.0
108,1082968.0
109,1075870.0
110,1068655.0
111,1048428.0
112,1037320.0
113,1037775.0
114,1031575.0
115,1036607.0
116,1032799.0
117,1001569.0
118,977577.0
119,979895.0
120,969882.0
121,967741.0
122,968797.0
123,966956.0
124,961986.0
125,949275.0
126,951166.0
127,951984.0
128,949070.0
129,942069.0
130,928108.0
131,920771.0
132,921058.0
133,916739.0
134,913327.0
135,891300.0
136,879499.0
137,886438.0
138,882821.0
139,853638.0
140,842267.0
141,827499.0
142,817287.0
143,808666.0
144,795028.0
145,782703.0
146,772991.0
147,766128.0
148,753719.0
149,741688.0
150,732974.0
151,720736.0
152,714066.0
153,714600.0
154,696738.0
155,686928.0
156,680120.0
157,669418.0
158,681413.0
159,648357.0
160,643610.0
161,640314.0
162,625900.0
163,618023.0
164,607324.0
165,599022.0
166,590906.0
167,577589.0
168,567527.0
169,559257.0
170,572242.0
171,549289.0
172,535824.0
173,528050.0
174,518828.0
175,512550.0
176,506325.0
177,497740.0
178,495390.0
179,491925.0
180,489269.0
181,483406.0
182,483171.0
183,475742.0
184,467086.0
185,463837.0
186,458217.0
187,456974.0
188,449844.0
189,445599.0
190,442162.0
191,433589.0
192,433843.0
193,437681.0
194,440197.0
195,441546.0
196,444154.0
197,440624.0
198,442831.0
199,465909.0
200,465902.0
201,467987.0
202,469711.0
203,471089.0
204,474332.0
205,477457.0
206,480810.0
207,482412.0
208,476517.0
209,466488.0
210,464605.0
211,468161.0
212,465538.0
213,468973.0
214,466238.0
215,464089.0
216,474431.0
217,460888.0
218,450688.0
219,454530.0
220,453949.0
221,453196.0
222,453003.0
223,454400.0
224,450489.0
225,440983.0
226,438052.0
227,431029.0
228,427672.0
229,426287.0
230,427711.0
231,429103.0
232,425507.0
233,431950.0
234,432289.0
235,430995.0
236,430970.0
237,428816.0
238,433282.0
239,432077.0
240,429952.0
241,428795.0
242,427014.0
243,423993.0
244,420737.0
245,416987.0
246,415775.0
247,420004.0
248,420102.0
249,422641.0
250,421605.0
251,424162.0
252,417029.0
253,411406.0
254,412475.0
255,421164.0
256,421530.0
257,410686.0
258,404479.0
259,406199.0
260,401479.0
261,395710.0
262,386956.0
263,379044.0
264,372239.0
265,369041.0
266,368998.0
267,368309.0
268,370193.0
269,372824.0
270,375494.0
271,379731.0
272,383651.0
273,382648.0
274,379174.0
275,382731.0
276,385133.0
277,391879.0
278,395476.0
279,397349.0
280,400356.0
281,403091.0
282,407131.0
283,415304.0
284,422513.0
285,422222.0
286,425845.0
287,432546.0
288,438225.0
289,438260.0
290,438054.0
291,436816.0
292,443168.0
293,445303.0
294,439391.0
295,429110.0
296,428455.0
297,432209.0
298,427641.0
299,429206.0
300,435331.0
301,436346.0
302,428066.0
303,424173.0
304,421489.0
305,421972.0
306,427622.0
307,426299.0
308,423297.0
309,416680.0
310,410525.0
311,408110.0
312,413655.0
313,418749.0
314,421345.0
315,418342.0
316,412428.0
317,407064.0
318,407547.0
319,408074.0
320,413269.0
321,420574.0
322,425803.0
323,425882.0
324,430294.0
325,440597.0
326,450259.0
327,458278.0
328,461371.0
329,1074061.0
330,1074485.0
331,1074876.0
332,1075481.0
333,1076948.0
334,1078670.0
335,1079782.0
336,1081031.0
337,1082057.0
338,1083041.0
339,1084176.0
340,1085204.0
341,1086811.0
342,1087760.0
343,1089013.0
344,1089888.0
345,1091121.0
346,1092505.0
347,1093640.0
348,1094272.0
349,1094635.0
