time,heat
0,210672.0
1,128745.0
2,127062.0
3,123865.0
4,123071.0
5,148239.0
6,199498.0
7,259417.0
8,987893.0
9,1103814.0
10,897712.0
11,942120.0
12,873982.0
13,979121.0
14,967672.0
15,1046403.0
16,995499.0
17,884568.0
18,985073.0
19,1072874.0
20,1069930.0
21,1077774.0
22,945620.0
23,1082966.0
24,1071399.0
25,1039861.0
26,1048717.0
27,868128.0
28,1055445.0
29,869370.0
30,991692.0
31,1011843.0
32,983668.0
33,1004280.0
34,978954.0
35,967010.0
36,948837.0
37,947241.0
38,1000532.0
39,982073.0
40,1003219.0
41,1038684.0
42,961515.0
43,870933.0
44,941488.0
45,1025457.0
46,911141.0
47,877578.0
48,857630.0
49,944586.0
50,905287.0
51,861767.0
52,797856.0
53,807655.0
54,761921.0
55,764497.0
56,792941.0
57,1302645.0
58,811078.0
59,1317021.0
60,787983.0
61,1318454.0
62,1237964.0
63,768592.0
64,1591801.0
65,1480827.0
66,1391391.0
67,706108.0
68,1550785.0
69,1439467.0
70,1335168.0
71,711390.0
72,1527220.0
73,1417140.0
74,1305009.0
75,646021.0
76,1449026.0
77,1342146.0
78,1242387.0
79,1157376.0
80,589162.0
81,1399164.0
82,1300272.0
83,1218920.0
84,1182325.0
85,551806.0
86,1409952.0
87,1311615.0
88,1221542.0
89,1148253.0
90,1073416.0
91,1056683.0
92,1031718.0
93,1027878.0
94,1008341.0
95,1008735.0
96,994752.0
97,970304.0
98,959683.0
99,950245.0
100,945101.0
101,945397.0
102,949186.0
103,945777.0
104,952467.0
105,1022769.0
106,959014.0
107,420783.0
108,549367.0
109,461087.0
110,456125.0
111,447126.0
112,563883.0
113,503513.0
114,516966.0
115,624104.0
116,621011.0
117,663294.0
118,660772.0
119,704496.0
120,574818.0
121,570875.0
122,460629.0
123,471954.0
124,511645.0
125,463896.0
126,444282.0
127,431797.0
128,437369.0
129,503075.0
130,522904.0
131,465871.0
132,485185.0
133,460725.0
134,478802.0
135,485936.0
136,488140.0
137,453040.0
138,494078.0
139,435853.0
140,415355.0
141,392680.0
142,505530.0
143,407983.0
144,387786.0
145,374918.0
146,366991.0
147,383136.0
148,364831.0
149,362198.0
150,402007.0
151,403009.0
152,386705.0
153,418323.0
154,349995.0
155,1156736.0
156,415227.0
157,418462.0
158,464692.0
159,497456.0
160,527825.0
161,554405.0
162,569696.0
163,588285.0
164,533326.0
165,814897.0
166,805343.0
167,786295.0
168,768721.0
169,743458.0
170,709662.0
171,698109.0
172,703787.0
173,698779.0
174,682328.0
175,669540.0
176,653043.0
177,659129.0
178,350348.0
179,975793.0
180,831671.0
181,727955.0
182,691455.0
183,710564.0
184,704249.0
185,709267.0
186,750403.0
187,742833.0
188,725973.0
189,727951.0
190,1181626.0
191,1168146.0
192,976144.0
193,894739.0
194,833604.0
195,778192.0
196,727699.0
197,694721.0
198,718212.0
199,718843.0
200,726456.0
201,802466.0
202,725981.0
203,759329.0
204,769469.0
205,772452.0
206,742440.0
207,752638.0
208,742675.0
209,722080.0
210,734311.0
211,740694.0
212,749809.0
213,741613.0
214,739716.0
215,732838.0
216,740852.0
217,720017.0
218,727681.0
219,712601.0
220,697849.0
221,684678.0
222,673705.0
223,660048.0
224,642374.0
225,645030.0
226,734040.0
227,686744.0
228,639238.0
229,715463.0
230,694852.0
231,689361.0
232,638662.0
233,778465.0
234,728927.0
235,680483.0
236,781643.0
237,723035.0
238,692084.0
239,705926.0
240,669247.0
241,723987.0
242,681059.0
243,722001.0
244,672752.0
245,690038.0
246,650324.0
247,707713.0
248,641620.0
249,648345.0
250,625533.0
251,637625.0
252,643572.0
253,657265.0
254,650285.0
255,769447.0
256,710009.0
257,665623.0
258,643278.0
259,750511.0
260,705377.0
261,757311.0
262,736675.0
263,679040.0
264,708184.0
265,659583.0
266,709460.0
267,672602.0
268,692956.0
269,695697.0
270,673089.0
271,625275.0
272,800143.0
273,744145.0
274,685551.0
275,631436.0
276,637253.0
277,597424.0
278,613010.0
279,628321.0
280,640382.0
281,595996.0
282,615127.0
283,565817.0
284,589626.0
285,612389.0
286,570854.0
287,583929.0
288,546153.0
289,565266.0
290,576932.0
291,534217.0
292,549826.0
293,569716.0
294,528691.0
295,545223.0
296,559621.0
297,578038.0
298,533009.0
299,550658.0
300,568174.0
301,528769.0
302,546041.0
303,565617.0
304,523892.0
305,541034.0
306,559992.0
307,517441.0
308,535968.0
309,493512.0
310,504796.0
311,526452.0
312,490984.0
313,508936.0
314,475539.0
315,490931.0
316,456667.0
317,471581.0
318,487831.0
319,469605.0
320,485943.0
321,451409.0
322,467285.0
323,481373.0
324,500750.0
325,521432.0
326,487693.0
327,505514.0
328,474090.0
329,486098.0
330,466194.0
331,482055.0
332,462798.0
333,473027.0
334,481086.0
335,441115.0
336,454163.0
337,421665.0
338,432493.0
339,445280.0
340,415192.0
341,431106.0
342,397008.0
343,410849.0
344,388343.0
345,401523.0
346,385909.0
347,397117.0
348,376157.0
349,388249.0
