time,heat
0,74803.0
1,79678.0
2,86837.0
3,91899.0
4,95991.0
5,103245.0
6,109915.0
7,120263.0
8,131910.0
9,149500.0
10,156665.0
11,169371.0
12,181208.0
13,192981.0
14,202744.0
15,204441.0
16,206478.0
17,241611.0
18,261836.0
19,279486.0
20,297165.0
21,328143.0
22,351860.0
23,371219.0
24,391935.0
25,414806.0
26,438028.0
27,464146.0
28,1078921.0
29,1083706.0
30,1087259.0
31,1091112.0
32,1098527.0
33,1104292.0
34,1110202.0
35,1120277.0
36,1125262.0
37,1130554.0
38,1135141.0
39,1139395.0
40,1142742.0
41,1145998.0
42,1148878.0
43,1150900.0
44,1152483.0
45,1150925.0
46,1148395.0
47,1145440.0
48,1147627.0
49,1146905.0
50,1145728.0
51,1145162.0
52,1146863.0
53,1148133.0
54,1147658.0
55,1148683.0
56,1152799.0
57,1156082.0
58,1160669.0
59,1162459.0
60,1166043.0
61,1169534.0
62,1170771.0
63,1171047.0
64,1174385.0
65,1176659.0
66,1177638.0
67,1177474.0
68,1179346.0
69,1181662.0
70,1179986.0
71,1178301.0
72,1179946.0
73,1180918.0
74,1182453.0
75,1181913.0
76,1183624.0
77,1185740.0
78,1184800.0
79,1187882.0
80,1196587.0
81,1198563.0
82,1193745.0
83,1189551.0
84,1189174.0
85,1187748.0
86,1187336.0
87,1184510.0
88,1184956.0
89,1183628.0
90,1181350.0
91,1179900.0
92,1181177.0
93,1182022.0
94,1177236.0
95,1175736.0
96,1178218.0
97,1178833.0
98,1178269.0
99,1179506.0
100,1180630.0
101,1180458.0
102,1179395.0
103,1176652.0
104,1173204.0
105,1173681.0
106,1171136.0
107,1167500.0
108,1164087.0
109,1161992.0
110,1160180.0
111,1157574.0
112,1158622.0
113,1156269.0
114,1153053.0
115,1149402.0
116,1149792.0
117,1148447.0
118,1146858.0
119,1145490.0
120,1143604.0
121,1142908.0
122,1141896.0
123,1138981.0
124,1139503.0
125,1136184.0
126,1133725.0
127,1130402.0
128,1128608.0
129,1127986.0
130,1127514.0
131,1125915.0
132,1125498.0
133,1125384.0
134,1124299.0
135,1123841.0
136,1125592.0
137,1124170.0
138,1122547.0
139,1120095.0
140,1120918.0
141,1119235.0
142,1117890.0
143,1118974.0
144,1117957.0
145,1116184.0
146,1116254.0
147,1116337.0
148,1115495.0
149,1113600.0
150,1111980.0
151,1110949.0
152,1110246.0
153,1109283.0
154,1108707.0
155,1107036.0
156,1108416.0
157,1108668.0
158,1109285.0
159,1109479.0
160,1110009.0
161,1108345.0
162,1110851.0
163,1109402.0
164,1108607.0
165,1107455.0
166,1107288.0
167,1107146.0
168,1108159.0
169,1109296.0
170,1108224.0
171,1106461.0
172,1105852.0
173,1105057.0
174,1104682.0
175,1103108.0
176,1104611.0
177,1103224.0
178,1102140.0
179,1099746.0
180,1099773.0
181,1097822.0
182,609249.0
183,608474.0
184,569374.0
185,621701.0
186,584553.0
187,573455.0
188,565919.0
189,556775.0
190,546738.0
191,535908.0
192,530084.0
193,519567.0
194,513602.0
195,510121.0
196,508016.0
197,500588.0
198,503079.0
199,505126.0
200,497560.0
201,496370.0
202,492814.0
203,491152.0
204,489013.0
205,485306.0
206,478496.0
207,470507.0
208,462330.0
209,455299.0
210,450646.0
211,448488.0
212,445500.0
213,439152.0
214,430934.0
215,428318.0
216,422235.0
217,420617.0
218,418352.0
219,418831.0
220,414723.0
221,409663.0
222,403969.0
223,403178.0
224,401563.0
225,398170.0
226,396409.0
227,389885.0
228,388316.0
229,384006.0
230,382111.0
231,378588.0
232,371598.0
233,366749.0
234,363103.0
235,358278.0
236,355561.0
237,352181.0
238,341371.0
239,344086.0
240,342322.0
241,337230.0
242,335079.0
243,333695.0
244,332267.0
245,327797.0
246,332389.0
247,331910.0
248,330273.0
249,324961.0
250,325639.0
251,324537.0
252,326136.0
253,328049.0
254,321134.0
255,324195.0
256,324898.0
257,324673.0
258,322889.0
259,324178.0
260,323630.0
261,322839.0
262,326246.0
263,323985.0
264,328035.0
265,324092.0
266,330457.0
267,332096.0
268,335797.0
269,348546.0
270,351826.0
271,350891.0
272,351165.0
273,350300.0
274,345684.0
275,338359.0
276,329895.0
277,322700.0
278,311989.0
279,301224.0
280,292495.0
281,290592.0
282,285271.0
283,279240.0
284,275307.0
285,273586.0
286,273641.0
287,278322.0
288,279322.0
289,278490.0
290,278211.0
291,277880.0
292,277858.0
293,273338.0
294,273417.0
295,267239.0
296,263292.0
297,259670.0
298,258019.0
299,252722.0
300,253755.0
301,251768.0
302,249208.0
303,249756.0
304,245607.0
305,237162.0
306,228051.0
307,220052.0
308,217387.0
309,219433.0
310,216489.0
311,211920.0
312,202481.0
313,200194.0
314,200893.0
315,200732.0
316,194008.0
317,189754.0
318,187336.0
319,185671.0
320,183527.0
321,183259.0
322,181866.0
323,181203.0
324,180354.0
325,178133.0
326,178345.0
327,180082.0
328,182479.0
329,178868.0
330,179212.0
331,179224.0
332,173413.0
333,175876.0
334,171813.0
335,167395.0
336,164042.0
337,162110.0
338,157320.0
339,153983.0
340,151049.0
341,147920.0
342,144265.0
343,143824.0
344,143177.0
345,142335.0
346,144793.0
347,144785.0
348,145219.0
349,143453.0
