time,heat
0,145039.0
1,152783.0
2,176924.0
3,182837.0
4,188730.0
5,196219.0
6,201690.0
7,209323.0
8,209710.0
9,211581.0
10,212756.0
11,213495.0
12,210649.0
13,209019.0
14,211855.0
15,200600.0
16,224923.0
17,225999.0
18,224277.0
19,223758.0
20,221732.0
21,227232.0
22,240165.0
23,241975.0
24,220290.0
25,232305.0
26,230016.0
27,224982.0
28,225139.0
29,221501.0
30,217896.0
31,218081.0
32,219883.0
33,216929.0
34,221276.0
35,213793.0
36,214271.0
37,214023.0
38,355295.0
39,344966.0
40,343001.0
41,340755.0
42,326183.0
43,331494.0
44,329237.0
45,326105.0
46,325907.0
47,325132.0
48,320610.0
49,321111.0
50,364065.0
51,367067.0
52,368976.0
53,348728.0
54,351133.0
55,344218.0
56,345775.0
57,344497.0
58,342806.0
59,352159.0
60,359410.0
61,363138.0
62,364719.0
63,373900.0
64,560720.0
65,353013.0
66,304119.0
67,330606.0
68,343689.0
69,577690.0
70,586322.0
71,596791.0
72,594114.0
73,572091.0
74,579695.0
75,578917.0
76,565606.0
77,557697.0
78,553556.0
79,552624.0
80,549475.0
81,561276.0
82,541457.0
83,587337.0
84,588178.0
85,550249.0
86,568637.0
87,556760.0
88,552742.0
89,561016.0
90,567948.0
91,571683.0
92,586962.0
93,569645.0
94,575855.0
95,598684.0
96,603056.0
97,578135.0
98,607661.0
99,615455.0
100,597743.0
101,598754.0
102,597397.0
103,600410.0
104,1086212.0
105,1092941.0
106,1074304.0
107,1065334.0
108,1057725.0
109,1049386.0
110,1044153.0
111,1040235.0
112,1038721.0
113,1036202.0
114,1033821.0
115,1038739.0
116,1042441.0
117,1043195.0
118,1034718.0
119,1039975.0
120,1034302.0
121,1023689.0
122,1020459.0
123,1023166.0
124,1022518.0
125,1028180.0
126,1032753.0
127,1041157.0
128,1049708.0
129,1033045.0
130,1085667.0
131,1127220.0
132,1158705.0
133,1190338.0
134,1219815.0
135,1245230.0
136,1258058.0
137,1279150.0
138,1284244.0
139,1283373.0
140,1317262.0
141,1311497.0
142,1312706.0
143,1310236.0
144,1288126.0
145,1277761.0
146,1274811.0
147,1259929.0
148,1204082.0
149,1187849.0
150,1170328.0
151,1152823.0
152,1116930.0
153,1085022.0
154,1056639.0
155,1055198.0
156,1060706.0
157,1173929.0
158,1179044.0
159,1184110.0
160,1185868.0
161,1191806.0
162,1208473.0
163,1220592.0
164,1234127.0
165,1216126.0
166,1196574.0
167,1200190.0
168,1242693.0
169,1254258.0
170,1291527.0
171,1302313.0
172,1286494.0
173,1280243.0
174,1313180.0
175,1319336.0
176,1357992.0
177,1355141.0
178,1328039.0
179,1352866.0
180,1349631.0
181,1341794.0
182,1386848.0
183,1415336.0
184,1443685.0
185,1454819.0
186,1449974.0
187,1414657.0
188,1375836.0
189,1383467.0
190,1382254.0
191,1379978.0
192,1435152.0
193,1464005.0
194,1464885.0
195,1464998.0
196,1458798.0
197,1457241.0
198,1477188.0
199,1469076.0
200,1464574.0
201,1454189.0
202,1459527.0
203,1448083.0
204,1442324.0
205,1416755.0
206,1383339.0
207,1363263.0
208,1328887.0
209,1310401.0
210,1289318.0
211,1265784.0
212,1238647.0
213,1218581.0
214,1192844.0
215,1173107.0
216,1154252.0
217,1133658.0
218,1114042.0
219,1103523.0
220,1079331.0
221,1056783.0
222,1037793.0
223,1026803.0
224,992414.0
225,960788.0
226,941051.0
227,934227.0
228,918803.0
229,910840.0
230,899664.0
231,888198.0
232,868889.0
233,843836.0
234,819091.0
235,795454.0
236,766099.0
237,752964.0
238,734278.0
239,721212.0
240,706986.0
241,696017.0
242,691712.0
243,693740.0
244,696909.0
245,705099.0
246,711489.0
247,708687.0
248,717432.0
249,722102.0
250,736286.0
251,739298.0
252,728960.0
253,729083.0
254,721257.0
255,714478.0
256,712404.0
257,711118.0
258,687456.0
259,675793.0
260,629862.0
261,590753.0
262,555436.0
263,521250.0
264,492442.0
265,464449.0
266,435852.0
267,410587.0
268,391663.0
269,382403.0
270,377635.0
271,374045.0
272,369729.0
273,361035.0
274,371684.0
275,352070.0
276,359573.0
277,349006.0
278,342789.0
279,333751.0
280,327100.0
281,322551.0
282,316559.0
283,314370.0
284,301855.0
285,300987.0
286,313325.0
287,312182.0
288,295437.0
289,291552.0
290,290473.0
291,290406.0
292,288035.0
293,285961.0
294,291322.0
295,282012.0
296,279182.0
297,274245.0
298,271566.0
299,266840.0
300,260821.0
301,253199.0
302,247063.0
303,239697.0
304,219416.0
305,231947.0
306,235034.0
307,223219.0
308,229582.0
309,217680.0
310,222337.0
311,212349.0
312,200455.0
313,189892.0
314,181010.0
315,174417.0
316,159456.0
317,154288.0
318,147474.0
319,142313.0
320,137132.0
321,133189.0
322,129428.0
323,126320.0
324,125056.0
