time,heat
0,208334.0
1,214997.0
2,216294.0
3,220571.0
4,218067.0
5,215773.0
6,220153.0
7,155745.0
8,156173.0
9,192492.0
10,192514.0
11,190105.0
12,191521.0
13,189207.0
14,199463.0
15,200117.0
16,257540.0
17,258523.0
18,249698.0
19,252568.0
20,244111.0
21,246386.0
22,244024.0
23,241053.0
24,235574.0
25,233196.0
26,229275.0
27,175037.0
28,227376.0
29,169785.0
30,227404.0
31,226010.0
32,218118.0
33,226509.0
34,224403.0
35,222525.0
36,195438.0
37,184409.0
38,190020.0
39,205083.0
40,209536.0
41,209623.0
42,207603.0
43,203560.0
44,202052.0
45,220722.0
46,221367.0
47,207435.0
48,190400.0
49,190138.0
50,187590.0
51,208885.0
52,200880.0
53,197519.0
54,185650.0
55,200340.0
56,215901.0
57,218853.0
58,201617.0
59,214985.0
60,211962.0
61,194793.0
62,193626.0
63,191751.0
64,173648.0
65,180922.0
66,186565.0
67,192283.0
68,196417.0
69,204542.0
70,199993.0
71,197027.0
72,198951.0
73,197436.0
74,198191.0
75,190570.0
76,192477.0
77,185510.0
78,199243.0
79,203655.0
80,210805.0
81,213061.0
82,212704.0
83,182460.0
84,185132.0
85,203937.0
86,205610.0
87,202253.0
88,158817.0
89,177419.0
90,1233965.0
91,1237390.0
92,1188474.0
93,1190171.0
94,1212935.0
95,1237337.0
96,1252389.0
97,1289017.0
98,1321155.0
99,1364118.0
100,1394658.0
101,1407640.0
102,1419831.0
103,1409133.0
104,1430420.0
105,1445721.0
106,1431938.0
107,1424480.0
108,1409388.0
109,1401189.0
110,1404603.0
111,1399320.0
112,1398052.0
113,1402469.0
114,1405657.0
115,1442456.0
116,1441420.0
117,1448109.0
118,1449662.0
119,1445497.0
120,1446761.0
121,1452268.0
122,1446928.0
123,1447002.0
124,1442626.0
125,1446407.0
126,1441752.0
127,1432687.0
128,1426768.0
129,1424289.0
130,1419496.0
131,1418053.0
132,1424770.0
133,1397884.0
134,1395841.0
135,1395629.0
136,1373866.0
137,1383694.0
138,1372202.0
139,1368457.0
140,1348618.0
141,1371142.0
142,1353654.0
143,1345859.0
144,1333482.0
145,1331321.0
146,1309680.0
147,1290503.0
148,1266457.0
149,1275371.0
150,1252248.0
151,1288215.0
152,1268361.0
153,1263386.0
154,1253621.0
155,1227699.0
156,1199439.0
157,1198486.0
158,1167887.0
159,1152216.0
160,1109236.0
161,1096042.0
162,1068590.0
163,1061333.0
164,1039593.0
165,1022443.0
166,1005692.0
167,995002.0
168,980819.0
169,971707.0
170,961628.0
171,950685.0
172,938653.0
173,929872.0
174,925551.0
175,919150.0
176,907834.0
177,906644.0
178,896697.0
179,891635.0
180,879974.0
181,871731.0
182,868245.0
183,863492.0
184,857366.0
185,846109.0
186,837738.0
187,832678.0
188,829347.0
189,825188.0
190,814531.0
191,813871.0
192,792196.0
193,790184.0
194,783714.0
195,779309.0
196,773375.0
197,768618.0
198,763524.0
199,760165.0
200,760280.0
201,758916.0
202,753556.0
203,750841.0
204,741707.0
205,746523.0
206,749083.0
207,748182.0
208,746780.0
209,753505.0
210,755044.0
211,757522.0
212,760596.0
213,764119.0
214,764373.0
215,765854.0
216,764644.0
217,765543.0
218,754765.0
219,742967.0
220,730149.0
221,722825.0
222,726824.0
223,720448.0
224,717626.0
225,715127.0
226,715720.0
227,700306.0
228,685398.0
229,670959.0
230,661034.0
231,657658.0
232,655004.0
233,650205.0
234,647810.0
235,646373.0
236,646603.0
237,646477.0
238,644065.0
239,645611.0
240,640941.0
241,641189.0
242,634683.0
243,643292.0
244,638859.0
245,638573.0
246,637531.0
247,636041.0
248,636981.0
249,627745.0
250,627872.0
251,623609.0
252,621574.0
253,616332.0
254,608704.0
255,613719.0
256,613906.0
257,615050.0
258,619197.0
259,622577.0
260,616081.0
261,614137.0
262,620922.0
263,621080.0
264,621249.0
265,608349.0
266,605392.0
267,607490.0
268,605465.0
269,601218.0
270,582553.0
271,567953.0
272,563158.0
273,558755.0
274,556639.0
275,554453.0
276,559171.0
277,546024.0
278,535706.0
279,523833.0
280,513276.0
281,518669.0
282,521915.0
283,513914.0
284,508903.0
285,508185.0
286,506698.0
287,489055.0
288,471690.0
289,458181.0
290,447345.0
291,446452.0
292,445065.0
293,451558.0
294,454131.0
295,447095.0
296,444997.0
297,446549.0
298,445191.0
299,442089.0
300,436835.0
301,437478.0
302,438580.0
303,438172.0
304,433658.0
305,427907.0
306,426195.0
307,429226.0
308,426681.0
309,420665.0
310,414546.0
311,415439.0
312,412848.0
313,412053.0
314,409780.0
315,407267.0
316,404347.0
317,403366.0
318,401309.0
319,398689.0
320,398850.0
321,396771.0
322,395773.0
323,393933.0
324,392111.0
325,388423.0
326,387169.0
327,386943.0
328,388121.0
329,383080.0
330,383244.0
331,383210.0
332,382977.0
333,382694.0
334,381890.0
335,381683.0
336,381678.0
337,378641.0
338,377756.0
339,375851.0
340,379712.0
341,377919.0
342,375775.0
343,373734.0
344,368244.0
345,366014.0
346,363982.0
347,361117.0
348,359771.0
349,358252.0
