time,heat
0,70744.0
1,71275.0
2,71359.0
3,60969.0
4,63010.0
5,65467.0
6,67327.0
7,69441.0
8,72278.0
9,74931.0
10,78200.0
11,78901.0
12,82833.0
13,86689.0
14,90465.0
15,95745.0
16,98008.0
17,99958.0
18,102313.0
19,104393.0
20,107401.0
21,112237.0
22,113843.0
23,113722.0
24,113363.0
25,112286.0
26,112919.0
27,107972.0
28,107473.0
29,106396.0
30,117111.0
31,118556.0
32,121541.0
33,123787.0
34,127127.0
35,131222.0
36,139748.0
37,134753.0
38,132966.0
39,131340.0
40,131160.0
41,117175.0
42,118530.0
43,117792.0
44,126341.0
45,127103.0
46,124500.0
47,126189.0
48,122751.0
49,126794.0
50,127784.0
51,127241.0
52,130743.0
53,134875.0
54,139754.0
55,122653.0
56,143381.0
57,144826.0
58,146308.0
59,147976.0
60,121488.0
61,422957.0
62,437357.0
63,451857.0
64,458163.0
65,456970.0
66,482977.0
67,1116692.0
68,1120243.0
69,1120522.0
70,1124445.0
71,1124918.0
72,1127097.0
73,1129269.0
74,1129517.0
75,1156371.0
76,1147086.0
77,1148317.0
78,1151498.0
79,1156693.0
80,1157504.0
81,1159200.0
82,1159039.0
83,1160995.0
84,1161088.0
85,1162400.0
86,1162754.0
87,1161913.0
88,1162808.0
89,1162946.0
90,1162857.0
91,1162943.0
92,1163556.0
93,1163659.0
94,1164159.0
95,1163794.0
96,1164750.0
97,1164958.0
98,1166157.0
99,1165517.0
100,1165268.0
101,1168077.0
102,1168563.0
103,1168604.0
104,1169760.0
105,1169692.0
106,1169426.0
107,1168863.0
108,1170058.0
109,1170533.0
110,1171323.0
111,1164855.0
112,1167283.0
113,1167253.0
114,1167631.0
115,1167517.0
116,1167424.0
117,1166147.0
118,1170240.0
119,1168973.0
120,1168449.0
121,1165852.0
122,1161424.0
123,1159822.0
124,1157533.0
125,1157310.0
126,1157735.0
127,1159442.0
128,1158976.0
129,1157320.0
130,1154815.0
131,1158086.0
132,1154932.0
133,1152968.0
134,1145446.0
135,1147929.0
136,1145106.0
137,1146629.0
138,1147225.0
139,1145463.0
140,1143549.0
141,1143355.0
142,1142178.0
143,1145357.0
144,1143439.0
145,1145194.0
146,1144467.0
147,1144135.0
148,1141507.0
149,1140468.0
150,1138534.0
151,1139946.0
152,1137531.0
153,1134046.0
154,1136271.0
155,1135351.0
156,1134554.0
157,1135856.0
158,1135106.0
159,1134779.0
160,1133239.0
161,1133081.0
162,1133016.0
163,1134431.0
164,1135358.0
165,1136301.0
166,1136825.0
167,1135292.0
168,1132704.0
169,1131808.0
170,1128831.0
171,1129198.0
172,1124874.0
173,1129380.0
174,1127679.0
175,1127216.0
176,1126811.0
177,1128190.0
178,1127719.0
179,1125869.0
180,1123313.0
181,1125357.0
182,1124681.0
183,1123482.0
184,1122476.0
185,773521.0
186,773191.0
187,791411.0
188,776856.0
189,761174.0
190,746324.0
191,734817.0
192,721191.0
193,703215.0
194,680566.0
195,671192.0
196,659640.0
197,655643.0
198,666096.0
199,656329.0
200,652582.0
201,662255.0
202,670706.0
203,670237.0
204,671219.0
205,662576.0
206,645897.0
207,640685.0
208,642212.0
209,615180.0
210,628574.0
211,627042.0
212,619414.0
213,613348.0
214,608125.0
215,603208.0
216,597175.0
217,589816.0
218,581254.0
219,572247.0
220,563889.0
221,561948.0
222,555789.0
223,556844.0
224,553437.0
225,553383.0
226,552535.0
227,548940.0
228,547189.0
229,551487.0
230,548374.0
231,544378.0
232,543845.0
233,540847.0
234,541786.0
235,545843.0
236,539693.0
237,538372.0
238,535773.0
239,531242.0
240,528339.0
241,527985.0
242,525826.0
243,521736.0
244,517517.0
245,495716.0
246,506598.0
247,505756.0
248,500905.0
249,503134.0
250,502890.0
251,495046.0
252,494974.0
253,498827.0
254,495413.0
255,491824.0
256,482051.0
257,484407.0
258,476139.0
259,474210.0
260,470722.0
261,460162.0
262,453537.0
263,446466.0
264,439858.0
265,431478.0
266,428824.0
267,427643.0
268,417088.0
269,411206.0
270,402480.0
271,398140.0
272,394488.0
273,395346.0
274,391800.0
275,389441.0
276,388174.0
277,389335.0
278,385608.0
279,384736.0
280,378737.0
281,375262.0
282,373642.0
283,372387.0
284,370456.0
285,369223.0
286,368114.0
287,370015.0
288,373047.0
289,380070.0
290,380742.0
291,381515.0
292,383136.0
293,383664.0
294,377013.0
295,373358.0
296,372387.0
297,377082.0
298,374685.0
299,370680.0
300,368183.0
301,368166.0
302,367598.0
303,372010.0
304,378023.0
305,380126.0
306,380261.0
307,390456.0
308,392396.0
309,391391.0
310,390761.0
311,393362.0
312,395452.0
313,392553.0
314,392593.0
315,398541.0
316,396722.0
317,393609.0
318,392457.0
319,392950.0
320,393532.0
321,394343.0
322,396205.0
323,398249.0
324,397530.0
325,398086.0
326,399020.0
327,398788.0
328,398362.0
329,407012.0
330,407124.0
331,405252.0
332,404394.0
333,399207.0
334,397323.0
335,394622.0
336,389457.0
337,370850.0
338,375975.0
339,384801.0
340,384047.0
341,380758.0
342,378363.0
343,379475.0
344,371203.0
345,371186.0
346,369718.0
347,379175.0
348,383537.0
349,371580.0
