time,heat
0,238738.0
1,241375.0
2,242940.0
3,241888.0
4,210789.0
5,204968.0
6,200535.0
7,198065.0
8,198732.0
9,216902.0
10,194186.0
11,256364.0
12,265509.0
13,265480.0
14,253215.0
15,225199.0
16,218719.0
17,218972.0
18,219933.0
19,248480.0
20,240237.0
21,244053.0
22,246229.0
23,241337.0
24,215347.0
25,214429.0
26,212707.0
27,205550.0
28,202877.0
29,195678.0
30,163402.0
31,155973.0
32,154964.0
33,165775.0
34,176008.0
35,188267.0
36,203398.0
37,213696.0
38,226052.0
39,224681.0
40,227238.0
41,245910.0
42,254946.0
43,260726.0
44,269662.0
45,285883.0
46,305728.0
47,340832.0
48,361967.0
49,399520.0
50,451129.0
51,487428.0
52,516304.0
53,548798.0
54,605637.0
55,661663.0
56,705616.0
57,1119460.0
58,1128589.0
59,1137122.0
60,1144335.0
61,1151076.0
62,1159855.0
63,1166440.0
64,1170941.0
65,1177334.0
66,1182099.0
67,1183367.0
68,1181667.0
69,1179224.0
70,1181907.0
71,1178131.0
72,1176439.0
73,1174050.0
74,1174289.0
75,1174204.0
76,1174196.0
77,1177029.0
78,1176643.0
79,1180337.0
80,1178942.0
81,1179554.0
82,1178968.0
83,1179035.0
84,1110799.0
85,1118481.0
86,1115034.0
87,1124699.0
88,1116048.0
89,1112602.0
90,1102192.0
91,1088030.0
92,1076103.0
93,1079786.0
94,1074388.0
95,1064053.0
96,1061451.0
97,1041796.0
98,1039625.0
99,1049643.0
100,1006333.0
101,994595.0
102,991753.0
103,977788.0
104,960705.0
105,928042.0
106,893495.0
107,860728.0
108,828936.0
109,798394.0
110,768089.0
111,739972.0
112,715249.0
113,701252.0
114,697278.0
115,675265.0
116,663217.0
117,656476.0
118,657011.0
119,654953.0
120,648765.0
121,648194.0
122,639932.0
123,634970.0
124,624856.0
125,622645.0
126,615075.0
127,598464.0
128,583241.0
129,547900.0
130,604284.0
131,558426.0
132,557601.0
133,556464.0
134,554555.0
135,552866.0
136,549363.0
137,541930.0
138,543542.0
139,544033.0
140,531503.0
141,523976.0
142,520883.0
143,513848.0
144,509159.0
145,500986.0
146,499284.0
147,487140.0
148,483053.0
149,477783.0
150,475342.0
151,474834.0
152,468124.0
153,466141.0
154,465066.0
155,440687.0
156,444766.0
157,446173.0
158,442251.0
159,440233.0
160,427964.0
161,419343.0
162,405673.0
163,398386.0
164,393749.0
165,386424.0
166,381558.0
167,376541.0
168,370452.0
169,367032.0
170,361363.0
171,358567.0
172,357129.0
173,356310.0
174,366044.0
175,371287.0
176,377511.0
177,387973.0
178,392610.0
179,396949.0
180,397990.0
181,399872.0
182,399786.0
183,393423.0
184,394207.0
185,391277.0
186,391751.0
187,383052.0
188,376668.0
189,367395.0
190,372435.0
191,370418.0
192,367891.0
193,366187.0
194,368201.0
195,378268.0
196,395927.0
197,408421.0
198,411226.0
199,411929.0
200,411659.0
201,412767.0
202,413069.0
203,408416.0
204,393871.0
205,388362.0
206,380691.0
207,378658.0
208,376952.0
209,378414.0
210,377822.0
211,373376.0
212,374207.0
213,368467.0
214,369072.0
215,363609.0
216,361163.0
217,361359.0
218,355676.0
219,353077.0
220,351965.0
221,347323.0
222,349467.0
223,355958.0
224,360315.0
225,366971.0
226,375125.0
227,382168.0
228,388541.0
229,393977.0
230,403620.0
231,407679.0
232,424134.0
233,432512.0
234,438794.0
235,448305.0
236,451172.0
237,458465.0
238,473603.0
239,480171.0
240,490980.0
241,496808.0
242,498299.0
243,497125.0
244,499527.0
245,504006.0
246,506891.0
247,523861.0
248,527948.0
249,535157.0
250,550360.0
251,562735.0
252,566137.0
253,571233.0
254,564151.0
255,560822.0
256,552774.0
257,544552.0
258,539654.0
259,537100.0
260,538257.0
261,535338.0
262,539876.0
263,535888.0
264,536311.0
265,535863.0
266,544022.0
267,547191.0
268,551823.0
269,554302.0
270,552846.0
271,558746.0
272,553468.0
273,548071.0
274,550584.0
275,552911.0
276,553263.0
277,556549.0
278,540926.0
279,525972.0
280,517672.0
281,521070.0
282,522242.0
283,527146.0
284,533659.0
285,537909.0
286,534610.0
287,532582.0
288,537243.0
289,533834.0
290,528299.0
291,540950.0
292,548802.0
293,541543.0
294,535924.0
295,540710.0
296,549765.0
297,549777.0
298,549724.0
299,553397.0
300,551785.0
301,549840.0
302,556574.0
303,557561.0
304,564839.0
305,564954.0
306,575010.0
307,578976.0
308,578564.0
309,603343.0
310,601130.0
311,610622.0
312,620339.0
313,626619.0
314,630392.0
315,648709.0
316,650443.0
317,666329.0
318,676380.0
319,676421.0
320,678839.0
321,678269.0
322,676723.0
323,685397.0
324,691563.0
325,692377.0
326,700269.0
327,708193.0
328,710926.0
329,715428.0
330,718429.0
331,719618.0
332,729965.0
333,729719.0
334,1116588.0
335,1116783.0
336,1116431.0
337,1116324.0
338,1117233.0
339,1117811.0
340,1117823.0
341,1118297.0
342,1118968.0
343,1118755.0
344,1118749.0
345,1119735.0
346,1119392.0
347,1114554.0
348,1110507.0
349,1109214.0
