time,heat
0,124979.0
1,128967.0
2,134322.0
3,135830.0
4,139909.0
5,144079.0
6,149648.0
7,157137.0
8,162592.0
9,170058.0
10,174823.0
11,181306.0
12,191455.0
13,201801.0
14,208474.0
15,222994.0
16,231323.0
17,240516.0
18,252440.0
19,262307.0
20,272485.0
21,281446.0
22,289534.0
23,297971.0
24,312569.0
25,318615.0
26,323790.0
27,370893.0
28,381253.0
29,402006.0
30,431821.0
31,447357.0
32,461168.0
33,465216.0
34,477477.0
35,487534.0
36,496924.0
37,512588.0
38,523521.0
39,533915.0
40,542661.0
41,565588.0
42,581018.0
43,596063.0
44,615747.0
45,654168.0
46,668853.0
47,688712.0
48,1113146.0
49,1115064.0
50,1123761.0
51,1128103.0
52,1131333.0
53,1134091.0
54,1137364.0
55,1139502.0
56,1144166.0
57,1146950.0
58,1151496.0
59,1153006.0
60,1155868.0
61,1154900.0
62,1157595.0
63,1157618.0
64,1157532.0
65,1158952.0
66,1158282.0
67,1157954.0
68,1155780.0
69,1154884.0
70,1154779.0
71,1156433.0
72,1156110.0
73,1156298.0
74,1156137.0
75,1155169.0
76,1154998.0
77,1158162.0
78,1157619.0
79,1157011.0
80,1158196.0
81,1157581.0
82,1157386.0
83,1157437.0
84,1157223.0
85,1156541.0
86,1156021.0
87,1153030.0
88,1153541.0
89,1152568.0
90,1152747.0
91,1151357.0
92,1148400.0
93,1147351.0
94,1147567.0
95,1145600.0
96,1143965.0
97,1144622.0
98,1140769.0
99,1139594.0
100,1137675.0
101,1136819.0
102,1134822.0
103,1130320.0
104,1125672.0
105,1124638.0
106,1122350.0
107,1119032.0
108,1119309.0
109,1118023.0
110,1115530.0
111,1113980.0
112,1111456.0
113,1108922.0
114,1106398.0
115,1101030.0
116,1100553.0
117,1099285.0
118,1100529.0
119,1100009.0
120,1100236.0
121,1099784.0
122,1097667.0
123,1096763.0
124,1095867.0
125,1093472.0
126,1092261.0
127,1090812.0
128,1086275.0
129,1086685.0
130,1085102.0
131,1083533.0
132,1083390.0
133,1082597.0
134,1081761.0
135,1080644.0
136,1079965.0
137,1079012.0
138,1070049.0
139,1060897.0
140,1051809.0
141,1043396.0
142,1033340.0
143,1024079.0
144,1014829.0
145,1006741.0
146,998166.0
147,987554.0
148,978057.0
149,969190.0
150,958806.0
151,950048.0
152,941373.0
153,932681.0
154,924415.0
155,915626.0
156,907988.0
157,899548.0
158,891954.0
159,884177.0
160,876210.0
161,868348.0
162,860689.0
163,853560.0
164,845598.0
165,837152.0
166,829338.0
167,821306.0
168,813596.0
169,805995.0
170,797459.0
171,789732.0
172,781753.0
173,774238.0
174,766782.0
175,759421.0
176,313745.0
177,312609.0
178,309315.0
179,306122.0
180,295964.0
181,291879.0
182,286729.0
183,279884.0
184,276900.0
185,270687.0
186,267154.0
187,265128.0
188,260704.0
189,254944.0
190,252415.0
191,237674.0
192,258827.0
193,237590.0
194,234580.0
195,227616.0
196,226140.0
197,222757.0
198,215129.0
199,237455.0
200,216885.0
201,210463.0
202,205846.0
203,202667.0
204,198791.0
205,198133.0
206,195909.0
207,192848.0
208,192215.0
209,189057.0
210,188034.0
211,184728.0
212,180782.0
213,180960.0
214,179068.0
215,176086.0
216,176339.0
217,176840.0
218,175531.0
219,180097.0
220,179269.0
221,176203.0
222,177399.0
223,174934.0
224,173894.0
225,169512.0
226,165551.0
227,161281.0
228,160387.0
229,153813.0
230,153731.0
231,152679.0
232,148873.0
233,147158.0
234,147426.0
235,144699.0
236,141044.0
237,140463.0
238,139758.0
239,138457.0
240,137179.0
241,136442.0
242,135867.0
243,134546.0
244,130344.0
245,129468.0
246,129659.0
247,129230.0
248,131938.0
249,130457.0
250,128884.0
251,127090.0
252,125093.0
253,123412.0
254,121288.0
255,119409.0
256,124825.0
257,123900.0
258,117237.0
259,117509.0
260,116302.0
261,115117.0
262,116888.0
263,116257.0
264,115176.0
265,113353.0
266,113684.0
267,113668.0
268,114443.0
269,114869.0
270,114940.0
271,115456.0
272,116226.0
273,116537.0
274,113858.0
275,111896.0
276,109085.0
277,103163.0
278,102874.0
279,100733.0
280,98959.0
281,97165.0
282,95685.0
283,94115.0
284,92797.0
285,93833.0
286,92675.0
287,91774.0
288,91118.0
289,90749.0
290,89979.0
291,89240.0
292,88431.0
293,87580.0
294,86922.0
295,83336.0
296,84114.0
297,82986.0
298,82298.0
299,82008.0
300,81199.0
301,81893.0
302,80926.0
303,80750.0
304,79292.0
305,78979.0
306,78247.0
307,77999.0
308,77583.0
309,77165.0
310,76594.0
311,76609.0
312,75677.0
313,75618.0
314,75423.0
315,76281.0
316,75622.0
317,75192.0
318,74684.0
319,74401.0
320,74245.0
321,74040.0
322,73473.0
323,73063.0
324,72307.0
325,68703.0
326,69945.0
327,69966.0
328,69318.0
329,68611.0
330,68752.0
331,68174.0
332,67726.0
333,67321.0
334,67286.0
335,66707.0
336,64238.0
337,71158.0
338,65948.0
339,65669.0
340,65176.0
341,64879.0
342,64993.0
343,64744.0
344,64874.0
345,65043.0
346,65051.0
347,64829.0
348,64499.0
349,63968.0
