time,heat
0,227977.0
1,239308.0
2,252237.0
3,263840.0
4,274053.0
5,333227.0
6,336328.0
7,344451.0
8,365287.0
9,383968.0
10,410718.0
11,429734.0
12,500066.0
13,555339.0
14,635253.0
15,705613.0
16,819156.0
17,916915.0
18,1027439.0
19,1092324.0
20,1118318.0
21,1125075.0
22,1475324.0
23,1627504.0
24,1748262.0
25,1835625.0
26,1995607.0
27,2110979.0
28,2234187.0
29,2356314.0
30,2516688.0
31,2636156.0
32,2657016.0
33,2725757.0
34,2803638.0
35,2855505.0
36,2832606.0
37,2772951.0
38,1165066.0
39,793370.0
40,696159.0
41,650042.0
42,578630.0
43,545466.0
44,499244.0
45,491364.0
46,486201.0
47,474461.0
48,469821.0
49,461356.0
50,454165.0
51,451796.0
52,445590.0
53,442281.0
54,435993.0
55,441525.0
56,439206.0
57,454144.0
58,453704.0
59,447939.0
60,442036.0
61,503735.0
62,500509.0
63,516410.0
64,619598.0
65,610599.0
66,624617.0
67,633824.0
68,764322.0
69,636559.0
70,628832.0
71,827937.0
72,622025.0
73,617712.0
74,616427.0
75,616357.0
76,822765.0
77,605935.0
78,786411.0
79,609099.0
80,775510.0
81,603180.0
82,757315.0
83,588814.0
84,736378.0
85,576464.0
86,732303.0
87,559590.0
88,715478.0
89,542367.0
90,503275.0
91,494112.0
92,536057.0
93,472105.0
94,498436.0
95,452478.0
96,442195.0
97,442283.0
98,287554.0
99,284656.0
100,277384.0
101,271414.0
102,269176.0
103,425743.0
104,420901.0
105,419047.0
106,417197.0
107,412559.0
108,407712.0
109,401261.0
110,393490.0
111,419365.0
112,447661.0
113,418134.0
114,450087.0
115,391927.0
116,354719.0
117,349313.0
118,340362.0
119,358638.0
120,341791.0
121,358382.0
122,353199.0
123,347672.0
124,342494.0
125,325778.0
126,364508.0
127,370937.0
128,369963.0
129,367022.0
130,342070.0
131,345664.0
132,354133.0
133,416295.0
134,422727.0
135,426761.0
136,417942.0
137,422555.0
138,337988.0
139,332521.0
140,414630.0
141,418987.0
142,434495.0
143,435796.0
144,438736.0
145,424865.0
146,416838.0
147,431511.0
148,424059.0
149,395740.0
150,402753.0
151,388977.0
152,385729.0
153,377988.0
154,374045.0
155,356549.0
156,372006.0
157,357699.0
158,362467.0
159,361681.0
160,360082.0
161,353429.0
162,345431.0
163,336768.0
164,328068.0
165,324819.0
166,328220.0
167,311007.0
168,309088.0
169,308462.0
170,288986.0
171,288154.0
172,292117.0
173,292768.0
174,290769.0
175,359114.0
176,306560.0
177,322729.0
178,315201.0
179,322566.0
180,314091.0
181,283608.0
182,314994.0
183,279692.0
184,274664.0
185,303513.0
186,294223.0
187,291705.0
188,290897.0
189,287373.0
190,270374.0
191,286814.0
192,296052.0
193,305632.0
194,276267.0
195,289173.0
196,279486.0
197,280732.0
198,272283.0
199,284518.0
200,295502.0
201,277041.0
202,307822.0
203,295443.0
204,302708.0
205,296629.0
206,298726.0
207,293681.0
208,290590.0
209,292587.0
210,287316.0
211,288201.0
212,289291.0
213,290433.0
214,292116.0
215,278485.0
216,274777.0
217,272570.0
218,277331.0
219,273531.0
220,263548.0
221,283132.0
222,275578.0
223,271519.0
224,243791.0
225,295612.0
226,327630.0
227,294293.0
228,341785.0
229,328911.0
230,248988.0
231,327903.0
232,303596.0
233,302009.0
234,322392.0
235,236797.0
236,218948.0
237,232233.0
238,244472.0
239,246109.0
240,252587.0
241,299048.0
242,285461.0
243,258836.0
244,269782.0
245,272588.0
246,275983.0
247,279783.0
248,296723.0
249,245741.0
250,269627.0
251,269011.0
252,277027.0
253,308912.0
254,303450.0
255,296204.0
256,285610.0
257,282457.0
258,269826.0
259,265321.0
260,257246.0
261,260968.0
262,313174.0
263,259473.0
264,312347.0
265,311522.0
266,306381.0
267,303532.0
268,239733.0
269,237636.0
270,217541.0
271,222954.0
272,227698.0
273,238625.0
274,222968.0
275,229772.0
276,236607.0
277,237260.0
278,242239.0
279,304689.0
280,303050.0
281,304570.0
282,301383.0
283,298933.0
284,295145.0
285,279593.0
286,288262.0
287,284712.0
288,271818.0
289,310187.0
290,267235.0
291,261510.0
292,275362.0
293,270303.0
294,271655.0
295,270609.0
296,262672.0
297,268285.0
298,277762.0
299,268983.0
300,304914.0
301,305561.0
302,274675.0
303,264787.0
304,265567.0
305,309966.0
306,302183.0
307,309741.0
308,312376.0
309,314118.0
310,319698.0
311,320388.0
312,319022.0
313,318041.0
314,313628.0
315,314499.0
316,315753.0
317,315557.0
318,326976.0
319,330055.0
320,329757.0
321,330622.0
322,328853.0
323,328591.0
324,329529.0
325,334533.0
326,337650.0
327,310405.0
328,298251.0
329,306782.0
330,338279.0
331,334276.0
332,341579.0
333,345608.0
334,348530.0
335,345271.0
336,345513.0
337,299791.0
338,298348.0
339,333181.0
340,338011.0
341,311500.0
342,328966.0
343,322703.0
344,316318.0
345,310973.0
346,306703.0
347,302204.0
348,298591.0
349,298038.0
