time,heat
0,98287.0
1,102167.0
2,105849.0
3,108009.0
4,110558.0
5,115644.0
6,122630.0
7,128629.0
8,134674.0
9,143674.0
10,149679.0
11,158334.0
12,166935.0
13,175852.0
14,269984.0
15,268978.0
16,200671.0
17,216039.0
18,232322.0
19,253903.0
20,262230.0
21,280449.0
22,291095.0
23,308886.0
24,354852.0
25,382451.0
26,399241.0
27,425611.0
28,448747.0
29,489254.0
30,523286.0
31,566192.0
32,587570.0
33,628977.0
34,651131.0
35,699490.0
36,873921.0
37,869995.0
38,873713.0
39,869897.0
40,867935.0
41,884330.0
42,924972.0
43,944107.0
44,996450.0
45,1010830.0
46,1032047.0
47,1037970.0
48,1057577.0
49,1060837.0
50,1061680.0
51,1081900.0
52,1073793.0
53,1074341.0
54,1066235.0
55,1077007.0
56,1070508.0
57,1083627.0
58,1083183.0
59,1093302.0
60,1090365.0
61,1115303.0
62,1117527.0
63,1126525.0
64,1144761.0
65,1143109.0
66,1168848.0
67,1164817.0
68,1169461.0
69,1166259.0
70,1150751.0
71,1137182.0
72,1117697.0
73,1091371.0
74,1070445.0
75,1067803.0
76,1073296.0
77,1068332.0
78,1038853.0
79,1010885.0
80,1005274.0
81,979782.0
82,958826.0
83,931558.0
84,922477.0
85,919405.0
86,912328.0
87,900625.0
88,895847.0
89,881884.0
90,873847.0
91,862417.0
92,858401.0
93,852624.0
94,841793.0
95,834603.0
96,811865.0
97,802841.0
98,792605.0
99,781828.0
100,770211.0
101,762939.0
102,747989.0
103,742604.0
104,724814.0
105,718634.0
106,713812.0
107,708846.0
108,698345.0
109,693734.0
110,688166.0
111,668678.0
112,663940.0
113,657831.0
114,649364.0
115,636381.0
116,631401.0
117,621139.0
118,615610.0
119,603200.0
120,615140.0
121,601526.0
122,582598.0
123,594005.0
124,592110.0
125,587536.0
126,574671.0
127,570034.0
128,569840.0
129,567408.0
130,555344.0
131,551918.0
132,548972.0
133,543971.0
134,535587.0
135,531942.0
136,517244.0
137,508205.0
138,504136.0
139,500502.0
140,508174.0
141,504364.0
142,500886.0
143,504286.0
144,502446.0
145,484665.0
146,481064.0
147,474858.0
148,471376.0
149,465453.0
150,461711.0
151,459387.0
152,456399.0
153,451277.0
154,445794.0
155,453013.0
156,460295.0
157,458600.0
158,442450.0
159,432925.0
160,420325.0
161,417635.0
162,407305.0
163,404562.0
164,415282.0
165,405195.0
166,406088.0
167,407393.0
168,407387.0
169,405698.0
170,403900.0
171,386908.0
172,375447.0
173,366350.0
174,364623.0
175,357174.0
176,363341.0
177,357117.0
178,354832.0
179,351676.0
180,350062.0
181,344771.0
182,342971.0
183,339844.0
184,339249.0
185,337942.0
186,341007.0
187,338552.0
188,331483.0
189,329819.0
190,326238.0
191,324823.0
192,317637.0
193,317608.0
194,314549.0
195,312865.0
196,308212.0
197,303630.0
198,302493.0
199,301258.0
200,287384.0
201,278784.0
202,277634.0
203,284055.0
204,286178.0
205,284267.0
206,282957.0
207,272059.0
208,267958.0
209,275617.0
210,271629.0
211,277785.0
212,277668.0
213,276908.0
214,264624.0
215,255013.0
216,254254.0
217,255934.0
218,254193.0
219,253382.0
220,249920.0
221,252826.0
222,251727.0
223,250891.0
224,256702.0
225,258423.0
226,263889.0
227,263615.0
228,261895.0
229,261144.0
230,260392.0
231,251053.0
232,244522.0
233,238805.0
234,233685.0
235,243543.0
236,242987.0
237,238163.0
238,233829.0
239,235507.0
240,234000.0
241,226380.0
242,225747.0
243,225033.0
244,224306.0
245,226874.0
246,229997.0
247,235189.0
248,228724.0
249,226039.0
250,233275.0
251,240221.0
252,234936.0
253,249418.0
254,251232.0
255,254380.0
256,250996.0
257,252795.0
258,253028.0
259,252031.0
260,252104.0
261,256403.0
262,256113.0
263,255730.0
264,253912.0
265,252884.0
266,252169.0
267,256566.0
268,255277.0
269,253723.0
270,254657.0
271,249040.0
272,249394.0
273,249524.0
274,247613.0
275,248730.0
276,249220.0
277,248083.0
278,242033.0
279,246284.0
280,237879.0
281,241824.0
282,236369.0
283,229831.0
284,226981.0
285,224336.0
286,218694.0
287,221650.0
288,215298.0
289,213501.0
290,214656.0
291,217244.0
292,216317.0
293,213338.0
294,209494.0
295,207970.0
296,204856.0
297,207266.0
298,207057.0
299,209749.0
300,209544.0
301,219103.0
302,213712.0
303,211689.0
304,211558.0
305,210332.0
306,207901.0
307,209770.0
308,205890.0
309,208181.0
310,205169.0
311,207615.0
312,204139.0
313,203680.0
314,204620.0
315,210742.0
316,207526.0
317,203558.0
318,200905.0
319,201783.0
320,207554.0
321,212727.0
322,215699.0
323,221413.0
324,222596.0
325,229523.0
326,226982.0
327,229498.0
328,224455.0
329,219745.0
330,213985.0
331,208063.0
332,201362.0
333,195190.0
334,194123.0
335,194232.0
336,190963.0
337,192656.0
338,192225.0
339,191417.0
340,193956.0
341,197145.0
342,200594.0
343,204144.0
344,207836.0
345,211459.0
346,215044.0
347,218615.0
348,222151.0
349,225791.0
