time,heat
0,55433.0
1,56381.0
2,57438.0
3,57812.0
4,59889.0
5,62383.0
6,63408.0
7,64674.0
8,65008.0
9,65638.0
10,65537.0
11,67970.0
12,68619.0
13,70400.0
14,70995.0
15,72527.0
16,73062.0
17,74019.0
18,74635.0
19,75703.0
20,77115.0
21,79597.0
22,79582.0
23,83216.0
24,84174.0
25,87807.0
26,88890.0
27,92117.0
28,93314.0
29,94775.0
30,95588.0
31,98403.0
32,99685.0
33,101114.0
34,105523.0
35,103528.0
36,106902.0
37,109937.0
38,111172.0
39,114498.0
40,116660.0
41,120479.0
42,121149.0
43,122522.0
44,124945.0
45,129759.0
46,131943.0
47,144866.0
48,147226.0
49,146309.0
50,151669.0
51,156792.0
52,158520.0
53,164917.0
54,167654.0
55,170610.0
56,172567.0
57,176174.0
58,177458.0
59,179552.0
60,179464.0
61,186189.0
62,185648.0
63,185393.0
64,187874.0
65,190635.0
66,190389.0
67,193662.0
68,197016.0
69,201032.0
70,195118.0
71,222092.0
72,211416.0
73,218803.0
74,227454.0
75,236545.0
76,240900.0
77,249342.0
78,252559.0
79,256914.0
80,259869.0
81,272467.0
82,273262.0
83,280218.0
84,284141.0
85,294009.0
86,296953.0
87,301299.0
88,301267.0
89,310240.0
90,307893.0
91,315131.0
92,312203.0
93,310918.0
94,311441.0
95,314651.0
96,310490.0
97,314849.0
98,312258.0
99,317372.0
100,317496.0
101,319950.0
102,327225.0
103,332223.0
104,337757.0
105,343068.0
106,346107.0
107,349049.0
108,345930.0
109,348934.0
110,350923.0
111,361107.0
112,353939.0
113,362736.0
114,356682.0
115,357110.0
116,360207.0
117,370541.0
118,374870.0
119,373348.0
120,365253.0
121,365585.0
122,359800.0
123,360280.0
124,378291.0
125,388995.0
126,390066.0
127,415256.0
128,409425.0
129,412051.0
130,408675.0
131,422323.0
132,416320.0
133,432902.0
134,1071284.0
135,1073399.0
136,1074427.0
137,1076437.0
138,1080121.0
139,1079811.0
140,1079694.0
141,1082687.0
142,1082432.0
143,1082371.0
144,1082976.0
145,1084216.0
146,1081933.0
147,1083647.0
148,1081665.0
149,1080943.0
150,1081659.0
151,1081870.0
152,1082179.0
153,1082526.0
154,1082393.0
155,1082723.0
156,1085663.0
157,1086480.0
158,1088464.0
159,1089693.0
160,1090049.0
161,1091313.0
162,1092150.0
163,1092908.0
164,1094648.0
165,1095727.0
166,1092428.0
167,1094746.0
168,1095128.0
169,1095576.0
170,1096808.0
171,1097374.0
172,1097396.0
173,1097900.0
174,1097001.0
175,1097947.0
176,1097929.0
177,1096317.0
178,1095080.0
179,1093963.0
180,1093161.0
181,1092138.0
182,1090988.0
183,1089881.0
184,1088268.0
185,1086294.0
186,1084877.0
187,1084600.0
188,1083957.0
189,1082530.0
190,1081817.0
191,1081173.0
192,1080615.0
193,1081048.0
194,506264.0
195,511229.0
196,526395.0
197,525335.0
198,518333.0
199,515393.0
200,515055.0
201,516551.0
202,518065.0
203,519032.0
204,519502.0
205,514810.0
206,499544.0
207,508341.0
208,518594.0
209,532505.0
210,544627.0
211,533584.0
212,591263.0
213,548733.0
214,549193.0
215,548376.0
216,541638.0
217,533884.0
218,520396.0
219,502829.0
220,489347.0
221,476517.0
222,467362.0
223,458658.0
224,448274.0
225,439983.0
226,434257.0
227,427133.0
228,426205.0
229,426701.0
230,425977.0
231,424427.0
232,427034.0
233,426847.0
234,432961.0
235,433384.0
236,433833.0
237,449475.0
238,454352.0
239,457428.0
240,472374.0
241,477852.0
242,473063.0
243,475596.0
244,472894.0
245,467680.0
246,466118.0
247,463070.0
248,459548.0
249,455796.0
250,450766.0
251,451224.0
252,443005.0
253,439027.0
254,433071.0
255,424791.0
256,401418.0
257,397209.0
258,393106.0
259,399084.0
260,394285.0
261,385579.0
262,379452.0
263,373121.0
264,421599.0
265,391791.0
266,363405.0
267,373071.0
268,395687.0
269,360992.0
270,428800.0
271,397403.0
272,368637.0
273,413108.0
274,384920.0
275,358470.0
276,421647.0
277,392018.0
278,364580.0
279,426012.0
280,401430.0
281,376461.0
282,353938.0
283,402776.0
284,377096.0
285,406474.0
286,380054.0
287,410371.0
288,384568.0
289,413796.0
290,384551.0
291,402033.0
292,375618.0
293,391908.0
294,365500.0
295,387868.0
296,359171.0
297,368471.0
298,342202.0
299,351616.0
300,326286.0
301,392742.0
302,362821.0
303,335019.0
304,363687.0
305,335181.0
306,354022.0
307,349522.0
308,345209.0
309,340904.0
310,339813.0
311,332794.0
312,327624.0
313,327578.0
314,327010.0
315,325336.0
316,320804.0
317,354088.0
318,320120.0
319,297891.0
320,279414.0
321,276701.0
322,312131.0
323,291635.0
324,311539.0
325,289541.0
326,307130.0
327,303713.0
328,307700.0
329,303155.0
330,304245.0
331,301638.0
332,302880.0
333,293271.0
334,294880.0
335,294154.0
336,299893.0
337,297849.0
338,298860.0
339,298106.0
340,300598.0
341,298871.0
342,305607.0
343,315407.0
344,306572.0
345,296654.0
346,296854.0
347,297102.0
348,303593.0
349,306987.0
