time,heat
0,143672.0
1,147705.0
2,150649.0
3,139932.0
4,146903.0
5,157254.0
6,165453.0
7,170088.0
8,178672.0
9,193223.0
10,316797.0
11,314827.0
12,328853.0
13,353576.0
14,401598.0
15,417713.0
16,417330.0
17,403070.0
18,398002.0
19,403327.0
20,418398.0
21,427193.0
22,422108.0
23,420578.0
24,420198.0
25,425160.0
26,423517.0
27,437403.0
28,447176.0
29,495909.0
30,526402.0
31,523584.0
32,539175.0
33,564154.0
34,591306.0
35,609800.0
36,651051.0
37,681729.0
38,718632.0
39,739666.0
40,761015.0
41,796393.0
42,829786.0
43,854851.0
44,898234.0
45,913623.0
46,931977.0
47,947303.0
48,992758.0
49,1010253.0
50,1021295.0
51,1034773.0
52,1034066.0
53,1030124.0
54,1024009.0
55,1030286.0
56,1032992.0
57,1040271.0
58,1025591.0
59,1033426.0
60,1020223.0
61,1020183.0
62,1019096.0
63,1015859.0
64,1008454.0
65,1005336.0
66,1024854.0
67,1021297.0
68,1021427.0
69,1015223.0
70,1022256.0
71,1020314.0
72,1035663.0
73,1037298.0
74,1031653.0
75,1030239.0
76,1030389.0
77,1024035.0
78,1032649.0
79,1033593.0
80,1031618.0
81,1036118.0
82,1036127.0
83,1033356.0
84,1047449.0
85,1040328.0
86,1022450.0
87,1015753.0
88,999262.0
89,987882.0
90,976509.0
91,983112.0
92,976608.0
93,972862.0
94,952234.0
95,945943.0
96,949759.0
97,939285.0
98,929801.0
99,917650.0
100,904090.0
101,889945.0
102,871863.0
103,863616.0
104,873377.0
105,852192.0
106,833569.0
107,825155.0
108,776345.0
109,760495.0
110,748828.0
111,725009.0
112,707140.0
113,690354.0
114,676505.0
115,663931.0
116,652525.0
117,677709.0
118,671639.0
119,658666.0
120,652736.0
121,646475.0
122,653149.0
123,660877.0
124,671875.0
125,670466.0
126,661692.0
127,641905.0
128,630985.0
129,626688.0
130,618161.0
131,616491.0
132,612604.0
133,587565.0
134,575613.0
135,564205.0
136,555217.0
137,549377.0
138,544477.0
139,543979.0
140,539891.0
141,532929.0
142,533861.0
143,524627.0
144,512919.0
145,567516.0
146,525578.0
147,526572.0
148,529243.0
149,522794.0
150,524510.0
151,517786.0
152,525291.0
153,519116.0
154,521470.0
155,518133.0
156,509619.0
157,507076.0
158,494147.0
159,485813.0
160,470018.0
161,457911.0
162,437201.0
163,431835.0
164,416090.0
165,407124.0
166,384324.0
167,387343.0
168,385487.0
169,387030.0
170,390778.0
171,395118.0
172,396591.0
173,389882.0
174,403493.0
175,422086.0
176,428380.0
177,417608.0
178,409155.0
179,400373.0
180,397554.0
181,561942.0
182,398327.0
183,397649.0
184,389484.0
185,368331.0
186,354619.0
187,343929.0
188,334548.0
189,326493.0
190,319747.0
191,319947.0
192,312866.0
193,299541.0
194,293601.0
195,289659.0
196,284545.0
197,279351.0
198,274988.0
199,269673.0
200,265719.0
201,259165.0
202,253002.0
203,247409.0
204,246124.0
205,240894.0
206,235917.0
207,231612.0
208,229803.0
209,227854.0
210,227678.0
211,225864.0
212,224693.0
213,221465.0
214,219527.0
215,218523.0
216,213911.0
217,210201.0
218,204512.0
219,203161.0
220,199641.0
221,198358.0
222,193678.0
223,191918.0
224,189515.0
225,188763.0
226,186304.0
227,185907.0
228,184919.0
229,183143.0
230,183468.0
231,180398.0
232,177882.0
233,176125.0
234,174632.0
235,173067.0
236,172717.0
237,172984.0
238,172715.0
239,172808.0
240,172020.0
241,172969.0
242,173065.0
243,172977.0
244,171945.0
245,170458.0
246,172675.0
247,171536.0
248,173269.0
249,173753.0
250,172281.0
251,171763.0
252,171090.0
253,170301.0
254,171853.0
255,173311.0
256,173222.0
257,172543.0
258,170256.0
259,169664.0
260,170756.0
261,171895.0
262,173332.0
263,172468.0
264,171455.0
265,169994.0
266,167669.0
267,163635.0
268,160487.0
269,158161.0
270,156779.0
271,155900.0
272,152429.0
273,147966.0
274,145039.0
275,142720.0
276,139102.0
277,137436.0
278,136107.0
279,134856.0
280,129275.0
281,131662.0
282,130379.0
283,134308.0
284,133951.0
285,135111.0
286,136194.0
287,131171.0
288,129824.0
289,129547.0
290,125086.0
291,122478.0
292,120272.0
293,117940.0
294,116725.0
295,115649.0
296,114468.0
297,113633.0
298,112593.0
299,110379.0
300,109113.0
301,108021.0
302,106753.0
303,107628.0
304,106432.0
305,104315.0
306,101952.0
307,100630.0
308,100598.0
309,99442.0
310,97645.0
311,96675.0
312,96251.0
313,94255.0
314,94070.0
315,93914.0
316,93747.0
317,91185.0
318,91977.0
319,90435.0
320,89088.0
321,87160.0
322,86015.0
323,85812.0
324,84468.0
325,83180.0
326,81540.0
327,81581.0
328,79240.0
329,78969.0
330,76952.0
331,76349.0
332,75345.0
333,75384.0
334,75149.0
335,74974.0
336,74586.0
337,73471.0
338,73622.0
339,72517.0
340,72958.0
341,71627.0
342,71502.0
343,70083.0
344,70159.0
345,68359.0
346,67641.0
347,68027.0
348,67817.0
349,67038.0
