time,heat
0,175372.0
1,185556.0
2,215096.0
3,233500.0
4,237052.0
5,234236.0
6,233733.0
7,232014.0
8,230786.0
9,229513.0
10,226002.0
11,223360.0
12,225053.0
13,219954.0
14,220888.0
15,218069.0
16,194377.0
17,192982.0
18,192240.0
19,254327.0
20,275590.0
21,310156.0
22,344683.0
23,1061503.0
24,1066809.0
25,1073693.0
26,1079739.0
27,1085209.0
28,1093362.0
29,1099925.0
30,1107069.0
31,1104942.0
32,1104538.0
33,1108947.0
34,1116122.0
35,1114478.0
36,1116513.0
37,1121247.0
38,1127889.0
39,1124692.0
40,1124567.0
41,1124208.0
42,1123640.0
43,1116714.0
44,1105238.0
45,1102697.0
46,1101187.0
47,1095127.0
48,1087277.0
49,1081155.0
50,1080783.0
51,1071674.0
52,1058634.0
53,1056305.0
54,1053752.0
55,1046682.0
56,1033623.0
57,1025317.0
58,1059984.0
59,1056150.0
60,1035425.0
61,1008727.0
62,1018816.0
63,1005356.0
64,992962.0
65,978477.0
66,953962.0
67,936074.0
68,927100.0
69,917002.0
70,906223.0
71,895317.0
72,888775.0
73,878200.0
74,869368.0
75,860559.0
76,852051.0
77,844432.0
78,837006.0
79,827078.0
80,819322.0
81,812629.0
82,805492.0
83,796881.0
84,790097.0
85,781776.0
86,774406.0
87,766954.0
88,759235.0
89,752786.0
90,744674.0
91,736672.0
92,729503.0
93,726236.0
94,718713.0
95,714305.0
96,700151.0
97,693041.0
98,683132.0
99,675424.0
100,666378.0
101,658195.0
102,650394.0
103,640414.0
104,632664.0
105,623491.0
106,615477.0
107,593999.0
108,586926.0
109,580249.0
110,574191.0
111,567498.0
112,561473.0
113,555071.0
114,548861.0
115,543867.0
116,537580.0
117,531777.0
118,525309.0
119,518880.0
120,512339.0
121,506733.0
122,499729.0
123,493686.0
124,487773.0
125,482144.0
126,475120.0
127,469612.0
128,463532.0
129,458201.0
130,452662.0
131,445802.0
132,445499.0
133,443963.0
134,441215.0
135,445154.0
136,439464.0
137,434564.0
138,432283.0
139,427187.0
140,423188.0
141,409452.0
142,399334.0
143,393652.0
144,391259.0
145,388180.0
146,378048.0
147,371619.0
148,373100.0
149,377082.0
150,371576.0
151,368827.0
152,362052.0
153,359106.0
154,353305.0
155,350347.0
156,348586.0
157,341952.0
158,343620.0
159,338907.0
160,337728.0
161,332952.0
162,329305.0
163,327879.0
164,325952.0
165,324588.0
166,322594.0
167,319770.0
168,317119.0
169,314902.0
170,314114.0
171,311110.0
172,309267.0
173,306653.0
174,305637.0
175,299904.0
176,298479.0
177,296737.0
178,280971.0
179,309569.0
180,290634.0
181,288566.0
182,286492.0
183,285720.0
184,283279.0
185,281744.0
186,279981.0
187,278893.0
188,272147.0
189,264830.0
190,258324.0
191,255514.0
192,253823.0
193,251021.0
194,249189.0
195,245298.0
196,243730.0
197,244115.0
198,243340.0
199,239259.0
200,238511.0
201,236395.0
202,234735.0
203,229613.0
204,230680.0
205,228036.0
206,227973.0
207,225048.0
208,225537.0
209,223590.0
210,221192.0
211,218834.0
212,215773.0
213,214112.0
214,211233.0
215,209366.0
216,208213.0
217,206265.0
218,205856.0
219,203898.0
220,203676.0
221,198951.0
222,198968.0
223,196885.0
224,197346.0
225,196536.0
226,194737.0
227,193751.0
228,191898.0
229,189888.0
230,188119.0
231,186247.0
232,185624.0
233,184122.0
234,182443.0
235,181349.0
236,185082.0
237,185329.0
238,186644.0
239,184947.0
240,187821.0
241,187902.0
242,187144.0
243,184829.0
244,183995.0
245,183153.0
246,183727.0
247,179952.0
248,179367.0
249,175115.0
250,174520.0
251,172139.0
252,168440.0
253,165053.0
254,165308.0
255,161243.0
256,164007.0
257,164134.0
258,166897.0
259,165927.0
260,167428.0
261,164957.0
262,167582.0
263,167499.0
264,165602.0
265,163291.0
266,160794.0
267,158409.0
268,158899.0
269,158583.0
270,157222.0
271,154849.0
272,154106.0
273,152022.0
274,154119.0
275,151660.0
276,152592.0
277,152676.0
278,151909.0
279,151923.0
280,149406.0
281,147213.0
282,148938.0
283,149377.0
284,149255.0
285,146090.0
286,146610.0
287,145685.0
288,143720.0
289,142595.0
290,142453.0
291,141613.0
292,141522.0
293,141023.0
294,139824.0
295,139965.0
296,138980.0
297,136918.0
298,138373.0
299,141418.0
300,142605.0
301,144063.0
302,136078.0
303,134572.0
304,132409.0
305,131482.0
306,132984.0
307,133484.0
308,133409.0
309,132997.0
310,132465.0
311,136303.0
312,136377.0
313,137701.0
314,134574.0
315,132960.0
316,133589.0
317,135425.0
318,136685.0
319,137102.0
320,137927.0
321,136254.0
322,136010.0
323,135413.0
324,133761.0
325,132527.0
326,130607.0
327,129026.0
328,127656.0
329,126954.0
330,125645.0
331,124759.0
332,124394.0
333,123690.0
334,123634.0
335,123987.0
336,124493.0
337,125020.0
338,125813.0
339,126955.0
340,126233.0
341,126059.0
342,125841.0
343,126026.0
344,124772.0
345,124861.0
346,125689.0
347,126243.0
348,126252.0
349,127486.0
