time,heat
0,738812.0
1,1992362.0
2,2203715.0
3,2353979.0
4,2535067.0
5,2942972.0
6,382468.0
7,368932.0
8,258941.0
9,318602.0
10,325371.0
11,322440.0
12,357611.0
13,368284.0
14,387304.0
15,421756.0
16,418853.0
17,428677.0
18,402646.0
19,443905.0
20,379472.0
21,375664.0
22,349467.0
23,364289.0
24,335288.0
25,339929.0
26,328967.0
27,348314.0
28,342900.0
29,328938.0
30,317125.0
31,327552.0
32,319867.0
33,317799.0
34,328137.0
35,310068.0
36,310321.0
37,327389.0
38,298820.0
39,298734.0
40,309801.0
41,320201.0
42,315695.0
43,291348.0
44,299512.0
45,277614.0
46,285126.0
47,286024.0
48,291819.0
49,299215.0
50,309500.0
51,317239.0
52,305431.0
53,304537.0
54,303237.0
55,307550.0
56,327514.0
57,298123.0
58,317899.0
59,313604.0
60,330175.0
61,333023.0
62,337139.0
63,337396.0
64,342091.0
65,345427.0
66,348497.0
67,364010.0
68,367669.0
69,332456.0
70,340230.0
71,331759.0
72,346553.0
73,355719.0
74,359620.0
75,339924.0
76,345899.0
77,318064.0
78,317810.0
79,302966.0
80,304907.0
81,311968.0
82,309615.0
83,331871.0
84,340655.0
85,306799.0
86,283416.0
87,293561.0
88,281950.0
89,279992.0
90,272090.0
91,327765.0
92,268754.0
93,319799.0
94,320140.0
95,262060.0
96,314171.0
97,311967.0
98,298867.0
99,310463.0
100,284413.0
101,299928.0
102,284022.0
103,289057.0
104,274326.0
105,918719.0
106,877547.0
107,1001972.0
108,817345.0
109,758286.0
110,752394.0
111,271910.0
112,920064.0
113,736729.0
114,274985.0
115,257884.0
116,268668.0
117,280647.0
118,278404.0
119,258944.0
120,275925.0
121,283082.0
122,288577.0
123,270859.0
124,260022.0
125,265933.0
126,274531.0
127,257712.0
128,255285.0
129,267898.0
130,238009.0
131,233778.0
132,268058.0
133,242201.0
134,890232.0
135,763134.0
136,896331.0
137,864982.0
138,622884.0
139,603641.0
140,595169.0
141,257058.0
142,242373.0
143,585660.0
144,255147.0
145,910813.0
146,570761.0
147,801254.0
148,812649.0
149,896184.0
150,260257.0
151,890416.0
152,253291.0
153,815485.0
154,558416.0
155,546075.0
156,745112.0
157,592958.0
158,636072.0
159,732467.0
160,770602.0
161,786063.0
162,811416.0
163,833112.0
164,909900.0
165,901448.0
166,861085.0
167,855542.0
168,869214.0
169,867859.0
170,715899.0
171,707687.0
172,707620.0
173,778590.0
174,771703.0
175,768734.0
176,738204.0
177,764214.0
178,755133.0
179,748494.0
180,462234.0
181,734592.0
182,730795.0
183,720202.0
184,430061.0
185,423523.0
186,423961.0
187,415826.0
188,244198.0
189,254380.0
190,287110.0
191,295760.0
192,296566.0
193,310303.0
194,314696.0
195,322474.0
196,321052.0
197,310274.0
198,296419.0
199,306621.0
200,315371.0
201,287636.0
202,290858.0
203,290395.0
204,289310.0
205,287127.0
206,289018.0
207,287393.0
208,288067.0
209,286450.0
210,284599.0
211,282806.0
212,279926.0
213,276970.0
214,276499.0
215,276552.0
216,272358.0
217,273440.0
218,271106.0
219,272247.0
220,265680.0
221,261948.0
222,258953.0
223,266157.0
224,249639.0
225,246618.0
226,242891.0
227,237974.0
228,231656.0
229,227106.0
230,223417.0
231,206575.0
232,210068.0
233,201368.0
234,204829.0
235,207171.0
236,199163.0
237,190177.0
238,195865.0
239,186004.0
240,189500.0
241,207431.0
242,186652.0
243,183681.0
244,181961.0
245,179362.0
246,176178.0
247,171661.0
248,169013.0
249,161236.0
250,150040.0
251,147513.0
252,144655.0
253,143517.0
254,141478.0
255,143509.0
256,140476.0
257,140330.0
258,135409.0
259,135512.0
260,132390.0
261,131273.0
262,330319.0
263,329070.0
264,322449.0
265,319924.0
266,318213.0
267,315809.0
268,309303.0
269,123959.0
270,311711.0
271,309000.0
272,306834.0
273,302033.0
274,300857.0
275,295638.0
276,289889.0
277,295219.0
278,292226.0
279,289342.0
280,286381.0
281,279853.0
282,261417.0
283,265534.0
284,272489.0
285,266211.0
286,265073.0
287,261649.0
288,257193.0
289,253520.0
290,237845.0
291,250800.0
292,245860.0
293,243743.0
294,241448.0
295,235166.0
296,232076.0
297,230492.0
298,227691.0
299,224505.0
300,221918.0
301,221114.0
302,216833.0
303,216093.0
304,212432.0
305,210918.0
306,208477.0
307,206297.0
308,205314.0
309,203701.0
310,201942.0
311,199208.0
312,197381.0
313,194399.0
314,191598.0
315,190169.0
316,188416.0
317,181524.0
318,180344.0
319,179955.0
320,185358.0
321,181501.0
322,180719.0
323,178723.0
324,176722.0
325,176093.0
326,174682.0
327,170682.0
328,170039.0
329,170649.0
330,169164.0
331,167972.0
332,163443.0
333,163448.0
334,160246.0
335,158329.0
336,156431.0
337,154337.0
338,151850.0
339,150817.0
340,149394.0
341,148071.0
342,145800.0
343,145097.0
344,143996.0
345,142653.0
346,141236.0
347,141138.0
348,139704.0
349,138875.0
