time,heat
0,309432.0
1,294876.0
2,279726.0
3,425122.0
4,335984.0
5,339654.0
6,354245.0
7,367658.0
8,379892.0
9,401133.0
10,426422.0
11,898694.0
12,849183.0
13,796485.0
14,747777.0
15,710413.0
16,712966.0
17,770420.0
18,831785.0
19,899988.0
20,967408.0
21,1167552.0
22,1181253.0
23,1210928.0
24,1303254.0
25,1414847.0
26,1499991.0
27,1565739.0
28,1125782.0
29,1086705.0
30,495393.0
31,287450.0
32,342855.0
33,344148.0
34,344166.0
35,474299.0
36,494289.0
37,526188.0
38,526716.0
39,523484.0
40,515102.0
41,510857.0
42,499112.0
43,496683.0
44,486697.0
45,480009.0
46,472486.0
47,467061.0
48,462890.0
49,185792.0
50,213771.0
51,451456.0
52,447360.0
53,274027.0
54,291104.0
55,293764.0
56,292966.0
57,291922.0
58,372215.0
59,385713.0
60,385853.0
61,389968.0
62,391008.0
63,390266.0
64,376382.0
65,368396.0
66,368587.0
67,349735.0
68,338793.0
69,339334.0
70,296201.0
71,300370.0
72,317141.0
73,315624.0
74,317374.0
75,317691.0
76,317696.0
77,310139.0
78,306297.0
79,306990.0
80,300198.0
81,298560.0
82,346350.0
83,330648.0
84,323020.0
85,359708.0
86,370280.0
87,363780.0
88,356932.0
89,360367.0
90,362633.0
91,357672.0
92,345855.0
93,303266.0
94,311543.0
95,279455.0
96,277695.0
97,278404.0
98,272585.0
99,267916.0
100,265370.0
101,259434.0
102,244285.0
103,253119.0
104,250212.0
105,213896.0
106,232734.0
107,243177.0
108,241559.0
109,240514.0
110,348716.0
111,369704.0
112,376902.0
113,374757.0
114,375651.0
115,376692.0
116,368823.0
117,351528.0
118,349357.0
119,259544.0
120,259815.0
121,372973.0
122,281417.0
123,254585.0
124,249652.0
125,247930.0
126,248185.0
127,260356.0
128,262911.0
129,316535.0
130,317300.0
131,266765.0
132,267576.0
133,269518.0
134,269852.0
135,271466.0
136,273926.0
137,271324.0
138,267748.0
139,265651.0
140,263031.0
141,261225.0
142,260812.0
143,263992.0
144,267701.0
145,269082.0
146,278250.0
147,283419.0
148,293995.0
149,290574.0
150,295684.0
151,296486.0
152,309087.0
153,300791.0
154,306967.0
155,303643.0
156,302067.0
157,316711.0
158,311658.0
159,316878.0
160,317509.0
161,329277.0
162,334998.0
163,329828.0
164,330415.0
165,334206.0
166,335753.0
167,359721.0
168,368194.0
169,355210.0
170,356100.0
171,361377.0
172,255768.0
173,382604.0
174,272988.0
175,310984.0
176,331882.0
177,349223.0
178,370573.0
179,364695.0
180,360200.0
181,354347.0
182,334973.0
183,328673.0
184,315687.0
185,323557.0
186,331781.0
187,334304.0
188,338640.0
189,340083.0
190,345221.0
191,337725.0
192,268339.0
193,276835.0
194,275332.0
195,278650.0
196,293701.0
197,287484.0
198,299629.0
199,306770.0
200,306747.0
201,303719.0
202,301365.0
203,302375.0
204,294590.0
205,296723.0
206,285687.0
207,290355.0
208,286900.0
209,284262.0
210,284089.0
211,245295.0
212,242208.0
213,238384.0
214,236273.0
215,238936.0
216,244388.0
217,288965.0
218,291217.0
219,288297.0
220,287675.0
221,286866.0
222,340505.0
223,331672.0
224,345391.0
225,397774.0
226,409467.0
227,403403.0
228,306537.0
229,303822.0
230,300388.0
231,280365.0
232,292432.0
233,288390.0
234,286114.0
235,299229.0
236,368110.0
237,279387.0
238,370259.0
239,263701.0
240,272375.0
241,303932.0
242,272562.0
243,273686.0
244,269583.0
245,269867.0
246,270890.0
247,224800.0
248,268621.0
249,266051.0
250,266394.0
251,265613.0
252,271801.0
253,270896.0
254,273321.0
255,277212.0
256,275172.0
257,285259.0
258,296144.0
259,296250.0
260,296086.0
261,298938.0
262,294300.0
263,291522.0
264,283696.0
265,277038.0
266,237203.0
267,236173.0
268,236677.0
269,235767.0
270,248520.0
271,254447.0
272,244252.0
273,275628.0
274,271479.0
275,250890.0
276,263140.0
277,255418.0
278,256213.0
279,243302.0
280,271444.0
281,259308.0
282,179901.0
283,175419.0
284,179887.0
285,193857.0
286,274641.0
287,271590.0
288,271221.0
289,233745.0
290,265243.0
291,268316.0
292,281808.0
293,275837.0
294,293382.0
295,284585.0
296,284081.0
297,278960.0
298,289337.0
299,290775.0
300,274064.0
301,266070.0
302,305777.0
303,283225.0
304,294748.0
305,288714.0
306,327383.0
307,283785.0
308,278883.0
309,267178.0
310,397942.0
311,408139.0
312,407855.0
313,405220.0
314,443677.0
315,438480.0
316,440897.0
317,423546.0
318,380551.0
319,414461.0
320,299159.0
321,353479.0
322,319674.0
323,491366.0
324,483660.0
325,467756.0
326,458816.0
327,448215.0
328,461103.0
329,438555.0
330,351231.0
331,329888.0
332,333984.0
333,340191.0
334,336487.0
335,403564.0
336,402057.0
337,337793.0
338,345863.0
339,346689.0
340,371730.0
341,372842.0
342,367098.0
343,363497.0
344,359166.0
345,367865.0
346,386667.0
347,372636.0
348,390028.0
349,405168.0
