time,heat
0,109214.0
1,127748.0
2,163846.0
3,193310.0
4,218626.0
5,244479.0
6,159386.0
7,157904.0
8,332785.0
9,304019.0
10,303724.0
11,306559.0
12,326063.0
13,316581.0
14,317703.0
15,322960.0
16,276702.0
17,319196.0
18,310420.0
19,310850.0
20,308097.0
21,271669.0
22,263700.0
23,256688.0
24,255726.0
25,254965.0
26,255443.0
27,254109.0
28,251685.0
29,250778.0
30,259270.0
31,196881.0
32,201532.0
33,203564.0
34,208072.0
35,211598.0
36,227912.0
37,230038.0
38,225629.0
39,224968.0
40,223084.0
41,220059.0
42,214900.0
43,212785.0
44,817346.0
45,814730.0
46,800659.0
47,787589.0
48,832926.0
49,862597.0
50,880087.0
51,922838.0
52,950399.0
53,967803.0
54,999697.0
55,1029368.0
56,1026983.0
57,1028790.0
58,1066177.0
59,1073931.0
60,1088982.0
61,1086962.0
62,1102580.0
63,1112624.0
64,1120403.0
65,758806.0
66,760543.0
67,728481.0
68,775037.0
69,723265.0
70,737011.0
71,729255.0
72,737145.0
73,682054.0
74,171902.0
75,196468.0
76,164622.0
77,180041.0
78,181995.0
79,209135.0
80,182787.0
81,183524.0
82,218920.0
83,216711.0
84,214714.0
85,212307.0
86,212534.0
87,209355.0
88,468289.0
89,475705.0
90,476296.0
91,472298.0
92,197082.0
93,203395.0
94,454545.0
95,417607.0
96,201442.0
97,655120.0
98,198968.0
99,193019.0
100,639516.0
101,632392.0
102,628505.0
103,635822.0
104,642437.0
105,651134.0
106,217094.0
107,196232.0
108,222216.0
109,188747.0
110,282034.0
111,199354.0
112,200199.0
113,197665.0
114,193122.0
115,324356.0
116,363618.0
117,374521.0
118,385108.0
119,412830.0
120,415455.0
121,421769.0
122,418875.0
123,431342.0
124,426192.0
125,415965.0
126,533129.0
127,538256.0
128,541910.0
129,544206.0
130,537175.0
131,529269.0
132,526550.0
133,509649.0
134,505133.0
135,503063.0
136,502334.0
137,500212.0
138,428942.0
139,439008.0
140,447241.0
141,474842.0
142,476269.0
143,485883.0
144,488097.0
145,484886.0
146,479219.0
147,506394.0
148,492960.0
149,474766.0
150,470394.0
151,455273.0
152,438956.0
153,473425.0
154,453433.0
155,443285.0
156,460078.0
157,465181.0
158,429205.0
159,417542.0
160,451340.0
161,405526.0
162,391976.0
163,379753.0
164,381517.0
165,379600.0
166,375970.0
167,373781.0
168,372318.0
169,370271.0
170,368035.0
171,368769.0
172,371145.0
173,366324.0
174,372162.0
175,254980.0
176,255369.0
177,265812.0
178,263064.0
179,261898.0
180,263665.0
181,261380.0
182,259363.0
183,257702.0
184,255271.0
185,261410.0
186,260392.0
187,253238.0
188,251305.0
189,252367.0
190,243722.0
191,236136.0
192,238499.0
193,214637.0
194,271323.0
195,224210.0
196,216137.0
197,247291.0
198,249778.0
199,249632.0
200,247387.0
201,245637.0
202,237515.0
203,231493.0
204,248287.0
205,242304.0
206,194956.0
207,220771.0
208,219254.0
209,215540.0
210,213783.0
211,214563.0
212,219004.0
213,252469.0
214,242442.0
215,241751.0
216,256274.0
217,258380.0
218,308511.0
219,289973.0
220,305717.0
221,307079.0
222,304653.0
223,299609.0
224,310346.0
225,325576.0
226,304476.0
227,319444.0
228,333175.0
229,332038.0
230,332673.0
231,282708.0
232,277622.0
233,271932.0
234,268643.0
235,250184.0
236,247854.0
237,273034.0
238,325515.0
239,333163.0
240,346540.0
241,374089.0
242,378255.0
243,382680.0
244,374398.0
245,376886.0
246,374613.0
247,325142.0
248,339869.0
249,356582.0
250,349678.0
251,345417.0
252,341487.0
253,347565.0
254,349964.0
255,348620.0
256,351222.0
257,347352.0
258,355488.0
259,350157.0
260,349207.0
261,345409.0
262,341602.0
263,336016.0
264,335375.0
265,331858.0
266,336918.0
267,334569.0
268,331825.0
269,324540.0
270,319026.0
271,318551.0
272,313392.0
273,311510.0
274,285301.0
275,278924.0
276,293983.0
277,289255.0
278,285869.0
279,281423.0
280,263361.0
281,261958.0
282,261203.0
283,258900.0
284,257573.0
285,257715.0
286,256332.0
287,262432.0
288,267907.0
289,275690.0
290,272558.0
291,268877.0
292,268712.0
293,264670.0
294,252251.0
295,249228.0
296,282915.0
297,283549.0
298,282340.0
299,283251.0
300,279600.0
301,282842.0
302,216870.0
303,290720.0
304,278693.0
305,279016.0
306,261315.0
307,256253.0
308,248094.0
309,245305.0
310,239927.0
311,243084.0
312,198444.0
313,202510.0
314,203706.0
315,203737.0
316,209339.0
317,206681.0
318,216637.0
319,213657.0
320,208232.0
321,206629.0
322,227817.0
323,228359.0
324,234081.0
325,234486.0
326,239414.0
327,239263.0
328,240147.0
329,242659.0
330,241098.0
331,241331.0
332,243103.0
333,242983.0
334,245430.0
335,246721.0
336,252102.0
337,254661.0
338,255905.0
339,259566.0
340,261075.0
341,263414.0
342,267151.0
343,271166.0
344,259851.0
345,257812.0
346,257560.0
347,253860.0
348,250507.0
349,243890.0
