time,heat
0,56786.0
1,56588.0
2,60533.0
3,58346.0
4,59852.0
5,61996.0
6,60579.0
7,62866.0
8,61316.0
9,60998.0
10,60750.0
11,60118.0
12,57983.0
13,60071.0
14,59461.0
15,62246.0
16,63938.0
17,63354.0
18,64691.0
19,65708.0
20,67800.0
21,70497.0
22,70884.0
23,76617.0
24,73485.0
25,74487.0
26,76236.0
27,75448.0
28,77271.0
29,95916.0
30,80144.0
31,82552.0
32,98340.0
33,98514.0
34,100643.0
35,103098.0
36,107529.0
37,108182.0
38,112806.0
39,115480.0
40,115630.0
41,115771.0
42,116762.0
43,97012.0
44,99240.0
45,98237.0
46,94568.0
47,98842.0
48,101552.0
49,129051.0
50,130906.0
51,127015.0
52,128067.0
53,134764.0
54,136059.0
55,140779.0
56,143874.0
57,145870.0
58,147206.0
59,149012.0
60,150692.0
61,151724.0
62,152632.0
63,153540.0
64,154702.0
65,151254.0
66,153907.0
67,154011.0
68,155125.0
69,158796.0
70,161874.0
71,164598.0
72,169802.0
73,168248.0
74,179151.0
75,183088.0
76,185552.0
77,187609.0
78,188556.0
79,190914.0
80,196474.0
81,200267.0
82,204855.0
83,204812.0
84,206641.0
85,209095.0
86,209807.0
87,212109.0
88,213359.0
89,218428.0
90,223825.0
91,227311.0
92,229280.0
93,229964.0
94,231814.0
95,231577.0
96,231361.0
97,232321.0
98,232694.0
99,239218.0
100,241300.0
101,240440.0
102,233794.0
103,263972.0
104,232469.0
105,228232.0
106,225336.0
107,215733.0
108,213240.0
109,217331.0
110,215288.0
111,216606.0
112,214213.0
113,220488.0
114,228640.0
115,225536.0
116,222323.0
117,219838.0
118,220640.0
119,224651.0
120,220652.0
121,224681.0
122,223114.0
123,222903.0
124,222013.0
125,221914.0
126,218735.0
127,222520.0
128,220210.0
129,228338.0
130,225340.0
131,226653.0
132,228206.0
133,219189.0
134,288789.0
135,230655.0
136,230930.0
137,240809.0
138,234040.0
139,247738.0
140,240640.0
141,280257.0
142,283417.0
143,290172.0
144,292427.0
145,294865.0
146,303738.0
147,301625.0
148,319983.0
149,344493.0
150,341394.0
151,339595.0
152,338116.0
153,338158.0
154,338351.0
155,340417.0
156,326530.0
157,329412.0
158,334324.0
159,342897.0
160,347807.0
161,349769.0
162,350934.0
163,351569.0
164,354797.0
165,349230.0
166,347562.0
167,343274.0
168,341067.0
169,332875.0
170,321222.0
171,960844.0
172,833524.0
173,1134811.0
174,831872.0
175,1136726.0
176,321263.0
177,320663.0
178,320237.0
179,324097.0
180,329772.0
181,328843.0
182,323756.0
183,325027.0
184,325847.0
185,333693.0
186,317462.0
187,312453.0
188,1017009.0
189,1047838.0
190,1035271.0
191,1056057.0
192,1064333.0
193,1077764.0
194,1079801.0
195,1077941.0
196,1084396.0
197,1095756.0
198,1086143.0
199,1083846.0
200,1078095.0
201,1085210.0
202,1078970.0
203,1070098.0
204,1072376.0
205,1088403.0
206,1055845.0
207,1082677.0
208,1080862.0
209,1083974.0
210,1078321.0
211,1069174.0
212,1105684.0
213,1087135.0
214,1104241.0
215,1090084.0
216,1104105.0
217,1054621.0
218,1038224.0
219,1093742.0
220,351282.0
221,350979.0
222,352491.0
223,285740.0
224,289228.0
225,290886.0
226,290490.0
227,278093.0
228,280449.0
229,281426.0
230,282959.0
231,281764.0
232,278334.0
233,258798.0
234,262167.0
235,264977.0
236,263956.0
237,268702.0
238,368064.0
239,372232.0
240,279700.0
241,372218.0
242,374283.0
243,374045.0
244,374649.0
245,374802.0
246,375764.0
247,377383.0
248,378298.0
249,317864.0
250,322135.0
251,334176.0
252,381156.0
253,378769.0
254,385593.0
255,379423.0
256,371870.0
257,369579.0
258,370406.0
259,363688.0
260,342232.0
261,339663.0
262,318023.0
263,298069.0
264,297757.0
265,289624.0
266,292811.0
267,281835.0
268,284365.0
269,288341.0
270,990809.0
271,353605.0
272,351873.0
273,293589.0
274,304603.0
275,316327.0
276,338378.0
277,334675.0
278,336032.0
279,332032.0
280,332721.0
281,331906.0
282,325748.0
283,324331.0
284,320896.0
285,309731.0
286,388141.0
287,344420.0
288,346816.0
289,346733.0
290,336010.0
291,265979.0
292,253062.0
293,302797.0
294,297874.0
295,292583.0
296,291008.0
297,286608.0
298,283754.0
299,262485.0
300,266293.0
301,326813.0
302,328057.0
303,328825.0
304,313991.0
305,329175.0
306,327136.0
307,326968.0
308,327042.0
309,318973.0
310,310306.0
311,304658.0
312,457997.0
313,455759.0
314,450639.0
315,295594.0
316,437844.0
317,435680.0
318,431002.0
319,416272.0
320,414180.0
321,412928.0
322,293132.0
323,292651.0
324,289671.0
325,289909.0
326,290228.0
327,287506.0
328,285644.0
329,282797.0
330,277251.0
331,273536.0
332,270863.0
333,267377.0
334,264746.0
335,258977.0
336,256455.0
337,310373.0
338,318330.0
339,319943.0
340,308893.0
341,305112.0
342,264213.0
343,234188.0
344,226774.0
345,221506.0
346,213046.0
347,208018.0
348,190442.0
349,207823.0
