time,heat
0,134142.0
1,152465.0
2,211655.0
3,243600.0
4,272560.0
5,301427.0
6,344087.0
7,401853.0
8,387864.0
9,384392.0
10,378461.0
11,382853.0
12,379979.0
13,370273.0
14,367249.0
15,362500.0
16,371842.0
17,368694.0
18,369652.0
19,375212.0
20,381581.0
21,374681.0
22,373227.0
23,366206.0
24,362450.0
25,358416.0
26,346947.0
27,374449.0
28,371086.0
29,375269.0
30,380199.0
31,379247.0
32,384563.0
33,382537.0
34,367409.0
35,375754.0
36,376557.0
37,332520.0
38,323747.0
39,371006.0
40,377064.0
41,405138.0
42,403006.0
43,366307.0
44,427497.0
45,423641.0
46,418512.0
47,350597.0
48,421684.0
49,429757.0
50,438297.0
51,445046.0
52,453566.0
53,461768.0
54,462675.0
55,326310.0
56,452863.0
57,461634.0
58,473849.0
59,456287.0
60,455223.0
61,460036.0
62,467160.0
63,396773.0
64,380439.0
65,404364.0
66,435287.0
67,441773.0
68,399544.0
69,403062.0
70,367991.0
71,340242.0
72,341454.0
73,344073.0
74,360625.0
75,375634.0
76,367323.0
77,376258.0
78,422478.0
79,450159.0
80,450502.0
81,440849.0
82,432978.0
83,435453.0
84,429653.0
85,418663.0
86,413662.0
87,411177.0
88,404421.0
89,400048.0
90,336686.0
91,342543.0
92,346906.0
93,347998.0
94,351118.0
95,365903.0
96,389329.0
97,395168.0
98,397592.0
99,397283.0
100,506567.0
101,409158.0
102,430189.0
103,440047.0
104,455911.0
105,474904.0
106,497485.0
107,499280.0
108,495997.0
109,501382.0
110,493886.0
111,499595.0
112,487750.0
113,546168.0
114,504127.0
115,508846.0
116,509961.0
117,505117.0
118,506355.0
119,510701.0
120,522084.0
121,510177.0
122,525873.0
123,543911.0
124,538891.0
125,528789.0
126,516976.0
127,511230.0
128,497205.0
129,489776.0
130,475774.0
131,425043.0
132,412168.0
133,404763.0
134,382909.0
135,399426.0
136,393859.0
137,391808.0
138,389879.0
139,390708.0
140,370412.0
141,365431.0
142,361357.0
143,356743.0
144,360786.0
145,404526.0
146,403694.0
147,394640.0
148,418184.0
149,596387.0
150,445362.0
151,434961.0
152,428208.0
153,407333.0
154,404122.0
155,402638.0
156,398292.0
157,397289.0
158,390209.0
159,388630.0
160,380421.0
161,384197.0
162,375925.0
163,397238.0
164,386084.0
165,377759.0
166,369488.0
167,363608.0
168,359170.0
169,348802.0
170,342663.0
171,337789.0
172,335084.0
173,325708.0
174,323027.0
175,309886.0
176,290962.0
177,296243.0
178,292182.0
179,265101.0
180,262012.0
181,258681.0
182,256858.0
183,333416.0
184,253502.0
185,320208.0
186,353776.0
187,408207.0
188,405925.0
189,368117.0
190,358140.0
191,355951.0
192,263912.0
193,255573.0
194,249140.0
195,246212.0
196,245814.0
197,258371.0
198,260936.0
199,353046.0
200,348518.0
201,348962.0
202,353498.0
203,345822.0
204,346668.0
205,342870.0
206,339849.0
207,394104.0
208,375923.0
209,359693.0
210,345109.0
211,318344.0
212,309116.0
213,271991.0
214,268672.0
215,257303.0
216,237873.0
217,249249.0
218,230245.0
219,243423.0
220,231296.0
221,238558.0
222,255332.0
223,263811.0
224,259613.0
225,256370.0
226,254787.0
227,293328.0
228,290102.0
229,288387.0
230,288974.0
231,287484.0
232,287092.0
233,283959.0
234,220033.0
235,216997.0
236,210309.0
237,203097.0
238,200710.0
239,289498.0
240,288777.0
241,291098.0
242,284502.0
243,289780.0
244,266638.0
245,212893.0
246,214933.0
247,208903.0
248,202183.0
249,234962.0
250,219496.0
251,198012.0
252,195682.0
253,197760.0
254,197155.0
255,175909.0
256,174304.0
257,171522.0
258,170288.0
259,177838.0
260,178049.0
261,175150.0
262,285827.0
263,280321.0
264,189263.0
265,195009.0
266,184217.0
267,172862.0
268,163118.0
269,162273.0
270,158924.0
271,155107.0
272,152475.0
273,149821.0
274,147343.0
275,147967.0
276,131351.0
277,129976.0
278,128725.0
279,128758.0
280,136412.0
281,135500.0
282,133275.0
283,132801.0
284,132008.0
285,133187.0
286,134250.0
287,124836.0
288,124307.0
289,124900.0
290,117697.0
291,129131.0
292,132729.0
293,136787.0
294,138767.0
295,111998.0
296,111258.0
297,111767.0
298,113009.0
299,127659.0
300,123675.0
301,122950.0
302,111040.0
303,109927.0
304,107365.0
305,105719.0
306,105727.0
307,107313.0
308,108615.0
309,117506.0
310,126183.0
311,124509.0
312,123999.0
313,122772.0
314,121718.0
315,119184.0
316,118434.0
317,105354.0
318,101272.0
319,97542.0
320,93161.0
321,91152.0
322,106608.0
323,110645.0
324,107812.0
325,112086.0
326,112086.0
327,111321.0
328,109096.0
329,82672.0
330,87418.0
331,112297.0
332,111688.0
333,110852.0
334,109052.0
335,108562.0
336,86280.0
337,85125.0
338,83709.0
339,82222.0
340,81632.0
341,79181.0
342,79181.0
343,84442.0
344,85199.0
345,83620.0
346,82996.0
347,81539.0
348,85964.0
349,85215.0
