time,heat
0,175477.0
1,173207.0
2,171271.0
3,169276.0
4,166356.0
5,164567.0
6,161159.0
7,160674.0
8,159799.0
9,158699.0
10,158973.0
11,157924.0
12,156359.0
13,156249.0
14,154878.0
15,153142.0
16,151113.0
17,149863.0
18,150024.0
19,151112.0
20,149240.0
21,149528.0
22,147714.0
23,148339.0
24,147717.0
25,147614.0
26,147877.0
27,146452.0
28,144543.0
29,141967.0
30,141988.0
31,139973.0
32,138963.0
33,136525.0
34,133785.0
35,131267.0
36,128355.0
37,127110.0
38,118013.0
39,129175.0
40,122439.0
41,122261.0
42,119370.0
43,118157.0
44,116519.0
45,116829.0
46,115593.0
47,115556.0
48,115012.0
49,113877.0
50,114938.0
51,114918.0
52,116582.0
53,115587.0
54,114924.0
55,113474.0
56,112240.0
57,104716.0
58,139177.0
59,142515.0
60,145601.0
61,149757.0
62,154745.0
63,160817.0
64,165956.0
65,170640.0
66,183235.0
67,194014.0
68,206461.0
69,218375.0
70,205262.0
71,204813.0
72,203778.0
73,201480.0
74,205058.0
75,212758.0
76,295260.0
77,287975.0
78,294602.0
79,293524.0
80,318657.0
81,330495.0
82,349092.0
83,354982.0
84,350509.0
85,354154.0
86,368879.0
87,370719.0
88,448268.0
89,442897.0
90,450642.0
91,436684.0
92,458622.0
93,487930.0
94,481466.0
95,476194.0
96,470195.0
97,463658.0
98,452822.0
99,441532.0
100,439381.0
101,429039.0
102,421809.0
103,413151.0
104,538741.0
105,537985.0
106,380623.0
107,382913.0
108,388771.0
109,389191.0
110,398133.0
111,408271.0
112,414087.0
113,415915.0
114,430126.0
115,523920.0
116,514615.0
117,504700.0
118,544870.0
119,537300.0
120,533222.0
121,534476.0
122,519731.0
123,514296.0
124,510034.0
125,499111.0
126,495985.0
127,517710.0
128,508542.0
129,510787.0
130,500925.0
131,496851.0
132,489632.0
133,483996.0
134,463684.0
135,450778.0
136,434899.0
137,418758.0
138,434322.0
139,433092.0
140,446266.0
141,429962.0
142,383064.0
143,389143.0
144,456874.0
145,393824.0
146,444263.0
147,482411.0
148,462659.0
149,464164.0
150,469641.0
151,477701.0
152,480454.0
153,489597.0
154,403733.0
155,383152.0
156,401637.0
157,408117.0
158,474093.0
159,477433.0
160,475722.0
161,471690.0
162,469015.0
163,465109.0
164,457243.0
165,451394.0
166,455946.0
167,479928.0
168,511085.0
169,505698.0
170,493730.0
171,498653.0
172,545894.0
173,491216.0
174,453741.0
175,670771.0
176,664461.0
177,658092.0
178,644460.0
179,627593.0
180,612414.0
181,610256.0
182,377286.0
183,369553.0
184,361970.0
185,367697.0
186,357807.0
187,265031.0
188,265640.0
189,271631.0
190,265768.0
191,274244.0
192,267398.0
193,268777.0
194,276219.0
195,286443.0
196,295902.0
197,307191.0
198,308923.0
199,299757.0
200,300000.0
201,302932.0
202,299438.0
203,312892.0
204,303964.0
205,302209.0
206,295737.0
207,313239.0
208,319526.0
209,291219.0
210,315727.0
211,307449.0
212,309248.0
213,302431.0
214,303367.0
215,300883.0
216,300733.0
217,259478.0
218,294277.0
219,290730.0
220,291026.0
221,290449.0
222,283830.0
223,280600.0
224,276460.0
225,270492.0
226,271882.0
227,266224.0
228,263112.0
229,262287.0
230,260539.0
231,254867.0
232,252482.0
233,251947.0
234,253966.0
235,253108.0
236,247409.0
237,252618.0
238,259464.0
239,265602.0
240,272098.0
241,275094.0
242,273321.0
243,265818.0
244,261292.0
245,257699.0
246,258703.0
247,257397.0
248,260561.0
249,249800.0
250,243787.0
251,240537.0
252,242570.0
253,236127.0
254,237375.0
255,232298.0
256,229493.0
257,227941.0
258,230744.0
259,234725.0
260,239150.0
261,243720.0
262,239614.0
263,240069.0
264,235110.0
265,241119.0
266,244899.0
267,246415.0
268,249217.0
269,250663.0
270,239253.0
271,238415.0
272,240072.0
273,240006.0
274,241250.0
275,236302.0
276,239251.0
277,239814.0
278,238269.0
279,243152.0
280,241043.0
281,258025.0
282,263909.0
283,264817.0
284,261058.0
285,267914.0
286,255582.0
287,246237.0
288,239340.0
289,236923.0
290,235174.0
291,227644.0
292,228756.0
293,229262.0
294,226715.0
295,228283.0
296,225336.0
297,222824.0
298,220521.0
299,221705.0
300,231590.0
301,235519.0
302,239719.0
303,245975.0
304,251539.0
305,255491.0
306,260608.0
307,263599.0
308,268334.0
309,265663.0
310,259654.0
311,249691.0
312,254196.0
313,257146.0
314,255566.0
315,256987.0
316,250767.0
317,249214.0
318,248304.0
319,249744.0
320,247904.0
321,249515.0
322,250331.0
323,242557.0
324,234449.0
325,230720.0
326,230699.0
327,231549.0
328,240051.0
329,247437.0
330,243725.0
331,236635.0
332,226323.0
333,222191.0
334,213483.0
335,152975.0
336,157502.0
337,156053.0
338,153738.0
339,156248.0
340,152363.0
341,152138.0
342,154774.0
343,162720.0
344,168391.0
345,174483.0
346,180425.0
347,187214.0
348,188375.0
349,174693.0
