time,heat
0,100698.0
1,101945.0
2,101272.0
3,100468.0
4,98449.0
5,90936.0
6,90511.0
7,89829.0
8,89860.0
9,88626.0
10,88619.0
11,89072.0
12,88698.0
13,89019.0
14,89248.0
15,76745.0
16,76645.0
17,75226.0
18,88447.0
19,88335.0
20,88638.0
21,88204.0
22,86782.0
23,89828.0
24,96864.0
25,99302.0
26,96984.0
27,97536.0
28,99934.0
29,101587.0
30,103532.0
31,104514.0
32,105900.0
33,106809.0
34,109252.0
35,118388.0
36,119706.0
37,123579.0
38,125758.0
39,127935.0
40,43680.0
41,44455.0
42,45137.0
43,46176.0
44,46846.0
45,44171.0
46,43696.0
47,48063.0
48,48743.0
49,50538.0
50,53381.0
51,54028.0
52,54891.0
53,56948.0
54,56592.0
55,56981.0
56,55891.0
57,69962.0
58,57103.0
59,72951.0
60,74941.0
61,75847.0
62,75564.0
63,71505.0
64,53017.0
65,53002.0
66,54557.0
67,57578.0
68,55406.0
69,56469.0
70,56302.0
71,56609.0
72,56232.0
73,57048.0
74,59773.0
75,58157.0
76,58182.0
77,57107.0
78,56230.0
79,55502.0
80,56456.0
81,56742.0
82,60860.0
83,62258.0
84,61605.0
85,62715.0
86,66927.0
87,65519.0
88,69777.0
89,68853.0
90,72717.0
91,68554.0
92,70827.0
93,70638.0
94,77343.0
95,79408.0
96,73720.0
97,98087.0
98,98476.0
99,100576.0
100,103067.0
101,107161.0
102,107953.0
103,112344.0
104,115327.0
105,115600.0
106,115722.0
107,116716.0
108,95039.0
109,94816.0
110,96522.0
111,88157.0
112,90224.0
113,94356.0
114,91357.0
115,89534.0
116,125789.0
117,126423.0
118,133283.0
119,135908.0
120,139962.0
121,143624.0
122,144877.0
123,146137.0
124,147635.0
125,149948.0
126,150586.0
127,152353.0
128,152253.0
129,154635.0
130,151172.0
131,153867.0
132,153632.0
133,153566.0
134,158521.0
135,161434.0
136,163195.0
137,169186.0
138,167317.0
139,178546.0
140,130364.0
141,146062.0
142,149664.0
143,154316.0
144,156170.0
145,160971.0
146,165691.0
147,205362.0
148,209680.0
149,210324.0
150,214432.0
151,216232.0
152,215843.0
153,219990.0
154,218875.0
155,224285.0
156,228213.0
157,229198.0
158,230027.0
159,231782.0
160,230469.0
161,229997.0
162,232417.0
163,230173.0
164,229316.0
165,233401.0
166,234735.0
167,222969.0
168,245570.0
169,231129.0
170,227405.0
171,224066.0
172,215488.0
173,212405.0
174,216410.0
175,214371.0
176,215084.0
177,210666.0
178,214523.0
179,222122.0
180,222831.0
181,222037.0
182,217490.0
183,217706.0
184,220124.0
185,216599.0
186,219167.0
187,221794.0
188,221870.0
189,221319.0
190,216224.0
191,215057.0
192,217134.0
193,216523.0
194,220937.0
195,220681.0
196,220628.0
197,215574.0
198,211112.0
199,229244.0
200,224510.0
201,216758.0
202,219729.0
203,227531.0
204,233193.0
205,231827.0
206,214468.0
207,215748.0
208,226280.0
209,214773.0
210,238530.0
211,249445.0
212,257034.0
213,319340.0
214,344405.0
215,341371.0
216,339516.0
217,337823.0
218,337963.0
219,337700.0
220,339936.0
221,326441.0
222,329356.0
223,334194.0
224,342610.0
225,346689.0
226,348791.0
227,350012.0
228,350303.0
229,354289.0
230,348851.0
231,346375.0
232,342751.0
233,340450.0
234,332706.0
235,321198.0
236,910859.0
237,936702.0
238,1134907.0
239,922428.0
240,1136965.0
241,321417.0
242,323257.0
243,322702.0
244,326753.0
245,330098.0
246,329549.0
247,325097.0
248,326021.0
249,326004.0
250,340940.0
251,318585.0
252,315697.0
253,1060650.0
254,1036549.0
255,1015060.0
256,1021210.0
257,1046778.0
258,1044842.0
259,1064471.0
260,1075053.0
261,1072922.0
262,1080540.0
263,1063052.0
264,1072357.0
265,1066334.0
266,1065838.0
267,1057254.0
268,1045726.0
269,1047108.0
270,1078097.0
271,1037578.0
272,1052682.0
273,1066548.0
274,1057756.0
275,1061958.0
276,1053223.0
277,1089736.0
278,1071991.0
279,1073879.0
280,1077219.0
281,1082585.0
282,1013760.0
283,1012098.0
284,1084509.0
285,266676.0
286,295525.0
287,284403.0
288,285727.0
289,288636.0
290,290478.0
291,289269.0
292,277961.0
293,280266.0
294,280841.0
295,282278.0
296,280952.0
297,277599.0
298,250081.0
299,255236.0
300,261828.0
301,263172.0
302,264820.0
303,263026.0
304,316362.0
305,277153.0
306,302389.0
307,296053.0
308,292616.0
309,330198.0
310,328437.0
311,324530.0
312,314080.0
313,327360.0
314,314592.0
315,321347.0
316,319153.0
317,375327.0
318,378931.0
319,385672.0
320,382661.0
321,386292.0
322,377143.0
323,370674.0
324,362826.0
325,338335.0
326,337792.0
327,315785.0
328,297626.0
329,294784.0
330,289091.0
331,292692.0
332,279840.0
333,283704.0
334,286668.0
335,983909.0
336,307304.0
337,309948.0
338,292763.0
339,301414.0
340,311557.0
341,304842.0
342,320920.0
343,331182.0
344,332677.0
345,310581.0
346,321995.0
347,311345.0
348,276175.0
349,186150.0
