time,heat
0,48591.0
1,48040.0
2,48284.0
3,98887.0
4,99098.0
5,98156.0
6,97920.0
7,97167.0
8,96299.0
9,96220.0
10,95138.0
11,94301.0
12,94710.0
13,95718.0
14,94304.0
15,93907.0
16,92833.0
17,92926.0
18,92983.0
19,91047.0
20,91805.0
21,94590.0
22,94810.0
23,108245.0
24,98563.0
25,98540.0
26,99191.0
27,96999.0
28,96729.0
29,96229.0
30,96466.0
31,94920.0
32,95536.0
33,98574.0
34,99454.0
35,99213.0
36,99669.0
37,99325.0
38,98796.0
39,97615.0
40,89453.0
41,89420.0
42,88960.0
43,88667.0
44,87757.0
45,88105.0
46,88535.0
47,88268.0
48,88843.0
49,89187.0
50,75225.0
51,75243.0
52,74313.0
53,87959.0
54,87984.0
55,88270.0
56,87375.0
57,85917.0
58,87536.0
59,96604.0
60,98172.0
61,96769.0
62,97023.0
63,99614.0
64,100542.0
65,101423.0
66,102283.0
67,103494.0
68,103019.0
69,104823.0
70,118256.0
71,118630.0
72,123206.0
73,125181.0
74,126538.0
75,43452.0
76,44111.0
77,44694.0
78,45347.0
79,45920.0
80,41082.0
81,39968.0
82,47244.0
83,48080.0
84,49510.0
85,52460.0
86,52858.0
87,52876.0
88,53961.0
89,52770.0
90,51836.0
91,51394.0
92,69572.0
93,51020.0
94,72304.0
95,74503.0
96,75841.0
97,74581.0
98,71167.0
99,44173.0
100,44117.0
101,43565.0
102,43766.0
103,43897.0
104,44112.0
105,44244.0
106,44670.0
107,45154.0
108,45542.0
109,46276.0
110,46810.0
111,47573.0
112,47968.0
113,49424.0
114,50887.0
115,51583.0
116,51808.0
117,51803.0
118,52267.0
119,52840.0
120,53362.0
121,53935.0
122,55445.0
123,53932.0
124,55907.0
125,58231.0
126,59990.0
127,57683.0
128,56138.0
129,54235.0
130,52553.0
131,50710.0
132,97140.0
133,98370.0
134,100093.0
135,102647.0
136,106121.0
137,107303.0
138,111194.0
139,114163.0
140,115093.0
141,115189.0
142,116515.0
143,80581.0
144,80484.0
145,79443.0
146,77690.0
147,78833.0
148,79485.0
149,81222.0
150,83151.0
151,119221.0
152,120030.0
153,124658.0
154,126682.0
155,130484.0
156,132954.0
157,134641.0
158,135969.0
159,136613.0
160,139888.0
161,139562.0
162,143500.0
163,144203.0
164,144616.0
165,143206.0
166,145684.0
167,145289.0
168,146866.0
169,149364.0
170,154321.0
171,158307.0
172,162687.0
173,162758.0
174,172384.0
175,120736.0
176,123227.0
177,126543.0
178,128075.0
179,131352.0
180,131144.0
181,136478.0
182,135345.0
183,132898.0
184,140060.0
185,138143.0
186,141420.0
187,145924.0
188,149252.0
189,150570.0
190,151187.0
191,152795.0
192,152311.0
193,153118.0
194,150283.0
195,148202.0
196,149588.0
197,149315.0
198,147400.0
199,149902.0
200,148171.0
201,154982.0
202,163207.0
203,185964.0
204,172638.0
205,171837.0
206,169433.0
207,165392.0
208,168747.0
209,170928.0
210,177278.0
211,181253.0
212,181666.0
213,182588.0
214,183325.0
215,212954.0
216,214311.0
217,210893.0
218,211358.0
219,211044.0
220,211798.0
221,215654.0
222,213998.0
223,211246.0
224,213218.0
225,211657.0
226,210486.0
227,207860.0
228,205729.0
229,174259.0
230,174033.0
231,173359.0
232,180033.0
233,180586.0
234,189652.0
235,202536.0
236,189281.0
237,196511.0
238,203937.0
239,204007.0
240,208041.0
241,208556.0
242,204212.0
243,202106.0
244,199274.0
245,198125.0
246,199112.0
247,198450.0
248,317560.0
249,344126.0
250,341163.0
251,339017.0
252,337121.0
253,336140.0
254,334482.0
255,336096.0
256,326042.0
257,329127.0
258,333738.0
259,340467.0
260,343831.0
261,344807.0
262,345056.0
263,347202.0
264,352595.0
265,343888.0
266,342165.0
267,339516.0
268,339155.0
269,331731.0
270,316387.0
271,763143.0
272,739764.0
273,1134657.0
274,742031.0
275,1136389.0
276,321057.0
277,320376.0
278,318160.0
279,323756.0
280,329112.0
281,326469.0
282,322661.0
283,321466.0
284,325653.0
285,332147.0
286,317003.0
287,309871.0
288,989774.0
289,941366.0
290,945259.0
291,963433.0
292,983156.0
293,1003619.0
294,1006140.0
295,1023311.0
296,1047302.0
297,1031842.0
298,1022958.0
299,1024294.0
300,1030193.0
301,1027604.0
302,1005798.0
303,996909.0
304,1000236.0
305,1045163.0
306,994271.0
307,1008404.0
308,1000393.0
309,1012199.0
310,999802.0
311,979327.0
312,1008890.0
313,993323.0
314,992174.0
315,987335.0
316,986610.0
317,957836.0
318,946452.0
319,965692.0
320,240087.0
321,240748.0
322,241343.0
323,285529.0
324,256561.0
325,276220.0
326,241840.0
327,254900.0
328,232826.0
329,257048.0
330,216316.0
331,261299.0
332,218154.0
333,228664.0
334,227633.0
335,200566.0
336,182384.0
337,152478.0
338,142672.0
339,143333.0
340,142338.0
341,139468.0
342,140331.0
343,145058.0
344,151164.0
345,178926.0
346,183044.0
347,173416.0
348,145868.0
349,135876.0
